,question
21,"As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives."
22,"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries"
23,As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should try to develop a missile defense system even if it means withdrawing from the ABM treaty
24,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the world economic crisis.
25,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...UN Secretary General Kofi Annan"
26,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...India"
27,"In making international policy decisions, to what extent do you think the United States takes into account the interests of  – a great deal, a fair amount, not too much, or not at all?"
28,"What is most responsible for Muslim nations' lack of prosperity? Is it the policies of the U.S. and other western nations, the lack of democracy in the Muslim world, the lack of education in the Muslim world, Islamic fundamentalism, or corruption in the government of Muslim nations?"
29,Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. b. statements that are offensive to minority groups
30,Please tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. d. Immigrants today increase the risk of terrorism in our country
31,"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. d. withdraw U.S. support for major trade agreements"
32,"Here are some reasons given for using military force against Iraq. As I read a reason, tell me if it is a very important, fairly important, or not important reason to justify the use of military force against Iraq.  If we learned that Iraq helped the terrorists attack the United States on September 11th, would that be a very important reason, fairly important reason, or not important reason to justify the use of military force against Iraq?"
33,Which one of the following countries would you trust most to do the right thing in protecting the world's environment?
34,"If Iran were to develop nuclear weapons, do you think they would be likely to...use them for defensive purposes only, or not?"
35,Why do you think the US is conducting the war on terrorism? Is...To protect Israel...an important reason why the US is doing this or not?
36,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the European Union"
37,"Thinking about the public as a whole, do you think this country is now more UNITED or more DIVIDED than before the coronavirus outbreak?"
38,"How much of a danger is the current government in...North Korea to stability in Asia and world peace? A great danger, moderate danger, small danger, or no danger at all?"
39,"Do you approve or disapprove of the United States conducting missile strikes from pilotless aircraft called drones to target extremists in countries such as Pakistan, Yemen and Somalia? "
40,"Thinking about HIV prevention, that is preventing people from becoming infected with HIV - do you think our country is making progress in HIV prevention, losing ground, or is prevention about the same as it has been?"
41,"Thinking about restrictions on public activity in the public over the course of the coronavirus outbreak, do you think there should have been more restrictions, fewer restrictions, or were the restrictions about right?"
42,"Thinking about immigration, would you support or oppose your country ____? b. deporting immigrants currently in the country illegally"
43,"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? c. the United Nations"
44,"All in all, do you think the January elections in Iraq will lead to a MORE stable situation, a LESS stable situation, or will the situation in Iraq not change much?"
45,"Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way things are going in our country.  Is the influence of large companies from other countries very good, somewhat good, somewhat bad or very bad in our country."
46,"Turning to China, all things considered, was the decision to hold the 2008 Summer Olympics in China a good or bad decision?"
47,"When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? e. Technological achievements"
48,"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely"
49,"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? a. people can practice their religion freely"
50,"When children today in your country grow up, do you think they will be better off or worse off than people are now?"
51,Please tell me whether you agree or disagree with the following statement: People should be willing to pay higher prices in order to address global climate change?
52,"On a different subject, how concerned, if at all, are you about Islamic extremism in our country these days? Are you very concerned, somewhat concerned, not too concerned, not at all concerned?"
53,"Thinking about the public, would you say each of the following aspects needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed? a. the economic system"
54,What's your opinion of U.S. policies in the Middle East - would you say they are fair or do they favor Israel too much or do they favor the Palestinians too much?
55,"Thinking about immigration, would you support or oppose your country ____? a. taking in refugees from countries where people are fleeing violence and war"
56,"And what is your next most frequent source of news about national and international issues--television, newspapers, radio, magazines, or the internet?"
57,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Israel"
58,"(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Terrorism"
59,Have you heard about the dispute about the publication of cartoons with the image of the prophet Muhammad?
60,"Please tell me whether you completely agree, mostly agree or completely disagree with the following statements: Children need to learn a foreign language to succeed in the world today"
61,"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...German Chancellor Gerhard Schroeder"
62,"Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all closely? c. news about other countries"
63,Which of these characteristics do you associate with Americans? Do you associate honest with Americans  or not?
64,"What is SECOND most responsible for Muslim nations' lack of prosperity? Is it the policies of the U.S. and other western nations, the lack of democracy in the Muslim world, the lack of education in the Muslim world, Islamic fundamentalism, or corruption in the government of Muslim nations?"
65,Which of these characteristics do you associate with Muslims?...Generous...Do you associate this with Muslims or not?
66,"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. women have the same rights as men"
67,"As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...It is the responsibility of the state to take care of very poor people who can't take care of themselves."
68,"For each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it. The (state/government) should take steps to protect your country economically, even if other friendly nations object to it."
69,"Is your overall opinion of Pope Francis very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable?"
70,"Do you personally believe that homosexuality is morally acceptable, morally unacceptable, or is it not a moral issue? "
71,"Who do you think is mostly to blame for this (that relations between Muslims and people in Western countries are generally bad), Muslims or people in Western countries?"
72,"And over the next 12 months do you expect your personal economic situation to improve a lot, improve a little, remain the same, worsen a little or worsen a lot?"
73,Which of the following phrases comes closer to your point of view?...The U.S. is right to be so concerned about the threat of international terrorism OR the U.S. is over reacting to the threat of international terrorism?
74,"When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? a. Healthcare system"
75,"How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?"
76,"Do you use a computer at your workplace, at school, at home, or anywhere else on at least an occasional basis?"
77,"Which of the following two statements about addressing global climate change comes closer to your own views, even if neither is exactly right?"
78,"How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? c. women have the same rights as men"
79,Has each of the following gotten better or worse over the last five years in our country: the availability of modern medicines and treatments.
80,"When foreigners buy your country companies, do you think this has a very good, somewhat good, somewhat bad, or a very bad impact on our country?"
81,Now I'm going to read you some statements about what President Barack Obama might do in the future. Do you think he will seek international approval before using military force or don't you think so?
82,Which of these characteristics do you associate with Muslims?...Violent...Do you associate this with Muslims or not?
83,"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of the military very good, somewhat good, somewhat bad or very bad in your country?"
84,"Turning to another subject, would you say you are very excited, somewhat excited, not too excited or not at all excited about the 2010 World Cup soccer tournament?"
85,"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? b. a democratic system where representatives elected by citizens decide what becomes law"
86,"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the calls for political change in countries such as Egypt, Tunisia, Bahrain and Libya"
87,Let's start by thinking about the growing ties between the economies of your country and other countries.  Do you think the trend toward a global economy is a good thing or a bad thing for our country?
88,Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? e. optimistic
89,"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. f. U.S. negotiations with North Korean leader Kim Jong-Un about the country's nuclear weapons program"
90,"Thinking about yourself, how confident are you that you will have an adequate standard of living in your old age - very confident, somewhat confident, not too confident, not confident at all?"
91,"I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to know the right people to get ahead in life, where 0 means not important at all and 10 means very important?"
92,As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision to keep U.S. troops in Bosnia and Kosovo
93,"I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a change for the worse, or hasn't it made much of a difference: fast food or convenience food?"
94,Do you think the world would be a safer place or more dangerous place if there was another country that was equal in power to the United States?
95,"How much of a danger is the current government in...Iraq to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?"
96,"I'd like your opinion about some possible international concerns for your country. Do you think that Iran's nuclear program is a major threat, a minor threat or not a threat to your country? "
97,"Thinking about your country as a whole, do you think this country is now more united or more divided than before the coronavirus outbreak?"
98,"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? c. a system in which a strong leader can make decisions without interference from parliament or the courts"
99,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the people of the (dominant country in region)"
100,"Thinking about the future, if you had to choose, which of the following scenarios would be better for the world?"
101,"I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? g. a large number of refugees leaving countries such as Iraq and Syria"
102,How do you see the US led war on terrorism - do you think the US is taking into account the interests of its allies in the fight against terrorism or do you think the US is acting mainly on its own interests?
103,"And what about the different products that are now available from different parts of the world - do you think this is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?"
104,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...climate change.
105,"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. e. U.S. increasing tariffs or fees on imported goods from other countries"
106,"I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? f. cyberattacks from other countries"
107,"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons"
108,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems.
109,"In response to the situation involving Russia and Ukraine, do you support or oppose each of the following actions?...Ukraine becoming a member of NATO"
110,"Who is most to blame for the violence in eastern Ukraine?...Pro-Russian separatists in Ukraine, the Ukrainian government, Russia or Western countries, such as those in Europe and the U.S.?"
111,"Now thinking about our economic situation, how would you describe the current economic situation in your country - is it very good, somewhat good, somewhat bad or very bad?"
112,"Here is a ladder representing the ladder of life. Let's suppose the top of the ladder represents the best possible life for you; and the bottom, the worst possible life for you. On which step of the ladder do you feel you personally stand at the present time?"
113,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Muslims"
114,"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? b. the media can report the news without <state or government> censorship"
115,"Which statement comes closer to your own views, even if neither is exactly right: The European Union should negotiate international trade agreements on behalf of Germany, or The German government should negotiate trade agreements for Germany rather than the EU"
116,"Some countries are considering a ban on Muslim women wearing full veils that cover all of the face except the eyes in public places including schools, hospitals, and government offices. Would you approve or disapprove of such a ban in your country?"
117,Which of these characteristics do you associate with Muslims?...Greedy...Do you associate this with Muslims or not?
118,"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...U.S. Presidential candidate Barack Obama"
119,"All things considered, do you think that Muslim nations should be more economically prosperous than they are today, or don't you think so?"
120,"Do you have friends or relatives who live in another country that you write to, telephone or visit regularly?"
121,"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? e. the European Union"
122,"Which of these comes closer to your view?...Our traditional way of life is getting lost, OR our traditional way of life remains strong"
123,Before the war the U.S. and Britain claimed that Iraq had weapons of mass destruction. These weapons have yet to be found. Why do you think they made this claim: [READ]
124,Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. the public
125,"I'd like your opinion about some possible international concerns for your country. What if the Taliban regained control of Afghanistan, would this be a major threat, a minor threat or not a threat to the well being of your country?"
126,"I'd like your opinion about some possible international concerns for your country. Do you think that political instability in Pakistan is a major threat, a minor threat or not a threat to your country? "
127,Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. c. sensitive issues related to national security
128,"What do you think about the growing trade and business ties between your country and other countries - do you think it is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?"
129,"Please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the following statements...When jobs are scarce, men should have more right to a job than women"
130,"And as a consequence of the war, do you have more confidence or less confidence that the US wants to promote democracy all around the world?"
131,"Which statement comes closer to your own views, even if neither is exactly right? We should reduce air pollution even if it means slower economic growth, Air pollution is the price we have to pay for continued economic growth"
132,"Now, thinking about some possible economic concerns for the country. Do you think that rising prices pose(s) a major threat, a minor threat, or no threat to the economic well being of your country? "
133,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...British Prime Minister Tony Blair"
134,"Now I'm going to read a list of political leaders. For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...U.S. Secretary of State Hillary Clinton."
135,"I'd like your opinion about some possible international concerns for your country. Do you think that China's power and influence is a major threat, a minor threat or not a threat to your country? "
136,"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...public debt"
137,"How likely do you think it is that women in our country will eventually have the same rights as men – very likely, somewhat likely, not too likely or not at all likely?"
138,"As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...Religion is a matter of personal faith and should be kept separate from government policy."
139,"Do you personally believe that gambling is morally acceptable, morally unacceptable, or is it not a moral issue? "
140,"Which one of these comes closest to your opinion, number 1 or number 2?...#1 - Homosexuality should be accepted by society or #2 - Homosexuality should not be accepted by society"
141,"Which comes closer to describing your view?...I like the pace of modern life, OR I do not like the pace of modern life"
142,"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. d. Allowing fewer immigrants into the U.S."
143,"Which statement comes closer to your view, even if neither is exactly right? (Survey public)'s economy is..."
144,"Thinking about people in our country who do not have a job, in general would you say this is mostly their own fault or is it mostly because of forces outside their control?"
145,"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of media-such as tv, radio, newspapers,magazines very good, somewhat good, somewhat bad or very bad in your country?"
146,Which of these characteristics do you associate with Muslims?...Fanatical...Do you associate this with Muslims or not?
147,"Do you agree or disagree with the following statement? A university education is more important for a boy than for a girl.   Do you completely agree, mostly agree, mostly disagree or completely disagree?"
148,"How much of a danger is the current government in...Syria to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?"
149,Which statement comes closer to your own views even if neither is exactly right?  Some religions are more prone to violence than others; OR All religions are about the same when it comes to violence.
150,"On another topic, in your view, is global climate change a very serious problem, somewhat serious, not too serious, or not a problem?"
151,"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? h. Global poverty"
152,"Please tell me if you agree or disagree with the following statement...Men get more opportunities than women for jobs that pay well, even when women are as qualified as men for the job"
153,Do you think most Muslims in our country today want to adopt your country customs and way of life or do you think they want to be distinct from the larger your country society?
154,"Which statement comes closer to your own views, even if neither is exactly right? Hosting the World Cup is a good thing for Brazil, because it will create more jobs and help the economy, or Hosting the World Cup is a bad thing for Brazil, because we are spending money that should be used for schools, health care and other public services.  "
155,"I'd like to ask your opinion about some international issues.  Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global climate change "
156,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the conflict between Israelis and Palestinians.
157,Has each of the following gotten better or worse over the last five years in our country: the availability of food in stores.
158,"I'd like to ask your opinion about some international issues.  Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global economic instability"
159,"In re-building Iraq, how good a job are the US and its allies doing in taking into account the needs and interests of the Iraqi people?  Is the coalition doing an excellent job, a good job, only a fair job or a poor job in taking into consideration the needs and interests of the Iraqi people?"
160,"Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all closely? b. news about your country"
161,"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? i. Longstanding conflicts between countries or ethnic groups"
162,"I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a change for the worse, or hasn't it made much of a difference: the Internet."
163,"And which comes closer to describing your view? The United States promotes democracy wherever it can, OR the United States promotes democracy mostly where it serves its interests?"
164,Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. France
165,As I read some specific US policies tell me if you approve or disapprove of them...US policies in the Middle East
166,"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? f. people can use the internet without <state or government> censorship"
167,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the situation in Afghanistan.
168,Which country do you think will win the 2010 World Cup?
169,"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Russian President Vladimir Putin"
170,"Do you think ____ is a very big problem, a moderately big problem, a small problem or not a problem at all in our country? c. the gap between the rich and the poor"
171,"Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? c. your country"
172,"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? a. a democratic system where citizens, not elected officials, vote directly on major national issues to decide what becomes law"
173,"I am going to read you a list of things people do on cell phones, other than making calls. For each, please tell me if this is something you do regularly or not?...Send text messages"
174,Is there any area within a kilometer/mile of your home where you would be afraid to walk alone at night?
175,Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… d. Deals effectively with international problems
176,"For each item on this list, tell me if you think it is happening a lot more, somewhat more, only a little more or not more these days than five years ago: influence of international investors, banks and financial organizations on our country's economic policies."
177,How do you think people in other countries of the world feel about your country?  Is your country generally liked or disliked?
178,"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...U.S. President Barack Obama."
179,Which one of the following worries you most about Islamic identity in our country today?  It can lead to violence; it can lead to a loss of personal freedoms; it will prevent Muslims from integrating into our society.
180,Which one of the following countries would you trust most to do the right thing in dealing with the problem of global warming?
181,"How much do you personally worry about global warming - a great deal, a fair amount, only a little, or not at all?"
182,"What kind of marriage do you think is the more satisfying way of life...where the husband provides for the family and the wife takes care of the house and children, or where both have jobs and both take care of the house and children?"
183,"Which one of these issues is the most important for the government to address first — rising prices, a lack of employment opportunities, the gap between the rich and the poor or public debt?"
184,Why do you think the US is conducting the war on terrorism? Is...To control Mideast oil...an important reason why the US is doing this or not?
185,"If Iran were to develop nuclear weapons, do you think they would be likely to...provide nuclear weapons to terrorist organizations, or not?"
186,"How much of a danger is the current government in...Iran to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?"
187,"Overall, are you satisfied or dissatisfied with the way things are going in our country today?"
188,"Which statement comes closest to your view, even if none are exactly right? Democracy in the United States..."
189,"Do you personally believe that using contraceptives is morally acceptable, morally unacceptable, or is it not a moral issue? "
190,"In your opinion, in the public, are the conflicts very strong, strong, not very strong or are there not any conflicts between ____? c. People who are religious and people who are not religious"
191,"How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? d. people can say what they want without <state or government> censorship"
192,"(Today, which ONE of the following do you think is the world's leading economic power?)...Do you think this is a good thing or a bad thing?"
193,Which of these characteristics do you associate with Muslims?...Tolerant...Do you associate this with Muslims or not?
194,"Now thinking about Iraq, regardless of what you think about the original decision to use military force in Iraq, do you now believe that efforts to establish a stable democratic government in Iraq will definitely succeed, probably succeed, probably fail, or definitely fail?"
195,"Which of the following two statements best describes you: 'I follow INTERNATIONAL news closely ONLY when something important is happening' OR 'I follow INTERNATIONAL news closely most of the time, whether or not something important is happening'?"
196,"Do you think there is a natural conflict between being a devout Muslim and living in a modern society, or don't you think so?"
197,"In your opinion, which of the following better explains why the U.S. might use military force against Iraq? Is it more because the U.S. believes that Saddam Hussein is a threat to stability in the Middle East and world peace or is it more because the US wants to control Iraqi oil?"
198,"For each item on this list, tell me if you think it is happening a lot more, somewhat more, only a little more or not more these days than five years ago: availability of movies, TV and music from different parts of the world."
199,"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. a. withdraw support for international climate change agreements"
200,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...China"
201,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...NATO, that is, North Atlantic Treaty Organization"
202,And overall do you think that China's growing military power is a good thing or a bad thing for our country?
203,"In your opinion, do United States policies increase the gap between rich and poor countries, lessen the gap between rich and poor countries, or do United States policies have no effect on the gap between rich and poor countries?"
204,Do you think the people of Iraq will be better off or worse off in the long run than they were now that Saddam Hussein has been removed from power by the US and its allies?
205,"Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? e. The United Kingdom"
206,"Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? e. The World Health Organization, or WHO"
207,"Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all closely? a. news about your city or town"
208,"All things considered, who has a better life in this country, men or women?"
209,"In your opinion, should the economic sanctions imposed on Russia by the European Union and the United States be increased, decreased or kept about the same as they are now?"
210,"How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? e. honest elections are held regularly with a choice of at least two political parties"
211,"Overall, do you think of China as more of a partner of your country, more of an enemy of your country, or neither?"
212,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Germany"
213,"Over the past 20 years, do you think equality between men and women in your country has increased, decreased, or do you think there has been no change?"
214,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Great Britain"
215,"On a different subject, do you think women should have equal rights with men, or shouldn't they?"
216,"Now on a different subject, some people feel that democracy is a Western way of doing things that would not work in most Muslim countries, others think that democracy is not just for the West and can work well in most Muslim countries. Which comes closer to your opinion?"
217,"Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? f. France"
218,What's more important in your country society that everyone be free to pursue their life's goals without interference from the state or that the state play an active role in society so as to guarantee that nobody is in need?
219,"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? d. China"
220,"Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way things are going in our country.  Is the influence of the Prime Minister/President very good, somewhat good, somewhat bad or very bad in our country?"
221,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...South Korea"
222,"Do you think the U.S. is doing as much as it can to bring about a peace settlement between the Israelis and the Palestinians, or don't you think so?"
223,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. Social Democratic Party of Germany (SPD)"
224,Some people say that the following things are important for being truly your nationality. Others say they are not important. How important do you think each of the following is? c. to be a (DOMINANT DENOMINATION)
225,"In your opinion, when foreign companies build new factories in your country, does this have a very good, somewhat good, somewhat bad, or a very bad impact on our country?"
226,Does the current controversy over what to do about Iraq show that the United Nations still plays an important role in dealing with international conflicts or does it show that the United Nations is not so important any more?
227,"Do you personally believe that sex between unmarried adults is morally acceptable, morally unacceptable, or is it not a moral issue? "
228,Overall do you think it would be a good thing or a bad thing if China were to become as powerful militarily as the US?
229,"I'd like to ask your opinion about some international issues.  Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...Iran's nuclear program"
230,"For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs — a lot of confidence, some confidence, not too much confidence or no confidence at all. 
c. U.S. President Donald Trump"
231,"Which of the following statements comes closer to your view, even if neither is exactly right? Improving human rights around the world should be one of your country’s most important foreign policy goals, Improving human rights is important, but many other foreign policy goals should be more important, Improving human rights around the world should not be an important foreign policy goal for your country"
232,"Thinking about the ethnic, religious, and racial makeup of your country, over the past 20 years do you think your country has become more diverse, less diverse, or do you think there has been no change?"
233,"I'd like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? g. North Korea's nuclear program"
234,"Overall, how much influence do you think China is having on the way things are going in our country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? (Ask if 'A great deal' or 'A fair amount':) Is this a good thing, a bad thing, or neither good nor bad?"
235,"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of religious leaders very good, somewhat good, somewhat bad or very bad in your country?"
236,"Please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with the following statements. e. Generally, the state is run for the benefit of all the people"
