;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us
10;Thinking about possible war with Iraq, would you favor or oppose your country's joining the US and other allies in military action in Iraq to end Saddam Hussein's rule?;'United States': [0.6629213483146067, 0.33707865168539325], 'Britain': [0.43333333333333335, 0.5666666666666667];['Favor', 'Oppose'];"(A) Favor
(B) Oppose";GAS;0.6629213483146067;0.5666666666666667;Favor;Oppose;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Oppose;Oppose;2.0;1.0;0.0;1.0;;;0.0;0.6980676;0.34169343
11;According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...American citizens?;'United States': [0.37755102040816324, 0.6224489795918368], 'Britain': [0.375, 0.625];['Acceptable', 'Unacceptable'];"(A) Acceptable
(B) Unacceptable";GAS;0.6224489795918368;625.0;Unacceptable;Unacceptable;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 9.;(B), 9.;Unacceptable;Unacceptable;2.0;1.0;1.0;1.0;;;1.0;0.3479842;0.9999999
12;How likely or unlikely do you think it is that, in the future, a cyberattack will result in the following situation? a. Public infrastructure in your country such as power grids or phone and internet systems will be damaged;'United States': [0.45, 0.37, 0.11, 0.04, 0.01, 0.02], 'Britain': [0.36363636363636365, 0.3838383838383838, 0.16161616161616163, 0.06060606060606061, 0.0, 0.030303030303030304];['Very likely', 'Somewhat likely', 'Somewhat unlikely', 'Very unlikely', 'Has already happened (DO NOT READ)', 'DK/Refused'];"(A) Very likely
(B) Somewhat likely
(C) Somewhat unlikely
(D) Very unlikely
(E) Has already happened (DO NOT READ)
(F) DK/Refused";GAS;0.45;0.3838383838383838;Very likely;Somewhat likely;Q. Security;6.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Somewhat unlikely;Somewhat unlikely;6.0;0.8455284552845529;0.7235772357723578;0.8455284552845529;;;0.7235772357723578;0.83108264;0.8646019
13;Do you think this change in the availability of modern medicines and treatments is largely because of the way the world has become more connected or mostly for other reasons?;'United States': [0.3958333333333333, 0.6041666666666666], 'Britain': [0.5876288659793815, 0.41237113402061853];['Largely more connected', 'Other reasons'];"(A) Largely more connected
(B) Other reasons";GAS;0.6041666666666666;0.5876288659793815;Other reasons;Largely more connected;C. Science and technology;2.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Other reasons;Other reasons;2.0;0.0;1.0;0.0;;;1.0;0.94351935;0.15780458
15;For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? d. reporting on the most important news events;'United States': [0.19801980198019803, 0.40594059405940597, 0.19801980198019803, 0.18811881188118812, 0.0, 0.009900990099009901], 'Britain': [0.26, 0.48, 0.16, 0.06, 0.0, 0.04];['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'News organizations should not do this (VOL)', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) News organizations should not do this (VOL)
(F) DK/Refused";GAS;0.4059405940594059;0.48;Somewhat well;Somewhat well;J. News habits and media;6.0;Likert Scale;Media, Technology, and Education;(B), 7.;(C), 7.;Not well at all;News organizations should not do this (VOL);6.0;0.6666666666666666;0.5;0.6666666666666666;;;0.5;0.10774669;1.0000001
16;Do you personally believe that getting a divorce is morally acceptable, morally unacceptable, or is it not a moral issue? ;'United States': [0.3402061855670103, 0.2268041237113402, 0.3711340206185567, 0.061855670103092786], 'Britain': [0.41836734693877553, 0.09183673469387756, 0.42857142857142855, 0.061224489795918366];['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0.3711340206185567;0.4285714285714285;Not a moral issue;Not a moral issue;A. Social values and attitudes;4.0;Likert Scale;Society, Culture, and Relationships;(D), 7.;(D), 7.;Morally acceptable;Not a moral issue;4.0;0.54;1.0;0.54;;;1.0;0.7362784;0.99999994
17;Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… b. Promotes economic development;'United States': [0.6262626262626263, 0.32323232323232326, 0.050505050505050504], 'Britain': [0.68, 0.29, 0.03];['Yes', 'No', 'DK/Refused'];"(A) Yes
(B) No
(C) DK/Refused";GAS;0.6262626262626263;0.68;Yes;Yes;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 7.;(A), 9.;Yes;Yes;3.0;1.0;1.0;1.0;;;1.0;0.17820671;1.0000002
18;Does this statement describe your country very well, somewhat well, not too well, or not well at all? c. Most politicians are corrupt;'United States': [0.3, 0.39, 0.17, 0.11, 0.03], 'Britain': [0.18, 0.29, 0.32, 0.18, 0.03];['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) DK/Refused";GAS;0.39;0.32;Somewhat well;Not too well;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(B), 7.;(C), 7.;Somewhat well;DK/Refused;5.0;0.782051282051282;0.3333333333333333;0.782051282051282;;;0.3333333333333333;0.8712851;0.7570806
19;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? a. there is a judicial system that treats everyone in the same way;'United States': [0.9207920792079208, 0.04950495049504951, 0.009900990099009901, 0.009900990099009901, 0.009900990099009901], 'Britain': [0.9292929292929293, 0.06060606060606061, 0.010101010101010102, 0.0, 0.0];['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not too important
(D) Not important at all
(E) DK/Refused";GAS;0.9207920792079208;0.9292929292929292;Very important;Very important;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(A), 9;(B), 9;Somewhat important;Somewhat important;5.0;0.8163265306122449;0.8163265306122449;0.8163265306122449;;;0.8163265306122449;0.9968348;0.9999999
20;Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. d. statements that call for violent protests;'United States': [0.44, 0.51, 0.05], 'Britain': [0.22, 0.72, 0.06];['People should be able to say these things publically', 'Government should be able to prevent people from saying these things', 'DK/Refused'];"(A) People should be able to say these things publically
(B) Government should be able to prevent people from saying these things
(C) DK/Refused";GAS;0.51;0.72;Government should be able to prevent people from saying these things;Government should be able to prevent people from saying these things;D. Politics and policy;3.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;People should be able to say these things publically;People should be able to say these things publically;3.0;0.0;0.0;0.0;;;0.0;0.9266939;1.0000001
21;As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.;'United States': [0.2857142857142857, 0.37755102040816324, 0.2653061224489796, 0.07142857142857142], 'Britain': [0.30927835051546393, 0.35051546391752575, 0.27835051546391754, 0.061855670103092786];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0.3775510204081632;0.3505154639175257;Mostly agree;Mostly agree;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(C), 7.;(C), 7.;Completely agree;Completely agree;4.0;0.7402597402597403;0.7402597402597403;0.7402597402597403;;;0.7402597402597403;1.0000001;1.0000001
22;Now I am going to read you a list of things that may be problems in our country.As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries;'United States': [0.0989010989010989, 0.17582417582417584, 0.3516483516483517, 0.37362637362637363], 'Britain': [0.13043478260869565, 0.29347826086956524, 0.30434782608695654, 0.2717391304347826];['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0.3736263736263736;0.3043478260869565;Not a problem at all;Small problem;K. Immigration and migration;4.0;Likert Scale;Politics and Governance;(A), 7;(A), 7.;Moderately big problem;Moderately big problem;4.0;0.6976744186046512;0.5;0.6976744186046512;;;0.5;0.95152736;0.25821567
23;As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should try to develop a missile defense system even if it means withdrawing from the ABM treaty;'United States': [0.48148148148148145, 0.5185185185185185], 'Britain': [0.23255813953488372, 0.7674418604651163];['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0.5185185185185185;0.7674418604651163;Disapprove;Disapprove;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 6.;(B), 6.;Disapprove;Disapprove;2.0;1.0;1.0;1.0;;;1.0;0.98067474;0.99999964
24;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the world economic crisis.;'United States': [0.5, 0.5], 'Britain': [0.810126582278481, 0.189873417721519];['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0.5;0.810126582278481;Approve;Approve;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 6.;(B), 6.;Approve;Approve;2.0;1.0;1.0;1.0;;;1.0;0.89935493;1.0000001
25;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...UN Secretary General Kofi Annan;'United States': [0.12345679012345678, 0.3950617283950617, 0.1728395061728395, 0.1111111111111111, 0.19753086419753085], 'Britain': [0.325, 0.4875, 0.1125, 0.075, 0.0];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) Never heard of";GAS;0.3950617283950617;0.4875;Somewhat favorable;Somewhat favorable;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(E), 6.;(E), 9.;Very favorable;Very favorable;5.0;0.8217821782178217;0.8217821782178217;0.8217821782178217;;;0.8217821782178217;0.93665475;1.0
26;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...India;'United States': [0.10588235294117647, 0.5411764705882353, 0.23529411764705882, 0.11764705882352941, 0.0], 'Britain': [0.15476190476190477, 0.7380952380952381, 0.07142857142857142, 0.03571428571428571, 0.0];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0.5411764705882353;0.7380952380952381;Somewhat favorable;Somewhat favorable;O. Regions and countries;5.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Very favorable;Very favorable;5.0;0.8144329896907216;0.8144329896907216;0.8144329896907216;;;0.8144329896907216;0.33815902;1.0
27;In making international policy decisions, to what extent do you think the United States takes into account the interests of– a great deal, a fair amount, not too much, or not at all?;'United States': [0.13861386138613863, 0.5148514851485149, 0.3069306930693069, 0.039603960396039604, 0.0], 'Britain': [0.06930693069306931, 0.31683168316831684, 0.45544554455445546, 0.12871287128712872, 0.0297029702970297];['Great deal', 'Fair amount', 'Not too much', 'Not at all', 'DK/Refused'];"(A) Great deal
(B) Fair amount
(C) Not too much
(D) Not at all
(E) DK/Refused";GAS;0.5148514851485149;0.4554455445544554;Fair amount;Not too much;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(A), 7;(B), 7.;Fair amount;Fair amount;5.0;0.7916666666666666;1.0;0.7916666666666666;;;1.0;0.6509234;0.58108574
28;What is most responsible for Muslim nations' lack of prosperity? Is it the policies of the U.S. and other western nations, the lack of democracy in the Muslim world, the lack of education in the Muslim world, Islamic fundamentalism, or corruption in the government of Muslim nations?;'United States': [0.031578947368421054, 0.18947368421052632, 0.23157894736842105, 0.11578947368421053, 0.4, 0.031578947368421054], 'Britain': [0.07608695652173914, 0.2608695652173913, 0.18478260869565216, 0.14130434782608695, 0.32608695652173914, 0.010869565217391304];['The policies of the U.S. and other western nations', 'Lack of democracy', 'Lack of education', 'Islamic fundamentalism', 'Corruption in the governments of Muslim nations', 'Other (VOL)'];"(A) The policies of the U.S. and other western nations
(B) Lack of democracy
(C) Lack of education
(D) Islamic fundamentalism
(E) Corruption in the governments of Muslim nations
(F) Other (VOL)";GAS;0.4;0.3260869565217391;Corruption in the governments of Muslim nations;Corruption in the governments of Muslim nations;D. Politics and policy;6.0;Multiple Choice;Politics and Governance;(A), 7;(A), 7;Corruption in the governments of Muslim nations;Lack of democracy;6.0;1.0;0.0;1.0;;;0.0;0.8415004;1.0000001
29;Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. b. statements that are offensive to minority groups;'United States': [0.67, 0.28, 0.05], 'Britain': [0.54, 0.38, 0.08];['People should be able to say these things publically', 'Government should be able to prevent people from saying these things', 'DK/Refused'];"(A) People should be able to say these things publically
(B) Government should be able to prevent people from saying these things
(C) DK/Refused";GAS;0.67;0.54;People should be able to say these things publically;People should be able to say these things publically;D. Politics and policy;3.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;People should be able to say these things publically;People should be able to say these things publically;3.0;1.0;1.0;1.0;;;1.0;0.8085804;1.0
30;Please tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. d. Immigrants today increase the risk of terrorism in our country;'United States': [0.38613861386138615, 0.5544554455445545, 0.019801980198019802, 0.039603960396039604], 'Britain': [0.43, 0.5, 0.03, 0.04];['First statement', 'Second statement', 'Neither/both (DO NOT READ)', 'DK/Refused'];"(A) First statement
(B) Second statement
(C) Neither/both (DO NOT READ)
(D) DK/Refused";GAS;0.5544554455445545;0.5;Second statement;Second statement;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(C), 7.;(C), 7;Neither/both (DO NOT READ);First statement;4.0;0.7560975609756098;0.7682926829268293;0.7560975609756098;;;0.7682926829268293;0.059842344;1.0
31;As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. d. withdraw U.S. support for major trade agreements;'United States': [0.38, 0.57, 0.05], 'Britain': [0.17, 0.72, 0.11];['Approve', 'Disapprove', 'DK/Refused'];"(A) Approve
(B) Disapprove
(C) DK/Refused";GAS;0.57;0.72;Disapprove;Disapprove;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 9.;(B), 9.;Disapprove;Disapprove;3.0;1.0;1.0;1.0;;;1.0;0.34984013;0.99999964
32;Here are some reasons given for using military force against Iraq. As I read a reason, tell me if it is a very important, fairly important, or not important reason to justify the use of military force against Iraq.If we learned that Iraq helped the terrorists attack the United States on September 11th, would that be a very important reason, fairly important reason, or not important reason to justify the use of military force against Iraq?;'United States': [0.8556701030927835, 0.10309278350515463, 0.041237113402061855], 'Britain': [0.5729166666666666, 0.3125, 0.11458333333333333];['Very important reason', 'Fairly important reason', 'Not important reason'];"(A) Very important reason
(B) Fairly important reason
(C) Not important reason";GAS;0.8556701030927835;0.5729166666666666;Very important reason;Very important reason;Q. Security;3.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Fairly important reason;Fairly important reason;3.0;0.6666666666666667;0.6666666666666667;0.6666666666666667;;;0.6666666666666667;0.9040037;1.0000001
34;If Iran were to develop nuclear weapons, do you think they would be likely to...use them for defensive purposes only, or not?;'United States': [0.27586206896551724, 0.7241379310344828], 'Britain': [0.4457831325301205, 0.5542168674698795];['Yes, likely', 'No, not likely'];"(A) Yes, likely
(B) No, not likely";GAS;0.7241379310344828;0.5542168674698795;No, not likely;No, not likely;Q. Security;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;likely';not likely';2.0;0.0;0.0;0.0;;;0.0;0.19322789;0.99999994
35;Why do you think the US is conducting the war on terrorism? Is...To protect Israel...an important reason why the US is doing this or not?;'United States': [0.42391304347826086, 0.5760869565217391], 'Britain': [0.4835164835164835, 0.5164835164835165];['Yes', 'No'];"(A) Yes
(B) No";GAS;0.5760869565217391;0.5164835164835165;No;No;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 6.;Yes;Yes;2.0;0.0;0.0;0.0;;;0.0;0.85871065;1.0
36;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the European Union;'United States': [0.07920792079207921, 0.5346534653465347, 0.25742574257425743, 0.0891089108910891, 0.039603960396039604], 'Britain': [0.2, 0.33, 0.23, 0.19, 0.05];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0.5346534653465347;0.33;Somewhat favorable;Somewhat favorable;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(B), 7.;(C), 7.;Somewhat favorable;Very favorable;5.0;1.0;0.8144329896907216;1.0;;;0.8144329896907216;0.88058376;1.0
37;Thinking about the public as a whole, do you think this country is now more UNITED or more DIVIDED than before the coronavirus outbreak?;'United States': [0.1, 0.88, 0.02], 'Britain': [0.42, 0.54, 0.04];['More united', 'More divided', 'DK/Refused'];"(A) More united
(B) More divided
(C) DK/Refused";GAS;0.88;0.54;More divided;More divided;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;More divided;More divided;3.0;1.0;1.0;1.0;;;1.0;0.95429385;1.0000005
38;How much of a danger is the current government in...North Korea to stability in Asia and world peace? A great danger, moderate danger, small danger, or no danger at all?;'United States': [0.39080459770114945, 0.41379310344827586, 0.13793103448275862, 0.05747126436781609], 'Britain': [0.25675675675675674, 0.5135135135135135, 0.20270270270270271, 0.02702702702702703];['A great danger', 'Moderate danger', 'Small danger', 'No danger at all'];"(A) A great danger
(B) Moderate danger
(C) Small danger
(D) No danger at all";GAS;0.4137931034482758;0.5135135135135135;Moderate danger;Moderate danger;G. International affairs;4.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;Moderate danger;Moderate danger;4.0;1.0;1.0;1.0;;;1.0;0.9161022;1.0000002
39;Do you approve or disapprove of the United States conducting missile strikes from pilotless aircraft called drones to target extremists in countries such as Pakistan, Yemen and Somalia? ;'United States': [0.5591397849462365, 0.44086021505376344], 'Britain': [0.358695652173913, 0.6413043478260869];['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0.5591397849462365;0.6413043478260869;Approve;Disapprove;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 6.;Disapprove;Disapprove;2.0;1.0;0.0;1.0;;;0.0;0.9882674;0.55121714
40;Thinking about HIV prevention, that is preventing people from becoming infected with HIV - do you think our country is making progress in HIV prevention, losing ground, or is prevention about the same as it has been?;'United States': [0.3473684210526316, 0.16842105263157894, 0.4842105263157895], 'Britain': [0.25, 0.2727272727272727, 0.4772727272727273];['Making progress', 'Losing ground', 'About the same'];"(A) Making progress
(B) Losing ground
(C) About the same";GAS;0.4842105263157895;0.4772727272727273;About the same;About the same;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(C), 7.;(C), 6.;Making progress;Making progress;3.0;0.3207547169811321;0.3207547169811321;0.3207547169811321;;;0.3207547169811321;0.93178546;1.0000001
