;source_uk;source_us;category;question;answer_uk;answer_us;question type
169;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"Do you agree or disagree with the following statements?

People who don’t work turn lazy. These are the options: ['Strongly agree', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Neither agree nor disagree.;Disagree;Likert-scale (5)
170;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The NAFTA. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer']";Don't know;Not very much confidence.;Likert-scale (4).
171;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";I. Gender and LGBTQ;"How frequently do the following things occur in your neighborhood?

Men and boys making unwanted sexual comments or gestures towards girls or women. These are the options: ['Very frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Not frequently.;Not frequently.;Closed question.
172;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";N. Economy and work;Job opportunities of all people are fair regardless of social and financial abilities of their parents or acquaintances. These are the options: ['Not equal at all', '2', '3', '4', '5', '6', '7', '8', '9'];Not equal at all.;Not equal at all.;The type of question is a Likert-scale question with 9 levels.
173;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?

People who have AIDS. These are the options: ['Mentioned', 'Not mentioned', ""Don't know"", 'No answer', 'Missing; Not available']";Not mentioned.;Not mentioned.;Open-ended question.
174;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy

People obey their rulers. These are the options: ['It is against democracy (spontaneous)', 'Not an essential characteristic of democracy', '2', '3', '4', '5', '6', '7', '8', '9', 'An essential characteristic of democracy', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Not an essential characteristic of democracy;Not an essential characteristic of democracy;Likert-scale (11)
175;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy

Women have the same rights as men. These are the options: ['It is against democracy (spontaneous)', 'Not an essential characteristic of democracy', '2', '3', '4', '5', '6', '7', '8', '9', 'An essential characteristic of democracy', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";An essential characteristic of democracy;An essential characteristic of democracy;Likert-scale (11)
176;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"Do you agree or disagree with the following statements?

Work is a duty towards society. These are the options: ['Strongly agree', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Agree;Agree;Likert-scale (7)
177;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";M. Race and ethnicity;"How frequently do the following things occur in your neighborhood?

Racist behavior. These are the options: ['Very Frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer', 'Missing; Not available']";Not frequently.;Not frequently.;Closed question.
178;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";I. Gender and LGBTQ;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

A “real man” should have as many sexual partners as he can. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Disagree;Disagree;Likert-scale (4)
179;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";K. Immigration and migration;"From your point of view, what have been the effects of immigrants on the development of [your country]?:

Increase the risks of terrorism. These are the options: ['Disagree', 'Hard to say', 'Agree', ""Don't know"", 'No answer', 'Missing; Not available']";Disagree;Disagree;Closed question
180;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";K. Immigration and migration;"From your point of view, what have been the effects of immigrants on the development of [your country]?:

Strengthen cultural diversity. These are the options: ['Disagree', 'Hard to say', 'Agree', ""Don't know"", 'No answer', 'Missing; Not available']";Agree;Agree;Closed question
181;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";O. Regions and countries;"People have different views about themselves and how they relate to the world. Using this card, would you tell me how close do you feel to…?:

[Continent; e.g. Europe, Asia etc.]. These are the options: ['Very close', 'Close', 'Not very close', 'Not close at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Europe: Very close;"As an American, I would say that I feel ""Not very close"" to any specific continent.";Likert-scale (7)
182;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";L. Family and relationships;"If a woman works outside of the home for money, how likely is it that the following consequences might occur:

She may have arguments with her husband. These are the options: ['Very likely', 'Somewhat likely', 'Not likely', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Somewhat likely.;Somewhat likely.;Likert-scale (5)
183;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government in…?

Providing security in the country. These are the options: ['this is not government’s responsibility', 'Very bad', 'Bad', 'Good', 'Very good', ""Don't know"", 'No answer']";Good.;Good;Closed question (7 options)
184;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";E. Demographics;"How frequently do the following things occur in your neighborhood?

Drug sale in streets. These are the options: ['Very Frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer', 'Missing; Not available']";Not frequently;Not frequently;Closed question with multiple choice options.
185;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

It is not good for a boy to be taught how to cook, sew, clean the house etc.. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused']";Disagree;Disagree;Likert-scale (5)
186;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";C. Science and technology;"I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind?

More emphasis on the development of technology. These are the options: ['Good thing', ""Don't mind"", 'Bad thing', ""Don't know"", 'No answer', 'Missing; Unknown']";Good thing;Good thing;Likert-scale (3)
187;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";G. International affairs;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The APEC. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer']";Don't know;A great deal;Likert-scale (4).
188;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";O. Regions and countries;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The Association of South East Asian Nations -ASEAN. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Unknown']";Don't know;Don't know;Likert-scale (4)
189;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"If a woman works outside of the home for money, how likely is it that the following consequences might occur:

She may be considered immoral. These are the options: ['Very likely', 'Somewhat likely', 'Not likely', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Not likely.;Not likely.;Likert-scale (5)
190;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";O. Regions and countries;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The World Trade Organization (WTO). These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Unknown']";Quite a lot;Quite a lot;Likert-scale (4).
191;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";P. Methodological research;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Charitable or humanitarian organizations. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Not available']";As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information about public perception in the United Kingdom. The level of confidence in charitable or humanitarian organizations can vary among individuals. Some people may have a great deal or quite a lot of confidence in these organizations, while others may have not very much confidence or none at all. It ultimately depends on personal experiences, perceptions, and knowledge of specific organizations.;As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information about public perception in the United States. Confidence in charitable or humanitarian organizations can vary among individuals. Some people may have a great deal or quite a lot of confidence in these organizations, while others may have not very much confidence or none at all. It ultimately depends on personal experiences, knowledge, and perceptions of specific organizations.;Likert-scale (4)
192;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:

Civil service providers (police, judiciary, civil servants, doctors, teachers). These are the options: ['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know"", 'No answer', 'Missing; Not available']";Few of them.;Few of them.;Likert-scale (4)
193;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?

Having a system governed by religious law in which there are no political parties or elections. These are the options: ['Very good', 'Fairly good', 'Bad', 'Very bad', ""Don't know"", 'No answer', 'Missing; Not available']";Fairly bad.;Fairly bad.;Likert-scale (4)
194;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all

Leisure time. These are the options: ['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Rather important;Very important;Likert-scale (4)
195;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";N. Economy and work;How valuable do you think your work is evaluated in society. These are the options: ['2', '3', '4', '5', '6', '7', '8', '9', 'Very satisfied', 'No job'];7;7;This question appears to be a likert-scale question with 9 levels.
196;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";I. Gender and LGBTQ;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

A man who discusses important decisions with his wife is considered weak. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused']";Disagree;Disagree;Likert-scale (4)
197;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;Sometimes I can’t stop myself from doing something, even if I know it is wrong. These are the options: ['Not at all', '2', '3', 'Very Much'];2;"Sometimes I can’t stop myself from doing something, even if I know it is wrong. 

Options: 
- Not at all
- 2
- 3
- Very Much

Answer: 3";Likert-scale (4)
198;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";K. Immigration and migration;How have your perceptions of migration changed from the experience of Hurricane Maria?. These are the options: ['A lot', 'Fairly', 'Little', 'Nothing', 'No answer'];Little;Fairly;Open-ended question.
199;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?

People who speak a different language. These are the options: ['Mentioned', 'Not mentioned', ""Don't know"", 'No answer', 'Missing; Not available']";Not mentioned.;Not mentioned.;Closed question
200;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";N. Economy and work;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Healthcare system. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', 'Missing; Not applicable for other reasons', 'No answer/refused', ""Don't know""]";A great deal of confidence.;Not very much confidence.;"Likert-scale (4) - ""A great deal of confidence"", ""Quite a lot of confidence"", ""Not very much confidence"", ""None at all"""
201;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";P. Methodological research;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

CIS. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know/ Unsure"", 'No answer/ refused']";Don't know/ Unsure;CIS: Not very much confidence.;Likert-scale (4)
202;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";N. Economy and work;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Labour Unions. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";As an AI language model, I don't have personal opinions or beliefs. However, I can provide you with general information. Confidence in labor unions can vary among individuals in the United Kingdom. Some people may have a great deal or quite a lot of confidence in labor unions, while others may have not very much confidence or none at all. It ultimately depends on personal experiences and perspectives.;The answer to this question may vary depending on personal opinions and beliefs. However, according to general trends and surveys, some Americans may have a great deal or quite a lot of confidence in labor unions, while others may have not very much confidence or none at all.;Likert-scale (4).
203;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";P. Methodological research;I refuse things that bad for me. These are the options: ['Not at all', '2', '3', 'Very Much'];Not at all.;Not at all.;Closed question
204;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;How have your perceptions about political culture and political system changed from the experience of Hurricane Maria?. These are the options: ['A lot', 'Fairly', 'Little', 'Nothing', 'No answer'];Little.;Fairly;Closed question
205;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

A couple who cannot conceive should have access to infertility services. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Strongly agree;Strongly agree;Likert-scale (4 levels)
206;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";C. Science and technology;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Sexual education helps people make informed decisions. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Strongly agree;Strongly agree;Likert-scale (4)
207;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";I. Gender and LGBTQ;"In general, how motivated do you think women in your community are to use modern contraceptives?. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'Not at all', ""Don't know"", 'No answer/Refused', 'Missing; Not applicable for other reasons']";Quite a lot.;In general, women in my community are motivated to use modern contraceptives: 'A great deal'.;Likert-scale (5)
208;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.

Government responsibility. These are the options: ['The government should take more responsibility to ensure that everyone is provided for', '2', '3', '4', '5', '6', '7', '8', '9', 'People should take more responsibility to provide for themselves', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";5;5;Likert-scale (10)
209;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Parents may use violence or threats when bringing up their children. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Disagree;Disagree;Likert-scale (4)
210;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"Do you think this country’s government should or should not have the right to do the following: Keep people under video surveillance in public areas. These are the options: ['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Definitely should have the right.;Definitely should have the right.;Likert-scale (5)
211;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";C. Science and technology;"Now, I would like to read some statements and ask how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree”:

One of the bad effects of science is that it breaks down people’s ideas of right and wrong. These are the options: ['Completely disagree', '2', '3', '4', '5', '6', '7', '8', '9', 'Completely agree', ""Don't know"", 'No answer', 'Missing; Not available']";Don't know;5;Likert-scale (11)
212;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;I have a hard time breaking bad habits. These are the options: ['Not at all', '2', '3', 'Very Much'];3;2;Likert-scale (4)
213;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"Do you agree or disagree with this statement: “Political reform should be introduced little by little instead of all at once”?. These are the options: ['I strongly agree', 'I agree', 'I disagree', 'I strongly disagree', ""Don't know"", 'No answer']";I agree.;I agree.;Likert-scale (5)
214;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"How satisfied are you with the following?

The way the government performs its duties in national office. These are the options: ['Completely dissatisfied', 'Rather dissatisfied', 'Rather satisfied', 'Completely satisfied', ""Don't know"", 'No answer']";Rather dissatisfied;The answer to this question will vary depending on the individual's opinion.;Likert-scale (4)
215;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";C. Science and technology;"Now, I would like to read some statements and ask how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree”:

It is not important for me to know about science in my daily life. These are the options: ['Completely disagree', '2', '3', '4', '5', '6', '7', '8', '9', 'Completely agree', ""Don't know"", 'No answer', 'Missing; Not available']";5;5;Likert-scale (11)
216;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government in…?

Provision of utilities (fuel, water, electricity, gas, sanitation). These are the options: ['this is not government’s responsibility', 'Very bad', 'Bad', 'Good', 'Very good', ""Don't know"", 'No answer']";Good;Good;Closed question
217;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Banks. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Unknown']";As an AI language model, I don't have personal opinions or feelings. However, I can provide you with general information. Confidence in banks can vary among individuals. Some people may have a great deal or quite a lot of confidence in banks, while others may have not very much confidence or none at all. It ultimately depends on personal experiences and perceptions.;"The answer to the question is subjective and may vary from person to person. However, a general response for the United States could be:

Banks: Quite a lot of confidence.";Likert-scale (4)
218;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:

Vote for a demobilized as a congressman. These are the options: ['Have done', 'Might do', 'Would never do']";Might do.;Might do.;Likert-scale (3)
219;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";N. Economy and work;If you received an employment opportunity in the last four weeks or during the next month, would you be interested and able to start working?. These are the options: ['Yes', 'No', 'No answer'];Yes;Yes;Closed question
220;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";O. Regions and countries;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

UNDP United Nations Development Programme. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer']";Quite a lot;Quite a lot;Likert-scale (4)
221;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";K. Immigration and migration;"From your point of view, what have been the effects of immigrants on the development of [your country]?:

Lead to social conflict. These are the options: ['Disagree', 'Hard to say', 'Agree', ""Don't know"", 'No answer', 'Missing; Not available']";Disagree.;Disagree;Closed question.
222;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";J. News habits and media;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The press. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";The press: Quite a lot of confidence.;The press: Quite a lot of confidence.;Likert-scale (4)
223;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?

People you know personally. These are the options: ['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";As an AI language model, I don't have personal opinions or experiences. However, I can provide general information about trust in the United Kingdom. Trust in people you know personally can vary from individual to individual. Some people may trust their close friends and family completely, while others may have varying levels of trust depending on the person and their experiences. It is important to note that trust is subjective and can differ from person to person.;People you know personally: Trust completely.;Likert-scale (4).
224;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";N. Economy and work;Why would you prefer to be self-employed rather than an employee?. These are the options: ['No', 'Yes', 'Not applicable'];Yes;Yes;Closed question
225;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";K. Immigration and migration;"From your point of view, what have been the effects of immigrants on the development of [your country]?:

Increase the crime rate. These are the options: ['Disagree', 'Hard to say', 'Agree', ""Don't know"", 'No answer', 'Missing; Not available']";Disagree;Disagree;Likert-scale (5)
226;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:

Encouraging others to take action about political issues. These are the options: ['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Missing; Not available']";Might do.;Might do.;Likert-scale (5)
227;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";N. Economy and work;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Major Companies. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";As an AI language model, I don't have personal opinions or feelings. However, I can provide general information about the confidence levels people in the United Kingdom may have in major companies. It's important to note that individual opinions may vary.;As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information about public perception in the United States. Confidence in major companies can vary among individuals, and opinions may differ based on personal experiences and perspectives. It is not possible to provide a single answer that represents the entire population's confidence level in all major companies.;Likert-scale (4)
228;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Men may use violence to keep their wives in line. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Disagree;Disagree;Likert-scale (4)
229;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";L. Family and relationships;"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Not being selfish (unselfishness). These are the options: ['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Important;Important;Likert-scale (5).
230;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";I. Gender and LGBTQ;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Having a son is always better than having a daughter. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Disagree;Disagree;Likert-scale (4).
231;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";B. Religion and spirituality;"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Women should have access to safe abortion services (to terminate an unwanted pregnancy). These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']";Agree;Agree;Closed question
232;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";A. Social values and attitudes;"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?

People of another nationality. These are the options: ['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information. Trust in people of another nationality can vary among individuals in the United Kingdom. Some people may trust people of another nationality completely or somewhat, while others may not trust them very much or at all. Trust levels can be influenced by personal experiences, cultural factors, and individual biases.;As an AI language model, I don't have personal opinions or beliefs. However, I can provide you with general information. Trust in people from another nationality can vary among individuals in the United States. It is important to note that trust levels can be influenced by personal experiences, cultural biases, and societal factors.;Closed question.
233;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";O. Regions and countries;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The Mercosur. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer']";Don't know;Don't know;Likert-scale (4)
234;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?

Having experts, not government, make decisions according to what they think is best for the country. These are the options: ['Very good', 'Fairly good', 'Fairly bad', 'Very bad', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Fairly bad.;Fairly bad.;Likert-scale (4).
235;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"Of course, we all hope that there will not be another war, but if it were to come to that, would you be willing to fight for your country?. These are the options: ['Yes', 'No', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Yes.;Yes.;Closed question
236;"Anthropic: WVS; answers from GPT";"Anthropic: WVS; answers from GPT";D. Politics and policy;"Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy

Religious authorities interpret the laws. These are the options: ['It is against democracy (spontaneous)', 'Not an essential characteristic of democracy', '2', '3', '4', '5', '6', '7', '8', '9', 'An essential characteristic of democracy', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Not an essential characteristic of democracy;Not an essential characteristic of democracy;Likert-scale (10)
