question,answer_uk,answer_us,category
"Please tell me if you think the PRI, the PAN, or the PRD party could do a better job in each of the following areas. Which party could do a better job of dealing with corruption?",DK/Refused,None (VOL),D. Politics and policy
"Do you personally believe that drinking alcohol is morally acceptable, morally unacceptable, or is it not a moral issue?",Morally acceptable,Morally acceptable,A. Social values and attitudes
"I am going to read you the same list.  Does...you can openly say what you think and can criticize the (state or government)...describe our country very well, somewhat well, not too well or not well at all?"," ""Very well"""," ""Very well""",D. Politics and policy
"As I read a list of groups and organizations, please tell me how good a job each has done in responding to the impact of the March 11th earthquake and tsunami...Prime Minister Naoto Kan."," ""Somewhat poor"""," ""Somewhat poor""",D. Politics and policy
"Here is a list of three dangers in the world today.  In your opinion, which one of these poses the greatest threat to the world?"," ""Pollution and other environmental problems"""," ""Pollution and other environmental problems""",O. Regions and countries
Do you think Arabs and blacks in North Africa can live peacefully together or don't you think so?," ""Can live together"""," ""Can live together""",M. Race and ethnicity
What kind of influence is…acting President Oleksandr Turchynov...having on the way things are going in Ukraine?," ""Somewhat bad"""," ""Somewhat bad""",O. Regions and countries
How satisfied are you with the way democracy is working in our country?," ""Somewhat satisfied"""," ""Not too satisfied""",D. Politics and policy
"For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs – a lot of confidence, some confidence, not too much confidence, or no confidence at all. h. Hungarian Prime Minister Viktor Orban."," ""Not too much confidence"""," ""No confidence at all""",D. Politics and policy
Has each of the following gotten better or worse over the last five years in our country: the gap between rich and poor people.," ""Worse"""," ""Worse""",N. Economy and work
"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? b. the public."," ""Somewhat bad job"""," ""Somewhat bad job""",A. Social values and attitudes
"Thinking about possible war with Iraq, would you favor or oppose your country's joining the US and other allies in military action in Iraq to end Saddam Hussein's rule?"," ""Oppose"""," ""Favor""",G. International affairs
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Competitive...," ""Yes"""," ""Yes""",A. Social values and attitudes
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Turkish Prime Minister Tayyip Erdogan?",Somewhat unfavorable,Very unfavorable,D. Politics and policy
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Indian influence in Afghanistan.",Small problem,Not a problem at all,G. International affairs
"For each statement, please tell me whether you completely agree with it, mostly agree with it, mostly disagree with it or completely disagree with it...Russia/Lithuania should be for Russians/Lithuanians."," ""Mostly disagree"""," ""Completely disagree""",O. Regions and countries
"I’d like your opinion about some possible international concerns. Do you think that ____ is a major threat, a minor threat or not a threat to your country? e. the Islamic militant group in Iraq and Syria known as ISIS."," ""Major threat"""," ""Major threat""",G. International affairs
"Do you think the government of Ukraine respects the personal freedoms of its people, or don’t you think so?","No, does not respect personal freedoms","No, does not respect personal freedoms",D. Politics and policy
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Drug cartel-related violence.",Moderately big problem,Very big problem,D. Politics and policy
How serious of a threat is the Taliban to our country?,Somewhat serious threat,Very serious threat,O. Regions and countries
"According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...American citizens?"," ""Unacceptable"""," ""Unacceptable""",D. Politics and policy
"How likely or unlikely do you think it is that, in the future, a cyberattack will result in the following situation? a. Public infrastructure in your country such as power grids or phone and internet systems will be damaged.",Somewhat likely,Somewhat likely,H. Internet and technology
"On another topic, had you heard that President Barack Obama's father was Kenyan, or hadn't you heard this?",Had heard,Had heard,O. Regions and countries
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Freedom and Justice Party.",DK/Refused,DK/Refused,D. Politics and policy
"To end the conflict in eastern Ukraine, which one of the following solutions do you think is best...Use military force to fight the pro-Russion separatists, or Negotiate a settlement with the separatists and Russia?",Negotiate a settlement with the rebels and Russia,Negotiate a settlement with the rebels and Russia,G. International affairs
"Do you think the upcoming parliamentary elections will improve conditions in our country, make them worse, or have no effect?",No effect,No effect,D. Politics and policy
"Do you think that the rise of nontraditional political parties in your country, such as [INSERT COUNTRY-SPECIFIC EXAMPLE], is a good thing because these parties raise important issues that are ignored by the traditional parties OR a bad thing because these parties are too extreme?",Good,Good,D. Politics and policy
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Generous...Do you associate this with people in Western countries or not?,Yes,Yes,O. Regions and countries
Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? d. dealing with political opposition.,Disapprove,Disapprove,D. Politics and policy
"Do you think that an increase in trade and business ties between your country and (India/Pakistan) would be a very good thing, somewhat good, somewhat bad or a very bad thing for our country?",Somewhat good,Somewhat good,O. Regions and countries
Do you think this change in the availability of modern medicines and treatments is largely because of the way the world has become more connected or mostly for other reasons?,Largely more connected,Other reasons,C. Science and technology
"Here is the 'ladder of life.'  Let's suppose the top of the ladder represents the best possible life for you; and the bottom, the worst possible life for you.  On which step of the ladder do you feel you stand at the present time?",7.0,8.0,A. Social values and attitudes
"Now thinking about standards for products and services...In general, do you trust European standards or American standards more when it comes to data privacy?",European standards,American standards,H. Internet and technology
"For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? d. reporting on the most important news events.",Somewhat well,Somewhat well,J. News habits and media
"Do you think our country's efforts to reduce government spending have gone too far, not gone far enough or have they been about right?",Not gone far enough,About right,D. Politics and policy
"Overall, was the break-up of Czechoslovakia into two independent states a good thing or a bad thing?",Good,Good,O. Regions and countries
"I am going to read you a list of things that the government might do to improve public health and health care in our country.  As I read each one, please tell me how much of a priority you think it should be for the (state or government)--one of the most important priorities, a very important priority, a lower priority, or not a priority at all?...Making sure everyone has access to good quality drinking water.",One of the most important priorities,One of the most important priorities,D. Politics and policy
"Do you personally believe that getting a divorce is morally acceptable, morally unacceptable, or is it not a moral issue?",Not a moral issue,Not a moral issue,A. Social values and attitudes
Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… b. Promotes economic development.,Yes,Yes,G. International affairs
"In general, do you think our country is covered fairly or unfairly in the international news media?",Covered fairly,Covered unfairly,J. News habits and media
"Thinking about some issues, do you approve or disapprove of the way the European Union is dealing with ____? a. European economic issues.",Disapprove,Disapprove,O. Regions and countries
"How concerned, if at all, are you about Hindu extremism in our country these days?",Not at all concerned,Not at all concerned,B. Religion and spirituality
Which one better describes George W. Bush?,He makes decisions based entirely on U.S. interests,He makes decisions based entirely on U.S. interests,D. Politics and policy
Most important event in U.S.-Germany relations over the last 75 years?,World War II and the Holocaust,World War II and the Holocaust,O. Regions and countries
Does this statement describe your country well? Most politicians are corrupt.,Somewhat well,Somewhat well,D. Politics and policy
"If robots and computers replace human jobs, will ordinary people have a hard time finding jobs?","Yes, likely","Yes, likely",C. Science and technology
How important is a fair judicial system?,Very important,Very important,A. Social values and attitudes
Should government prevent statements that call for violent protests?,Government should be able to prevent people from saying these things,Government should be able to prevent people from saying these things,D. Politics and policy
Opinion on PRD (Partido de la Revolución Democrática)?,DK/Refused,DK/Refused,D. Politics and policy
How much influence does China have on economic conditions in your country?,Fair amount,Fair amount,O. Regions and countries
How much of a threat does Islamic extremism pose to our country?,Fairly great,Fairly great,B. Religion and spirituality
Optimism/Pessimism about relations with other European countries?,Optimistic,Pessimistic,O. Regions and countries
U.S.'s assistance to Japan for earthquake and tsunami?,Great deal,Great deal,G. International affairs
Opinion on Maya Jribi?,DK/Refused,DK/Refused,D. Politics and policy
"Who has more political power, Vladimir Putin or Dmitry Medvedev?",Vladimir Putin,Vladimir Putin,D. Politics and policy
Do you know someone who was captured by 'La Migra' at the U.S. border?,"No, I do not know anyone","No, I do not know anyone",K. Immigration and migration
The state controls too much of our daily lives.,Mostly agree,Mostly agree,D. Politics and policy
Influence of banks and financial institutions?,Somewhat bad,Somewhat bad,N. Economy and work
Likelihood to take political action on poor health care?,Somewhat likely,Somewhat likely,D. Politics and policy
Opinion on People's Party for Freedom and Democracy (VVD)?,DK/Refused,DK/Refused,D. Politics and policy
Has the EU provided too much financial assistance to troubled EU countries?,About the right amount,Not enough,D. Politics and policy
"As I read a list of groups and organizations, please tell me how good a job each has done in responding to the impact of the March 11th earthquake and tsunami...Our national government.",Somewhat poor,Somewhat poor,D. Politics and policy
"As I read a list of groups and organizations, for each, please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of the Ukrainian military very good, somewhat good, somewhat bad or very bad in your country?",Somewhat good,Somewhat good,O. Regions and countries
"For each of the following statements about the missile strikes from pilotless aircraft called drones, please tell me whether you agree or disagree...they are necessary to defend Pakistan from extremist groups.",Disagree,Agree,A. Social values and attitudes
Has the Turkish parliament made the right decision not to allow the American military to use Turkey as a staging ground for a possible war against Iraq?,Right decision,Wrong decision,D. Politics and policy
Do you approve or disapprove of the U.S. military operation that killed Osama bin Laden?,Approve,Approve,D. Politics and policy
"And, would you support or oppose the U.S. ending its trade embargo against Cuba, which would allow U.S. companies to do business in Cuba and Cuban companies to do business in the U.S.?",Support,Support,D. Politics and policy
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries.",Moderately big problem,Moderately big problem,N. Economy and work
As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should try to develop a missile defense system even if it means withdrawing from the ABM treaty.,Disapprove,Approve,D. Politics and policy
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Generous...Do you associate this with (the Chinese, the Japanese) or not?",No,No,M. Race and ethnicity
"After the dissolution of the Soviet Union, we changed from a country where there was just one party to a country with a multiparty system. Overall, do you strongly approve, approve, disapprove or strongly disapprove of this change in your country?",Strongly approve,Strongly approve,D. Politics and policy
"In general, when European companies build factories in our country, does that mostly help or mostly hurt our economy?",Mostly help,Mostly help,N. Economy and work
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…Supreme Constitutional Court.",Somewhat favorable,Somewhat favorable,D. Politics and policy
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Government corruption.",Very big problem,Very big problem,D. Politics and policy
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the world economic crisis.,Approve,Disapprove,D. Politics and policy
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Respectful of Women...Do you associate this with people in Western countries or not?,Yes,Yes,O. Regions and countries
"How likely are you personally to take political action on __ , such as contact an elected official or participate in a demonstration? e. discrimination against ethnic/religious/racial/vulnerable or disadvantaged groups.",Somewhat likely,Somewhat likely,D. Politics and policy
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Tensions between Sunnis and Shia.",Small problem,Small problem,B. Religion and spirituality
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. c. Party for Freedom (PVV).",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. c. Democratic Coalition (PASOK & DIMAR).",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. Socialist Party (PS).",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...UN Secretary General Kofi Annan.",Somewhat favorable,Somewhat favorable,D. Politics and policy
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. f. climate change.,Disapprove,DK/Refused,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...India.",Somewhat favorable,Somewhat favorable,O. Regions and countries
"Thinking about (survey country’s) future, how important is it that people can hold peaceful protests against the government?",Very important,Very important,D. Politics and policy
"Now I'm going to read you a list of countries. For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Croatia.",Favor,Oppose,O. Regions and countries
"In making international policy decisions, to what extent do you think the United States takes into account the interests of",Not too much,Fair amount,D. Politics and policy
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Devout...,No,No,O. Regions and countries
What is most responsible for Muslim nations' lack of prosperity?,Corruption in the governments of Muslim nations,Lack of democracy,B. Religion and spirituality
"Think of the changes that have taken place in your country since 1989 / 1991. Have those changes had a very good influence, a good influence, a bad influence or a very bad influence on the following? d. The standard of living.",Good influence,Very good influence,O. Regions and countries
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Health care.",Moderately big problem,Very big problem,D. Politics and policy
Do you think people should be able to say these types of things publicly OR the government should be able to prevent people from saying these things in some circumstances. b. statements that are offensive to minority groups.,Government should be able to prevent people from saying these things,People should be able to say these things publicly,D. Politics and policy
"I'd like your opinion about some possible international concerns for the U.S. Do you think that drug-related violence in Mexico is a major threat, a minor threat or not a threat to the well being of the United States?",Minor threat,Major threat,G. International affairs
Please tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. d. Immigrants today increase the risk of terrorism in our country.,Second statement,First statement,K. Immigration and migration
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Access to drinking water.",Small problem,Small problem,D. Politics and policy
"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. d. withdraw U.S. support for major trade agreements.",Disapprove,Approve,D. Politics and policy
"Here are some reasons given for using military force against Iraq. As I read a reason, tell me if it is a very important, fairly important, or not important reason to justify the use of military force against Iraq. If we learned that Iraq helped the terrorists attack the United States on September 11th, would that be a very important reason, fairly important reason, or not important reason to justify the use of military force against Iraq?",Very important reason,Very important reason,D. Politics and policy
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. bb. people leaving our country for jobs in other countries.",Moderately big problem,Moderately big problem,N. Economy and work
"What's your impression, does the Church play too great a role in the political life of this country today, too small a role in its political life or about the right role?",About right,Too great,B. Religion and spirituality
"As I read each one, please tell me if you think it is a very important, somewhat important, not too important, or not at all important reason why people in your country move to other countries. c. To find better educational opportunities.",Very important,Very important,K. Immigration and migration
"As I read each one, please tell me if you think it is a very important, somewhat important, not too important or not at all an important reason why many people do not have jobs. b. some people are unmotivated or lazy.",Somewhat important,Somewhat important,N. Economy and work
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Venezuela.",Somewhat unfavorable,Somewhat unfavorable,O. Regions and countries
Which one of the following countries would you trust most to do the right thing in protecting the world's environment?,Britain,United States,O. Regions and countries
"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. b. build a wall on the border between the U.S. and Mexico.",Disapprove,Approve,D. Politics and policy
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Inventive...Do you associate this with the American people or not?,Yes,Yes,A. Social values and attitudes
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Ukrainians.",Mostly favorable,Mostly favorable,A. Social values and attitudes
"If Iran were to develop nuclear weapons, do you think they would be likely to...use them for defensive purposes only, or not?","No, not likely","No, not likely",G. International affairs
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Immoral...Do you associate this with people in Western countries or not?,No,No,O. Regions and countries
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Ettakatol (FDTL)?",DK/Refused,DK/Refused,D. Politics and policy
"Now thinking about U.S. trade with particular countries. Do you think increased trade with Germany would be a very good thing, somewhat good, somewhat bad or a very bad thing for our country?",Very good,Somewhat good,O. Regions and countries
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. The Labour Party.",Somewhat favorable,Somewhat unfavorable,D. Politics and policy
"I'd like your opinion about the effectiveness of different ways of trying to influence what the government does. How effective is it to...participate in labor strikes...very effective, somewhat effective, not too effective, or not at all effective?",Somewhat effective,Not too effective,D. Politics and policy
"People have different views of democracy. As I read you a list, please tell me how important each of the following is in a democracy to you. People have access to the internet without government censorship or interference...do you think this is very important, somewhat important, not too important or not important at all in a democracy?",Very important,Very important,D. Politics and policy
"Please indicate how much of a problem, if at all, each would be for the U.S. h. Tensions between Mainland China and Hong Kong.",Somewhat serious,Very serious,G. International affairs
Why do you think the US is conducting the war on terrorism? Is...To protect Israel...an important reason why the US is doing this or not?,No,No,D. Politics and policy
"Have the changes that have taken place in your country since 1991 had a very good influence, a good influence, a bad influence or a very bad influence on the following: Caring about other people in the society?",Good influence,Bad influence,A. Social values and attitudes
"I am going to read you the same list.  Does...there is a judicial system that treats everyone in the same way...describe our country very well, somewhat well, not too well or not well at all?",Somewhat well,Not too well,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the European Union.",Somewhat favorable,Somewhat unfavorable,O. Regions and countries
"I am going to read you the same list.  Does...honest elections are held regularly with a choice of at least two political parties...describe our country very well, somewhat well, not too well or not well at all?",Very well,Somewhat well,D. Politics and policy
"Thinking about the public as a whole, do you think this country is now more UNITED or more DIVIDED than before the coronavirus outbreak?",More divided,More divided,D. Politics and policy
How much of a danger is the current government in North Korea to stability in Asia and world peace?,A great danger,A great danger,G. International affairs
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Citizens (C's).",Somewhat favorable,Somewhat favorable,A. Social values and attitudes
"Do you approve or disapprove of the United States conducting missile strikes from pilotless aircraft called drones to target extremists in countries such as Pakistan, Yemen and Somalia?",Disapprove,Approve,D. Politics and policy
"Thinking about HIV prevention, do you think our country is making progress in HIV prevention, losing ground, or is prevention about the same as it has been?",Making progress,Making progress,B. Religion and spirituality
"In your opinion, is the Pakistani government making progress in the fight against extremist groups, losing ground, or are things about the same as they have been in the past?",Losing ground,Losing ground,D. Politics and policy
"Thinking about restrictions on public activity in the public over the course of the coronavirus outbreak, do you think there should have been more restrictions, fewer restrictions, or were the restrictions about right?",More restrictions,Fewer restrictions,D. Politics and policy
"Thinking about immigration, would you support or oppose your country deporting immigrants currently in the country illegally?",Oppose,Support,K. Immigration and migration
"Do you strongly approve, approve, disapprove or strongly disapprove of the way (name of survey country leader) is handling her/his job as President/Prime Minister/Chancellor?",Disapprove,Disapprove,D. Politics and policy
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. e. terrorism.,Approve,Disapprove,D. Politics and policy
"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? c. the United Nations.",Somewhat good job,Somewhat bad job,G. International affairs
"All in all, do you think the January elections in Iraq will lead to a MORE stable situation, a LESS stable situation, or will the situation in Iraq not change much?",Less stable,Less stable,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of the Islamic militant group in Iraq and Syria known as ISIS?",Very unfavorable,Very unfavorable,B. Religion and spirituality
"Is the influence of large companies from other countries very good, somewhat good, somewhat bad or very bad in our country?",Somewhat bad,Somewhat good,O. Regions and countries
"Right now, is the Chinese economy having a positive or negative impact on economic conditions in the rest of the world?",Negative,Negative,N. Economy and work
"Now thinking about India, do you think relations between India and the U.S. have improved in recent years, or don't you think so?","Yes, have improved","Yes, have improved",G. International affairs
"Compared to ten years ago, is there now more or less of the following: freedom to choose who to vote for without feeling pressured?",More,More,D. Politics and policy
"Turning to China, all things considered, was the decision to hold the 2008 Summer Olympics in China a good or bad decision?","Bad,Bad""",,O. Regions and countries
Some people in our country feel that democracy is a Western way of doing things that would not work here - others think that democracy is not just for the West and can work well here. Which comes closer to your opinion?,Can work here,Can work here,D. Politics and policy
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of The Egyptian Bloc?",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? e. Technological achievements.",Above average,The best,C. Science and technology
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Mahdi Jomaa?"," ""DK/Refused""",DK/Refused,D. Politics and policy
"Overall, do you think current economic ties between your country and ____ are very good, somewhat good, somewhat bad or very bad? b. China",Somewhat bad,Somewhat bad,O. Regions and countries
"Overall, do you think current economic relations between the U.S. and China are very good, somewhat good, somewhat bad or very bad?",Somewhat bad,Somewhat bad,O. Regions and countries
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Osama bin Laden",Very unfavorable,Very unfavorable,Q. Security
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Jews",Mostly favorable,Mostly favorable,M. Race and ethnicity
"Do you think the Pakistani government provided intelligence to the U.S. that led to the killing of Osama bin Laden, or don't you think so?","No, did not provide intelligence","Yes, provided intelligence",D. Politics and policy
"As I read this list of countries and organizations, please tell me if each has done a great deal, fair amount, not very much or nothing at all to assist Japan with the impact of the earthquake and tsunami...China",Fair amount,Not very much,O. Regions and countries
Do you approve or disapprove of the way President Dilma Rousseff is handling each of the following areas...Foreign policy?,Disapprove,Disapprove,D. Politics and policy
"Which comes closer to describing your view?...I like foreign music, movies and television OR I dislike foreign music, movies and television",I like foreign music,I like foreign music,A. Social values and attitudes
"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely",Very important,Very important,D. Politics and policy
"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? a. people can practice their religion freely",Very important,Very important,B. Religion and spirituality
"When children today in your country grow up, do you think they will be better off or worse off than people are now?",Worse,Worse,F. Generations and age
"How closely have you been following news about the U.S. military operation that killed Osama bin Laden - very closely, somewhat closely, not too closely or not at all closely?",Somewhat closely,Very closely,J. News habits and media
"As I read a list of groups and organizations, for each, please tell me what kind of influence the group is having on the way things are going in your country.   Is the influence of Tokyo Electric Power Company (TEPCO) very good, somewhat good, somewhat bad or very bad in your country? ",Somewhat bad,Somewhat bad,D. Politics and policy
Please tell me whether you agree or disagree with the following statement: People should be willing to pay higher prices in order to address global climate change?,Agree,Disagree,D. Politics and policy
"Thinking about our country's future, should Turkey look more to Europe or more to the Middle East?",Europe,Europe,O. Regions and countries
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with China,Disapprove,Disapprove,D. Politics and policy
"What is most responsible for Nigeria's lack of prosperity?  Is it the policies of the U.S. and other western nations, the weakness of democracy in Nigeria, the lack of education in Nigeria, corruption in the Nigerian government, or conflict among ethic and religious groups in Nigeria?",Corruption in the Nigerian government,Corruption in the Nigerian government,D. Politics and policy
"And what about the following countries or organizations, how would you rate the kind of influence they are having on the way things are going in your country...Russia?",Mostly bad influence,Mostly bad influence,O. Regions and countries
"On a different subject, how concerned, if at all, are you about Islamic extremism in our country these days?",Somewhat concerned,Somewhat concerned,D. Politics and policy
"As I read a list of groups and organizations, for each, please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of...Prime Minister Mehdi Jomaa...",DK/Refused,DK/Refused,D. Politics and policy
"Thinking about the public, would you say each of the following aspects needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed? a. the economic system.",It needs major changes,It needs major changes,N. Economy and work
How important are the Olympics to you personally?,Somewhat important,Not very important,A. Social values and attitudes
"Overall, do you think we are paying too much attention to the Olympics, not enough attention, or just the right amount of attention?",Right amount,Too much,H. Internet and technology
The situation in Kashmir.,Small problem,Small problem,O. Regions and countries
Which of the following comes closer to your view?...I like the pace of modern life. I do not like the pace of modern life.,Like pace of modern life,Like pace of modern life,A. Social values and attitudes
Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas...corruption,Disapprove,Disapprove,D. Politics and policy
"I'd like your opinion about some possible international concerns for the U.S. Do you think that Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?",Major threat,Major threat,G. International affairs
"In the past 12 months, have you used your cell phone to do any of the following things?...access a social networking site.",Yes,Yes,H. Internet and technology
What's your opinion of U.S. policies in the Middle East - would you say they are fair or do they favor Israel too much or do they favor the Palestinians too much?,Favor Israel,Favor Israel,D. Politics and policy
