,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
98,99,13481.json,false,Ed Gillespie would not mention (Donald Trumps) name unless he was condemning him.,campaign-advertising,corey-stewart,"Chairman, Prince William County board of supervisors",Virginia,republican,2.0,1.0,0.0,0.0,0.0,an interview.,"Stewart said Gillespie ""would not mention"" Trumps name ""unless he was condemning him. ""Gillespie certainly did not praise Trump, and he did criticize the presidential nominee for making a vulgar statement about women. But there are several instances where Gillespie mentioned Trump while voicing support of the GOP ticket, saying it was important to keep conservative control of the U. S.  Supreme Court."
101,102,8542.json,false,One of the main functions of the Department of Homeland Securitys SAVE database is checking voter registration citizenship status.,elections,ken-detzner,Secretary of State,Florida,republican,0.0,1.0,0.0,1.0,0.0,a state Senate ethics and elections committee hearing,"SAVE is primarily used for agencies to check citizenship status for public benefits or drivers licenses. Using SAVE to check voter registration eligibility is a more recent use, and only in effect in four states, plus a few Arizona counties. For fiscal year 2013, voter registration queries equaled less than 1 percent of the searches."
105,106,7215.json,false,Says George Washington said a free people should be armed to guard against government tyranny.,"government-regulation,guns",louie-gohmert,U.S. House member,Texas,republican,2.0,6.0,1.0,0.0,1.0,an interview on ‘Fox News Sunday’,"Gohmerts rendering, ""George Washington said a free people should be an armed people,"" seemingly tracks Washingtons words to the nation: ""A free people ought not only to be armed, but disciplined. ""Contrary to Gohmerts characterization, though, Washington was not speaking about citizens arming themselves in case of government tyranny. Quite the opposite: The president and former general was calling for disciplined troops to fight on behalf of the government."
116,117,8827.json,false,"U.S. Rep. John Barrow, D-Ga., does not want to audit the Federal Reserve.",financial-regulation,rick-allen,businessman,Georgia,republican,0.0,1.0,0.0,0.0,0.0,a tweet,"In short, McLagan said, Barrow is not truly committed to auditing the Fed. ""Hes on both sides of every issue,"" McLagan said repeatedly of Barrow. Barrow, though, has co-sponsored and voted for legislation in favor of an audit."
122,123,13364.json,false,"The photonics bill that was sponsored in Congress and written, was written by Congressman Tom Reed, not Congresswoman Louise Slaughter.","economy,jobs",mark-assini,Candidate for Congress,New York,republican,0.0,1.0,0.0,0.0,0.0,a debate on WROC,"At a debate between candidates in the 25th Congressional District, Assini said, ""The photonics bill that was sponsored in Congress and written, was written by Congressman Tom Reed, not Congresswoman Louise Slaughter. ""Financial support for the new photonics institute comes from Department of Defense funds that existed before Congress approved the Revitalize American Manufacturing and Innovation Act of 2014. The Department of Defense says Rochester was selected based on the application prepared by SUNY Polytechnic Institute. The state says no lawmakers were involved in crafting the application, but Slaughter did ask the Obama administration to consider Rochester in the selection process."
127,128,9329.json,false,We were the last flag flying in Benghazi.,"foreign-policy,terrorism",trey-gowdy,U.S. House of Representatives,South Carolina,republican,1.0,1.0,0.0,0.0,0.0,"an interview on ""Fox News Sunday""","Gowdy said the United States had ""the last flag flying in Benghazi. ""Some nations, such as the United Kingdom, had abandoned Benghazi or limited their footprint prior to the attack on the United States complex. But like a game of telephone, the meaning of the phrase Gowdy used shifted from its original meaning as politicians embraced it as an evocative talking point. In his testimony, Wood used the phrase more rhetorically than literally, explaining that the United States was the last of three western institutions that had been mentioned in a terrorist threat to be attacked."
141,142,7913.json,false,A monthly police and fire protection fee on all Wisconsin phone bills does nothing to support police and fire.,"criminal-justice,state-budget,state-finances,taxes",andre-jacque,,,republican,0.0,1.0,0.0,0.0,0.0,an interview,"So, indirectly, the phone fee helps support police and fire, given that a county sheriffs department, or a city police or fire department, are among the largest expenses in local government. Our rating    Jacque said a 75 cents-per-month ""police and fire protection fee"" on Wisconsin phone bills does nothing to support police and fire. The $50 million per year in phone fee revenue isnt dedicated to police and fire protection. But the money does support those services indirectly, in that it goes to local governments, which spend a large portion of their budgets on police and fire services."
142,143,11167.json,false,Illegal immigration wasnt a subject that was on anybodys mind until I brought it up at my announcement.,immigration,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,the first Republican debate,"Trump said that if it werent for him, Wallace in particular and the media in general wouldnt be talking about illegal immigration. The numbers tell a very different story. For Wallace and his Fox News show itself, the topic came up just as frequently before Trump announced as afterward. For mentions in major newspapers, the pattern is somewhat mixed, but mentions were common before Trump announced. Theres no doubt Trumps bombastic comments brought additional attention to the issue, but the issue was on the minds of the media -- and politicians -- before Trump entered the fray. But Trump stated that the topic would not be on the table at all if not for him. That is clearly not the case."
156,157,2855.json,false,On high-speed rail.,"federal-budget,state-budget,transportation",tom-petri,U.S. House member -- 6th District,Wisconsin,republican,0.0,1.0,0.0,0.0,0.0,a news release ,"He said Wisconsins money could well wind up going to another state. ""If thats the choice,"" Petri said, ""Id say just go ahead with it. ""For now, well say Petri has gone from a full-blown advocate for the high speed rail project to signing onto a statement that condemned the project."
190,191,1129.json,false,"Ezekiel Emanuel, one of President Obama's key health care advisers, says medical care should be reserved for the nondisabled. So watch out if you're disabled.",health-care,michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,a statement on the House floor,"And we certainly think it's fair to question where such ideas might lead in a practical sense. Emanuel is a key health care adviser. Emanuel's hefty medical record also counts for something, as well his unequivocal public position against euthanasia and doctor-assisted suicide."
191,192,2997.json,false,On whether state employees should contribute to their pensions.,retirement,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,"a Dec. 19, 2010 speech to legislators.  ","""Since that time, everyone has learned additional, significant details regarding VRS and the need significant new investment in the immediate future,"" she said. McDonnell last week told reporters, ""The system is broken and badly in need of repair. I will not pass on a broken system to another governor. ""Thats a noble goal, but a reversal nonetheless."
192,193,11175.json,false,Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.,foreign-policy,ben-carson,,,republican,7.0,12.0,3.0,2.0,4.0,the first Republican debate,"Carson said Ukraine was a nuclear-armed state and that it gave up those arms with the understanding that the United States would protect it. Meanwhile, the security agreements struck after the fall of the USSR specifically avoided committing the United States to protecting Ukraine, instead committing not to attack the newly created independent nation."
195,196,6448.json,false,I didnt try to push a bill to reduce lottery scholarship proceeds for students.,"education,lottery",dolores-gresham,State senator,Tennessee,republican,0.0,2.0,0.0,0.0,0.0,in an interview with The Commercial Appeal.,"Berke, Jim Kyle (Memphis) and Roy Herron (Dresden). Gresham moved an amendment on the bill and tabled another. Our ruling   It may be a quibble over semantics, but we think when the record shows that a state Senate committee chairwoman sponsored a bill, argued for its passage through two separate committee, tabled amendments offered by opponents and led it to passage on the Senate floor, that qualifies as trying to push for a bill. On the Senate floor, only one other member even spoke in favor of the bill in the entire 45-minute floor debate."
197,198,1572.json,false,"Several times, Obama has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .","foreign-policy,patriotism,terrorism",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,"his book ""No Apology.""","In reviewing Romney's book, we couldn't help but notice that Romney's diagnosis of the problems America faces are very similar to the themes Obama often repeats: The U. S.  needs to educate its children better to remain competitive in the global marketplace. We spend too much money on health care. The fiscal future is ultimately unsustainable. It is in the matter of foreign policy that Romney lays out the most aggressive case against Obama, warning that the United States needs to maintain its military dominance in the world, particularly in the face of threats from China, Russia and Islamic jihadists. Obama, Romney writes, needs to ""proudly defend her rather than continually apologize for her. ""Here, we're checking Romney's statement that Obama ""has apologized for what he deems to be American arrogance, dismissiveness, and derision"" and a host of other reasons. If you think American presidents should never admit to any sort of error at any time, you might find yourself in philosophical agreement with Romney's criticisms. We set out to discover whether Obama really had apologized in his speeches, and what he was apologizing for. But in our review of his words, we came up short. Yes, there is criticism in some of his speeches, but it's typically leavened by praise for the United States and its ideals, and often he mentions other countries and how they have erred as well. There's not a full-throated, sincere apology in the bunch."
211,212,6891.json,false,Repealing and replacing Obamacare thats going to save $1 trillion over a 10-year period.,"debt,health-care",george-allen,consultant,Virginia,republican,2.0,8.0,3.0,4.0,1.0,a debate.,"Allen, in describing how he would cut debt, said repeal of the health care act would ""save $1 trillion over a 10-year period. ""The three studies he cites from conservative analysts dont put the debt reduction anywhere near $1 trillion -- the closest he gets is $701 million in a report commissioned by the House Republican leadership. And a report by the nonpartisan CBO says the repeal of Obamacare would increase debt by $109 billion over 10 years."
212,213,10708.json,false,The Georgia Legislatures last day of session ends at midnight.,"states,transparency",david-ralston,,Georgia,republican,1.0,1.0,0.0,1.0,0.0,comments from the House floor,"Ralston implied that there is a midnight deadline for action. Most years, the chambers do end their work before midnight. Legal experts in the state and nationally agree, though, that no such clock watching is needed. Lawmakers meet for 40 legislative days, which end only when the chambers adjourn."
216,217,9145.json,false,A poll taken a few months ago found 70 percent approval or higher for the Act 10 collective bargaining law.,"city-government,county-government,education,health-care,pensions,polls,state-budget,state-finances,taxes,unions",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,an interview,"As for what the level of support for Act 10 there may have been a few months ago, Franklin told us the results could be the same, but: ""We simply don't know. ""Our rating Walker said a poll ""taken a few months ago"" found ""70 percent approval or higher"" for his Act 10 collective bargaining law. No known poll has asked Wisconsinites about Act 10 in the months leading up to Walker's statement on April 1, 2014, and his staff did not cite one. One poll question from May 2012 found 75 percent support for one part of the law, but what the level of support for Act 10s various provisions might have been a few months ago is strictly speculation."
229,230,1286.json,false,"Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.",health-care,john-boehner,Speaker of the House of Representatives,Ohio,republican,13.0,22.0,11.0,4.0,2.0,a statement on his Web site,"Obama later made a more accurate statement, that if you ""already have health insurance through your job, or Medicare, or Medicaid, or the VA, nothing in this plan will require you or your employer to     change the coverage or the doctor you have    . ""But we've also found nothing in the proposals so far that would force people off their current coverage into a government-run plan, if they prefer and can pay for private coverage. Boehner said that was ""exactly what the Democrats' plan would do."
256,257,12254.json,false,"Says Jeb Bush and Marco Rubio had it set so that the winner takes everything, because they wanted to make sure that I didnt get anything in the Florida primary.",elections,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"a speech in Rome, N.Y.","Trump says that Bush and Rubio ""had it set so that the winner takes everything, because they wanted to make sure that I didn't get anything"" in the Florida primary. It wasnt Bush or Rubio who set those rules for the March 15, 2016, primary. It was the Florida Legislature that passed the bill setting the date, allowing the state GOP to decide whether to make it winner-take-all. By that point, Trump was a potential candidate, but he wasnt seen as a major threat to Rubio or Bush -- especially in Florida -- at that point."
261,262,2924.json,false,There are 10 or 20 deaths a year from foodborne illness in the United States.,"agriculture,health-care,market-regulation",tom-coburn,U.S. Senator,Oklahoma,republican,2.0,3.0,3.0,2.0,0.0,a Senate floor speech,"We also acknowledge that reasonable scientists can disagree over whether Mead's team made the right assumptions when they made their calculations. But Coburn's estimate also ignored a much more solid number -- the number of deaths estimated through laboratory-confirmed data from FoodNet. By themselves, the confirmed death figures just from FoodNet's 10 states are roughly five times bigger than Coburn's estimate, and the national approximation based on those numbers is 25 times as large."
270,271,8161.json,false,"Says that in his first two years, Wisconsin has seen its best two-year job growth in a decade.","economy,job-accomplishments,jobs",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a campaign press statement,"So consider that a bonus fact check. Our rating ""Wisconsin has seen its best two-year job growth in a decade,"" the Walker campaign told reporters in late July and early August. And total employment including government jobs rose faster from 2003-05 and 2010-11 than in the two-year Walker period."
276,277,4261.json,false,High-speed rail would have cost Florida taxpayers $1 billion to build.,transportation,rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,TV interview,"If high-speed rail had moved ahead in Florida, Scott said the state would have had to pay $1 billion to build it. While the study correctly points out that other transportation projects have experienced cost overruns, there are several flaws with the study. Most importantly, the study assumes that the state would pay for cost overruns. But that ignores that both the state official in charge of the rail project and the U. S.  Department of Transportation secretary said that the state wouldn't be liable for overruns. And legislators were keen on having it happen that way before fully embracing the high-speed rail line. In the end, the state's share to build the line would have been capped at around $280 million (and legislators hoped the final number would be even less). You can't rewrite history to fit your narrative."
279,280,10128.json,false,"Obama, instead of nominating a health professional, he nominated someone who is an anti-gun activist (for surgeon general).","congress,corrections-and-updates,ebola,guns,health-care,public-health",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,an interview on CNN,"Cruz said, ""President Obama, instead of nominating a health professional, he nominated someone who is an anti-gun activist. ""Murthy has a long list of credentials showing he is a health professional, including his position as an attending physician at a leading hospital. Murthy runs a health care reform organization that has pushed for gun control measures, and he has expressed personal support for gun control. But enacting gun control is not Murthys main cause and not part of his public surgeon general platform. Its no secret that Murthy is a political ally for Obama and backs his positions on gun control. But it's inaccurateto say he's an anti-gun activist but not a health care professional. Update, Oct.  24, 2014: After we published this item, Frazier, Cruzs spokeswoman, wrote us to say that we didnt note in our original report that Cruz acknowledged Murthy was a medical doctor. We have added to the story additional context from the interview with Crowley to make that clear."
284,285,5776.json,false,"Says Cape May, Cumberland, Salem and part of Atlantic counties are all south of the Mason-Dixon line.",history,raymond-bateman,,,republican,0.0,1.0,0.0,0.0,0.0,an opinion piece on DailyRecord.com,But historical records and experts confirmed that the Mason-Dixon Line never entered New Jersey. The boundary was first established in the 1760s to settle a border dispute between Maryland and Pennsylvania.
295,296,6818.json,false,Says Ohios Issue 2 will create a redistricting commission that will have a blank check to spend our money.,"elections,government-efficiency,redistricting,state-budget",ohio-republican-party,,Ohio,republican,2.0,2.0,2.0,1.0,0.0,an election flier ,"But, as the Ohio Supreme Court ruled, the proposed amendment places a qualification on spending. If the commission were to ask for more money than initially provided, as LoParo hypothesized, it would have to show the spending is necessary. There is no specific cap on spending in the amendment, but that does not mean the commission will be able to spend as much as it wants. The GOPs statement is not accurate."
301,302,11035.json,false,"On support for Trade Promotion Authority, calledfast-track",trade,ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,an op-ed on Breitbart,"Cruz was a supporter and voted in favor of TPA or fast-track when it was first put to a vote in May. Only a month later, Cruz issued an op-ed denouncing the additions of Export-Import Bank reauthorization and immigration laws, and then voted in opposition."
303,304,8721.json,false,Says David Jolly lobbied for government-run health care just last year.,"candidates-biography,campaign-advertising",kathleen-peters,District 69 state representative,Florida,republican,1.0,1.0,0.0,1.0,0.0,comments during a press conference,"Peters said at a press conference that Jolly was guilty of ""lobbying for government-run health care just last year. ""She was attempting to link her opponent with Faneuil, a company that has worked with Washington state to operate a health care exchange. Peters later backed off the accusation, changing the wording in a mailer to point out Jolly was being paid by a company that also is paid for operating an Obamacare health exchange. Meanwhile, the Jolly campaign offers a plausible explanation for what kind of work he did for the company."
315,316,12555.json,false,"Because of Obamacare, you have so many part-time jobs.",health-care,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a Phoenix rally,"Trump said, ""Because of Obamacare, you have so many part-time jobs."
334,335,11447.json,false,We have the highest tax rate anywhere in the world.,taxes,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a speech.,"Trump, while lamenting the condition of the middle class, said the U. S.  has ""the highest tax rate anywhere in the world. Statutory income tax rates in the U. S.  fall around the end of the upper quarter of nations. More exhaustive measures - which compute overall tax burden per person and as a percentage of GDP - show the U. S.  either is in the middle of the pack or on the lighter end of taxation compared with other advanced industrialized nations."
337,338,5096.json,false,Ballistic tests have confirmed that the death of at least one U.S. Border Patrol agent was caused by weapons that were part of a federal arms trafficking operation.,"criminal-justice,guns",david-dewhurst,Lieutenant governor,Texas,republican,8.0,8.0,10.0,5.0,5.0,a post on his campaign website,"By all accounts, Fast and Furious weapons were found at the scene of a U. S.  agent's death. Dewhurst's campaign was emphatic, though, that ballistics tests confirmed that the weapons killed the agent. We found no information indicating that's so."
340,341,9859.json,false,Says Mark Pryor voted to give Social Security benefits to illegal immigrants.,"immigration,social-security",national-republican-senatorial-committee,,,republican,11.0,5.0,7.0,2.0,5.0,a campaign ad,"First, the provision was much more narrowly targeted than the ad suggests -- it addressed the treatment of past payroll taxes paid by legal Social Security beneficiaries who at one time had been illegal immigrants. Second, the ad cherry-picks one vote Pryor cast against this provision while ignoring two separate votes he cast for the provision."
343,344,3058.json,false,"Under current U.S. immigration policy, literally one person with a green card can, in the extreme, bring in more than 270 of his relatives.",immigration,phil-gingrey,U.S. Congressman,Georgia,republican,2.0,5.0,2.0,1.0,1.0,a state legislative committee meeting,"Quotas mean it can take years -- even decades. Merely processing immigration documents can take months, if not years. Given that recent data show that the average immigrant brings in 2. 1 others in his lifetime, Gingrey could easily have remained within the bounds of accuracy by describing an ""extreme"" scenario as one where two or three dozen others followed the first immigrant within 15 years. Instead, he said ""279"" -- hundreds more than ""extreme."
350,351,4050.json,false,My husband and I have never gotten a penny of money from the farm.,campaign-finance,michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,an interview on Fox News,"Either Bachmann reported something that didn't need to be disclosed or she got money from the farm at the same time it was benefiting from crop subsidies. Perhaps, as Friedly said, Bachmann won't see her first penny until she draws down the assets of the limited partnership. Unless or until Bachmann steps forward to explain the discrepancy between her financial disclosure statements and her public pronouncements, we have to rely on the disclosures, which say she received at least $32,501 in income."
351,352,6257.json,false,The health care law adds around $800 billion of taxes on the American people. It does not discriminate between rich and poor.,health-care,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a newspaper op-ed,"Rubio cherry-picks the highest number he can find -- $800 billion in new taxes -- to garner opposition to the recently upheld health care law. He doesnt tell readers anything more about the figure, including the fact that these ""taxes"" would be garnered over 10 years. His statement also indicates that rich and poor people will feel the effects of the laws various revenue-raising provisions with the same degree of pain. The law taxes wealthier Americans to a greater degree to provide more services for the poor."
357,358,8978.json,false,"A Georgia religious freedom bill would help Catholic institutions that, under Obamacare, could be forced to provide abortion-inducing drugs.",religion,joshua-mckoon,,Georgia,republican,0.0,1.0,0.0,0.0,0.0,Talking with reporters about his bill.,"His bill did not make the Senate calendar for Monday, the last day for most bills to clear at least one chamber with a serious chance of passing this session. McKoon said he wants Georgia to become the latest state to have a religious freedom law on the books. But our fact check looked specifically at his comment that his bill would create a law that would serve as ""another tool in the tool kit of those who are fighting on the Obamacare front --- Catholic health institutions who are being asked to provide abortion services, that sort of thing. ""We dont see that he has made that case."
365,366,9975.json,false,Says Mark Warner told PolitiFact Nationals Lie of the Year in 2013.,"health-care,message-machine-2014",ed-gillespie,Republican strategist,"Washington, D.C.",republican,2.0,3.0,2.0,2.0,1.0,a TV ad.,"Gillespies ad indicates PolitiFact National branded Warner with the ""Lie of the Year"" in 2013 for promising four years earlier that he wouldnt vote for health care reforms that took away insurance plans people like. PolitiFact National never mentioned Warner in handing out the award. In articles and videos, our colleagues focused the award on Obamas insistence over the years that under the ACA, ""If you like your health care plan, you can keep it. ""The statements and the circumstances behind them are not clones. The president had far greater power in shaping the law that bears his name than the senator. Warner didnt repeat his pledge after he voted for the ACA in 2009. Obama continued to make his vow long after he added regulations to the law in mid-2010 that guaranteed the ACA would end some pre-existing insurance plans."
372,373,6346.json,false,"Says Democrats racked up a $1 billion state deficit, while Republicans under Bill OBrien balanced the budget.",state-budget,new-boston-republican-committee,,New Hampshire,republican,0.0,1.0,0.0,0.0,0.0,"a campaign sign in Mont Vernon, New Hampshire","But here, too, those are projections, not a final deficit. It wrongly describes a $1 billion interim projection as a deficit, ignoring the state law that mandates a balanced budget and the fact that the Democrats actually produced a $17. 7 million surplus."
381,382,5484.json,false,"When my grandfather came to this country back in 1925, there were no government benefits.","city-budget,county-budget,families,federal-budget,history,pensions,poverty,retirement,state-budget,veterans,welfare,workers",rick-santorum,,Pennsylvania,republican,12.0,16.0,13.0,7.0,5.0,a campaign speech,"Contrary to what Santorum said, millions of Americans in 1925 would have either qualified for benefits directly, such as payments to veterans, or have been protected by workers' compensation laws that provided benefits to those who became disabled by their jobs. And state and local governments had the longstanding role of paying support to people who were disabled or indigent. This provides a much more complex picture than Santorum is painting."
386,387,1906.json,false,The last major oil spill from a drilling accident in America happened over 40 years ago in 1969.,"energy,oil-spill",eric-johnson,,,republican,0.0,1.0,1.0,0.0,1.0,a blog post,"While the nation's largest oil well blowout did take place in 1969, it's not factually correct to call it the ""last major oil spill. ""First of all, two of the largest blowouts in the world took place in the U. S.  the following year. More importantly, experts agree that spills far smaller in volume to the 1969 disaster have been devastating. From a scientific perspective, Johnson's decision to single out the 1969 blowout as the last ""major"" one makes no sense."
388,389,6200.json,false,The Medicaid expansion is going to cost Florida $1.9 billion a year.,"health-care,medicaid,state-budget",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,comments on CNBC,"In triumphantly declaring that Florida will reject a provision of the federal health care law that expands Medicaid coverage, Gov. Rick Scott told national television audiences that the expansion would cost Florida $1. 9 billion a year. The most recent estimate from the state health care agency says a series of changes to Medicaid could wind up costing about $1. 4 billion a year, but that number includes things beyond the expansion to Medicaid that Scott was talking about. For instance, about $400 million is tied to increased reimbursement payments to Medicaid providers. But the state isn't required to pay that out. And another estimated $516 million will pay for people who are eligible for Medicaid under its current provisions but have not enrolled. They would remain eligible whether or not the program is expanded in Florida. That leaves about $500 million in estimated new costs for Medicaid patients under the federal government expansion. And that cost would not fully kick in until 2020. So yes, the Medicaid expansion will cost the state."
393,394,12072.json,false,"You know what Truman said, You want a friend in Washington, buy a dog.","candidates-biography,elections,ethics",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,"comments at a town hall in North Canton, Ohio","Kasich told an Ohio crowd, ""You know what Truman said, You want a friend in Washington, buy a dog.  """
396,397,406.json,false,"It's ""common knowledge"" that al-Qaida is receiving training from Iran.",iraq,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"Amman, Jordan","The rest of the Islamic world is mostly Sunni, though many Sunni countries have Shiite minorities. Saudi Arabia has an estimated 4-million Shiites out of a total population of 27-million, and Shiites there face discrimination. Under Saddam Hussein, Sunnis were the ruling class of Iraq, even though the country was majority Shiite. That division has hurt U. S.  efforts to unify the country."
433,434,5630.json,false,"It was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that First Amendment right.",drugs,jimmie-t-smith,State Representative,Florida,republican,0.0,1.0,0.0,0.0,0.0,a House committee debate,"No court has gone close to that far. In a Georgia case, the Supreme Court ruled that candidates for office -- not elected officials -- cannot be forced to take a drug test because it violates the Fourth Amendment to the U. S.  Constitution -- thats not the one dealing with freedom of speech. Opponents to Florida's drug-testing law say the Fourth Amendment protects elected officials, candidates and state workers from being require to be tested for drugs. PolitiFact Florida is partnering with 10 News for the 2012 election season."
