,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
218,219,2688.json,false,Unfortunately everyone needs to cut back in these tough economic times. Thats why I voted to cut my own pay along with the pay of our state employees.,"job-accomplishments,state-budget,voting-record",matt-patten,State representative,Ohio,democrat,0.0,1.0,0.0,0.0,0.0,a campaign mailer,"However, even if the measure had been adopted, the Ohio Constitution would have prevented the pay from taking effect until the next General Assembly is seated. So they actually didn't vote to cut their own pay. They cut the pay for members of the next legislature, which may or may not include them."
235,236,6662.json,false,The Health Care Compact bill would end Medicares guaranteed benefit for Tennessees Medicare recipients and shift management of the federal health care plan to the states TennCare program.,"health-care,medicaid,medicare",tennessee-democratic-party,,Tennessee,democrat,1.0,1.0,0.0,2.0,0.0,Tennessee Democratic Party press release sent via email in a version specifically cri,"If the federal government turned Medicare over to the state Legislature's oversight with no strings attached, as conceivable under the bill, we're not ready to predict what would happen. But the possibility of endangered beneficiaries would be there. Indeed, if the original release language was changed to use the word 'could' instead of 'would,' the party would have a more defensible statement. But we set out to evaluate the original release, not the revised version and not to engage in semantic speculation over what difference the change of a word might have made."
239,240,11708.json,false,ISIS is going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.,"corrections-and-updates,terrorism",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,the Dec. 19 Democratic presidential debate,"Clinton said that ISIS is ""going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists. If ISIS was using Trump for recruitment videos, we would expect a frenzy of media coverage over it. Before she made her comment, Clinton had no way of knowing about the Al Shabaab video. SITE Intelligence Group, which found the video, said it was distributed on Twitter on Dec.  31."
320,321,9709.json,false,Ed Gillespie supports a personhood amendment.,"abortion,human-rights",mark-warner,U.S. Senator,Virginia,democrat,3.0,1.0,6.0,3.0,0.0,a debate.,"Warner says Gillespie ""supports a personhood amendment. ""Gillespie was certainly national GOP chairman in 2004 when the party adopted a platform supporting a human life amendment. But we havent seen any clear personal expression from his supporting such a law either then or now."
335,336,12401.json,false,Nevada Democratic Party leaders hijacked the process on the floor of the state convention ignoring the regular procedure and ramming through what they wanted to do.,elections,jeff-weaver,Bernie Sanders campaign manager,,democrat,0.0,1.0,0.0,0.0,0.0,a television interview on CNN,"Sanders campaign manager Jeff Weaver said Nevada Democratic Party leaders ""hijacked the process on the floor"" of the state convention ""ignoring the regular procedure and ramming through what they wanted to do. ""Caucuses and delegate math can be incredibly confusing, and the arcane party structures dont reflect how most people assume presidential selection works. But the howls of unfairness and corruption by the Sanders campaign during Nevadas state Democratic Convention cant change the simple fact that Clintons supporters simply turned out in larger numbers and helped her solidify her delegate lead in Nevada."
358,359,6017.json,false,No one on my staff has ever been charged with a crime.,"city-government,crime,job-accomplishments",tom-barrett,Mayor of Milwaukee,Wisconsin,democrat,2.0,5.0,8.0,5.0,3.0,a debate,"Our rating    Barrett said flatly ""no one on my staff has ever been charged with a crime. ""His receptionist was charged in 2010 with battery and was convicted."
368,369,5636.json,false,"Says when Rhode Island Lottery was proposed, state residents were enticed to vote for it with the promise that the money would be used for education.","education,gambling,history,state-budget,state-finances",harold-metts,Retired educator,Rhode Island,democrat,0.0,1.0,0.0,1.0,0.0,a news release,"Sen.  Harold Metts said he remembered that voters were enticed to vote for the lottery because the proceeds would be used for education. As it turns out, Metts, a retired educator, has inadvertently provided Rhode Island with a teachable moment."
410,411,7928.json,false,The state GOP ticket says their top priority is a career-long mission to outlaw abortion in all cases and ban some common forms of birth control.,abortion,terry-mcauliffe,Governor,Virginia,democrat,12.0,6.0,2.0,2.0,3.0,a speech.,A compelling argument can be made that members of the GOP ticket will do everything possible to restrict abortions and those actions could ban certain types of birth control. But McAuliffe went an extra step and put words in the mouths of his opponents.
417,418,6763.json,false,Fast and Furious began under the Bush administration.,guns,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an interview on Univision,"Obama said that the Fast and Furious program began ""under the previous administration. ""That is not the case; Fast and Furious did begin during the time Obama held office. Another similar program, called Operation Wide Receiver, did happen during the Bush administration, and a recent inspector generals report criticized both operations as ineffective and seriously flawed. But Operation Wide Receiver is not the same thing as the Fast and Furious program."
429,430,3906.json,false,"By advocating new requirements for voters to show ID cards at the polls, Republicans want to literally drag us all the way back to Jim Crow laws.","elections,legal-issues",debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7.0,9.0,8.0,15.0,3.0,an interview with political commentator Roland Martin,"Wasserman Schultzs comparison reduces an overwhelming apartheid system to one of its facets, voting laws. And Jim Crow was pure racism, whereas the intent behind todays proposals is, at most, partisan gain -- albeit at the expense of some would-be voters, many of whom are likely to be minorities. Reasonable people can disagree about the wisdom of the new laws, but they would not return the United States to Jim Crow. Saying so offers more heat than light."
431,432,6669.json,false,Says Charlie Bass forfeits right to equal cost for TV ads under FCC rules,campaign-advertising,ann-mclane-kuster,Attorney,New Hampshire,democrat,2.0,1.0,3.0,0.0,0.0,"a press release sent to The Telegraph on Aug. 31, 2012","Kuster says Bass ""Not Working for Us"" TV ad forfeited its right to WMURs lowest rates because it violated FCC rules. The rules Kuster cite only apply to advertisements about Bass Republican opponents in the primary. Until Kuster and Bass are direct opponents for the Second Congressional District general election race, her accusation is moot. Moreover, even if Bass did violate the rules, WMUR is still free to charge him the lowest rate."
440,441,9315.json,false,State Rep. Elena Parent supported Governor Nathan Deals plan to slash the HOPE scholarship.,"education,elections",kyle-williams,attorney,Georgia,democrat,0.0,1.0,0.0,0.0,0.0,campaign fllier,"First, Deal, with the support of key Democrats, was trying to prevent HOPE from going broke. To accuse Parent of conspiring with a Republican governor to ""slash"" the popular program is way off base. And to say Parent supported a plan that she ultimately voted against seems to be a significant distortion of her record."
509,510,2441.json,false,The Bush administration had been giving (auto companies) billions of dollars and just asking nothing in return.,"corporations,economy,transportation",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a town hall meeting,"The March 31 deadline for the auto companies gave Obama about two months in office in which to make his own decisions about the companies. Obama said at the town hall meeting that ""the previous administration had been helping (the auto companies), giving them billions of dollars and just asking nothing in return. ""The historical record indicates that the Bush administration did ask for things in return -- and even gave the Obama administration the power to recall the loans if the terms weren't meant."
514,515,2271.json,false,On birthright citizenship for illegal immigrants.,immigration,harry-reid,Senate Democratic Leader,Nevada,democrat,4.0,5.0,3.0,7.0,3.0,his Senate re-election campaign effort. ,"Nobody -- not even Reid himself -- is denying that Reid switched his position on ""clarifying"" the 14th amendment. He wrote a bill in 1993 that would have denied birthright citizenship to children of illegal aliens. Granted, he apparently regrets introducing the bill, but we wanted to know whether Reid has changed his position."
532,533,1494.json,false,"My opponent... lost 43,000 jobs in Houston since he took over; we are losing jobs.",economy,farouk-shami,Businessman,Texas,democrat,1.0,2.0,2.0,0.0,1.0,a debate,"First, he distorted unemployment in the Houston area. But the number of unemployed people doesn't translate to the number of jobs lost in Houston. Second, Shami chose not to factor in the share of Harris County residents who were employed, which increased during White's tenure."
535,536,4639.json,false,Foster children are disproportionately victims of identity theft.,"children,consumer-safety,crime,families,financial-regulation",james-langevin,Congressman,Rhode Island,democrat,1.0,1.0,2.0,1.0,0.0,a speech,"Clearly identity theft is a big problem that often isn't recognized among children. Requiring the state to clear a foster child's credit history before he or she graduates from state custody seems like a good policy. Representative Langevin said, ""Foster children are disproportionately victims of identity theft. ""The concept is apparently widely believed and asserted among child advocates. But no study has directly compared identity theft rates between foster children and other children. The California study is the only one to look at identity theft among foster children and it found a rate of roughly 4 percent. Of the two studies we found that looked at overall childhood rates, one showed a rate of identity theft that was similar to foster children. The second found a rate that was higher than the rate seen in the study of foster children. (Get updates from PolitiFactRI on Twitter."
553,554,8648.json,false,Gov. Charlie Crist sought for and got approved the automatic restoration of felon rights for nonviolent offenders for the first time in Florida history.,"civil-rights,crime,elections",dan-gelber,,Florida,democrat,2.0,2.0,1.0,3.0,0.0,Charlie Crist's campaign website,"Gelber said that Crist ""sought for and got approved the automatic restoration of felon rights for nonviolent offenders for the first time in Florida history. ""First, a minor quibble: the restoration of felon rights under Crist was not automatic because the Clemency Board still had to sign off on it. In 1975, Askew and the Cabinet changed the rules to allow for ""automatic restoration"" of rights for voting. Under Askew, the changes broadly applied to offenders, whether they had completed sentences related to violent or nonviolent offenses. Crists policy favored nonviolent offenders. Depending on your viewpoint it was Askew who earned kudos or criticism -- not Crist -- for making it far easier for felons to regain civil rights including the right to vote."
561,562,565.json,false,"The U.S. government spends less on energy innovation ""than the pet food industry invests in its own products.""",energy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the campaign's energy plan.,"For its part, the Pet Food Institute, the trade association for the industry, says that it doesn't keep such figures, leaving us to wonder where Kammen got them. But a 2006 study by consulting firm Booz Allen Hamilton, which examined the 1,000 companies across all industries that spend the most on research and development, found that on average those companies spent 3. 8 percent of their gross sales on R&D. ;    Given that the pet food industry as a whole grosses about $15 billion a year in sales, it's inconceivable that the industry spends more on new product research than the $3-billion the government spends on energy R&D. ; That would be 20 percent of gross sales."
582,583,7311.json,false,"When George Bush became president of the United States, 17 million people were in poverty. When he left, 30 million people were in poverty.","bush-administration,poverty",marcia-fudge,Representative from Ohio's 11th Congressional District,Ohio,democrat,0.0,1.0,2.0,4.0,0.0,a panel discussion on poverty,The point that Fudge was trying to make - that poverty rose under the presidency of George Bush - is correct. Her substitution of SNAP numbers for poverty data led her to significantly understate the number of people living in poverty.
590,591,301.json,false,"Obama said that ""since 1992, the Republicans have had all the good ideas...""",ethics,bill-clinton,former president,Arkansas,democrat,4.0,2.0,12.0,11.0,3.0,"in Pahrump, Nev.","Our take, Obama may want to think twice before invoking the R-word again any time soon. But in this case, it was little more than a sound bite taken out of context and twisted. Obama never said Republicans have all the good ideas."
603,604,6218.json,false,"Says Clackamas County Measure 3-401 will hurt our county, cripple economic growth, and increase our taxes with excessive special elections.","county-budget,county-government,elections,taxes",clackamas-county-democrats,,,democrat,0.0,1.0,0.0,0.0,0.0,a campaign press release,"So much for precision in language, or even giving voters accurate information. Approving Measure 3-401 will not increase taxes. Elections cost taxpayer money, but the election may have been held anyway. Taxes in Clackamas County will go up, but for reasons outside the frequency of elections."
617,618,6091.json,false,"Rob Portman shares radical, ideological views toward women.","abortion,health-care,voting-record,women",ohio-democratic-party,,Ohio,democrat,4.0,1.0,2.0,2.0,2.0,a news release,"And to criticize him as the ""sole"" Ohio senator voting no, when this nation has exactly two U. S.  senators representing every single state, is laughable. The statement is not accurate."
621,622,10642.json,false,"More than 7,000 Americans lost their lives to climate change-fueled events last year.","climate-change,environment",don-beyer,8th District congressional candidate,Virginia,democrat,1.0,2.0,1.0,3.0,0.0,an op-ed.,"Beyer wrote, ""More than 7,000 Americans lost their lives to climate change-fueled events last year."
623,624,6860.json,false,Says she is a registered nurse.,candidates-biography,laurie-monnes-anderson,State senator,Oregon,democrat,0.0,1.0,0.0,0.0,0.0,in voters' guide,"Renewals are allowed within 60 days of expiration. )We understand that people forget to renew their professional licenses, although its hard for us to fathom someone forgetting for three years. Monnes Anderson is not a registered nurse, per the Oregon State Board of Nursing."
653,654,2288.json,false,Paul Broun Jr. sides with sexual deviants to support sale of crush videos.,voting-record,russell-edwards,,Georgia,democrat,0.0,1.0,0.0,0.0,0.0,his campaign Web site,"Broun did vote against the resolution, but he articulated reasons that fall well within his political ideals and record. Whether those reasons trump pragmatic concerns about how best to crack down on distribution of the videos is another question. We had a problem with Edwards saying that Broun ""supports"" the sale of the videos, particularly since Broun condemned them. Voting against the resolution on constitutional grounds is not the same as supporting the sale of deviant material."
674,675,11684.json,false,The Milwaukee County bus system has among the highest fares in the nation.,transportation,chris-larson,Wisconsin Senate Minority Leader,Wisconsin,democrat,6.0,5.0,0.0,1.0,1.0,a TV interview,"The highest fare -- in Nashville -- was $4 per ride. Our rating Larson said the Milwaukee County bus system has ""among the highest fares in the nation. ""But the systems $2. 25 cash fare wasnt at the top of a national comparison, with fares reaching as high as $4 per trip. And regular patrons who use a Smart Card are charged just $1. 75 a ride, making the Milwaukee County bus system about on par with average costs."
701,702,10167.json,false,The stand your ground lawcaused the shooting death of Trayvon Martin.,"crime,guns,legal-issues",senate-majority-pac,political action committee,"Washington, D.C. ",democrat,3.0,4.0,4.0,1.0,0.0,a radio ad,"A Senate Majority PAC radio ad said, ""Tillis even led the effort to pass the type of stand your ground laws that caused the shooting death of Trayvon Martin. ""The part we focused on is whether Floridas ""stand your ground"" law killed Trayvon. There are plenty of factors that could have contributed to George Zimmerman shooting Trayvon including racial profiling and his desire to be a law enforcement officer (not to mention the obvious: his access to a gun). And the ""stand your ground"" law could have influenced the jurys decision to acquit Zimmerman of murder. However, it is an overstatement to suggest that the law is to blame for Trayvons death."
731,732,8420.json,false,"Says nearly 30,000 federal employees in Oregon were furloughed during the government shutdown.","economy,federal-budget,jobs",suzanne-bonamici,State Senator,Oregon,democrat,0.0,3.0,0.0,0.0,1.0,an opinion piece. ,"That was no doubt a huge strain on many households -- it certainly would be for ours -- and its good context. Bonamici said nearly 30,000 federal employees in Oregon were furloughed because of the government shutdown. Wed love to have the full forthcoming analysis requested by the representatives office, but even without its specifics, we know this statement isnt accurate."
735,736,7547.json,false,"In the last two years, we have reduced the deficit by $2.5 trillion.","deficit,federal-budget",harry-reid,Senate Democratic Leader,Nevada,democrat,4.0,5.0,3.0,7.0,3.0,a Senate floor speech,"Reid said, ""In the last two years, we have reduced the deficit by $2. 5 trillion. ""There has been some deficit reduction in recent years, but Reid's makes it sound much larger than it actually is. The $2. 4 trillion number represents a projection of what is expected (but not guaranteed) to happen in the future over a 10-year period. It is not deficit reduction that has already been banked over the past two years."
761,762,4371.json,false,"Says that in 2009 ExxonMobil paid no federal income taxes, received a $156 million rebate.","corporations,taxes",dennis-kucinich,U.S. representative,Ohio,democrat,1.0,3.0,4.0,6.0,0.0,a television interview,"ExxonMobil says the ""- $156 million"" figure reflects holdover tax issues from previous years that showed up in paperwork for 2009, and that its U. S.  income tax expense for 2009 was approximately $500 million. A tax professor confirmed that interpreting that $-156 million as the ExxonMoblils tax figure would be a misreading of the 10-K form."
814,815,6039.json,false,Says PolitiFact issued a True ruling on Paul Krugman calling Governor Christie a fiscal phony.,jobs,new-jersey-democratic-state-committee,,New Jersey,democrat,2.0,2.0,1.0,0.0,0.0,a newsletter,"""Fiscal phony"" is a catchy phrase, but it had nothing to do with our ruling."
844,845,3202.json,false,"In Mexico, they dont have birth certificates... they dont have registration cards for voters. They have one national ID.",immigration,pete-gallego,Former legislator and U.S. House member,Texas,democrat,1.0,1.0,2.0,2.0,0.0,"an interview on ""Capital Tonight""","As experts pointed out, the statement misfires on three fronts. Mexicans dont have a ""national ID card for everything,"" though a pilot project is under way to issue identity cards to minors. But the federal government issues voter IDs featuring each voters photo and other personal information. The government also issues birth certificates; according to experts we spoke with, less than 10 percent of residents dont have one."
847,848,1938.json,false,"Under President George W. Bush, ""the national debt went from $5 trillion to $12 trillion.""","federal-budget,history",richard-durbin,Senator,Illinois,democrat,0.0,2.0,1.0,0.0,1.0,a Senate floor speech,"For those keeping track, the debt estimate for the end of 2010 -- two years into Obama's term -- is $13. 787 trillion. That's a 38 percent increase over two years. Looked at another way, the debt under Bush went up $4. 357 trillion over eight years, while it has gone up under Obama by $3. 801 trillion in two years. Republicans and Democrats will continue to fight over whether spending, wars, entitlement expansions and tax cuts under Bush or spending, wars, entitlement expansions and tax cuts under Obama are a bigger reason for the growing debt. But we believe Durbin's floor statement was off by about $2 trillion."
850,851,8818.json,false,We have the lowest beer tax in the nation.,taxes,rod-monroe,State Senator,Oregon,democrat,0.0,2.0,0.0,0.0,0.0,an Oregon Senate work session,"Oregon, according to a national group that tracks beer taxes, has one of the lowest such rates in the county. The 8-cents-a-gallon rate -- sixth-lowest nationally -- has remained unchanged since 1978. He didnt make that specification in his original statement, though, and sales taxes arent specific to beer."
901,902,11469.json,false,On receiving campaign contributions from out-of-state donors,campaign-finance,russ-feingold,,Wisconsin,democrat,2.0,4.0,7.0,5.0,1.0,an interview,"Were rating the consistency of a position, not whether a promise had been broken. Our rating In four Senate campaigns, Feingold abided by the pledge he inscribed on his garage door: He would raise the majority of his campaign cash from Wisconsin residents. Feingold said he was changing with the times, and is no longer bound by his previous pledge."
931,932,5349.json,false,Maryland is creating jobs at 2 times the rate that Virginia is.,"economy,job-accomplishments,jobs",martin-omalley,Maryland governor,Maryland,democrat,3.0,1.0,10.0,4.0,0.0,a TV interview.,"Two economists told us better measurements would come from comparing unadjusted job figures from the same month in different years. Under this formula, using numbers from December 2010 and December 2011, the two states essentially came out even. When we compared each month in 2010 to its counterpart in 2011, Virginia usually came out ahead of Maryland."
998,999,6018.json,false,Says Gov. Scott Walker made draconian cuts to public safety budgets that put police officers at greater risk of harm.,"city-budget,city-government,crime,public-safety,state-budget,state-finances",tom-barrett,Mayor of Milwaukee,Wisconsin,democrat,2.0,5.0,8.0,5.0,3.0,a website alert,"Our rating    Barrett said Walkers budget moves included ""draconian"" budget cuts to public safety and put officers at risk. There are clearly some reductions in some departments, but neither Barrett nor key union and police officials point to any drastic cutbacks. There are no current statewide numbers on officer cuts, and the mayor offered no examples either. So far, it looks like local officials -- who ultimately control what to cut -- have protected police from big harm."
1011,1012,957.json,false,"In eighth grade math, weve fallen to ninth place.",education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech on education,"In 2003, they climbed     to 15th    . So rather than falling, U. S.  students have actually     improved    in the past decade. We considered giving the president partial credit since American students did come in ninth. But the point of his statement was that they had ""fallen"" to that position and that mathematics performance in the United States is getting worse relative to other countries."
1017,1018,6695.json,false,Says Republican U.S. Rep. Sean Duffy voted against paying our soldiers and against increasing combat pay while voting to protect his own pay.,"congressional-rules,federal-budget,message-machine-2012,military",democratic-congressional-campaign-committee,,,democrat,11.0,8.0,5.0,1.0,9.0,a TV ad,Such motions are routinely denied by the majority party as procedural moves. That gives the minority party the chance to structure them for partisan advantage. Thats what is playing out in the ad now.
1020,1021,2686.json,false,Says Robert Hurt supports the tax loopholes that send American jobs overseas.,"economy,jobs,message-machine,taxes",tom-perriello,lawyer,Virginia,democrat,0.0,2.0,1.0,0.0,0.0,a TV ad,"The pledge means that if a bill would result in a net tax increase, ""youre not free to vote for it,"" Ellis said."
1064,1065,6127.json,false,Says Gov. Chris Christies proposed budget is the biggest spending budget in the history of the state of New Jersey. It is the largest in the nation at this point in time.,"state-budget,states",vincent-prieto,,,democrat,0.0,1.0,0.0,0.0,0.0,an interview on My9 News' “New Jersey Now”,"In a discussion about whether New Jersey can afford a tax cut considering lower-than-expected state revenues, Prieto said Christies proposed budget is ""the biggest spending budget in the history of the state of New Jersey. It is the largest in the nation at this point in time. ""The governors fiscal 2013 budget calls for $32. 15 billion in state spending. Thats the third largest -- not the largest -- budget proposal in state history. A spokesman for Prieto said the assemblyman was referring to a broader measurement of spending, which includes federal funds. But Prieto did not make that distinction. Also, New Jerseys budget is not the largest in the nation."
1078,1079,6906.json,false,On Iran sanctions,"foreign-policy,military",tammy-baldwin,U.S. Representative,Wisconsin,democrat,5.0,5.0,7.0,4.0,0.0,debate comments,"Was it based on the changing political landscape, the heightening of tensions, the electoral calculus of the Senate race?Whatever the reasons, this amounted to a major reversal of position."
1120,1121,3761.json,false,"In the first year of the Obama administration, more jobs were created in the private sector than in the eight years of the Bush administration.","economy,history",nancy-pelosi,House Minority Leader,California,democrat,3.0,7.0,11.0,2.0,3.0,an interview with Bloomberg television,"And she chose her starting and ending dates in a way that was highly favorable to Obama and unfavorable to Bush. Pelosi essentially started counting from the low point for jobs and only counted the upward part of the trendline, while denying Bush the same method. This time, in talking to Bloomberg TV, Pelosi didnt even get the statistic technically correct."
1127,1128,1684.json,false,No one questioned that she (Judge Sotomayor) was out of the mainstream.,"supreme-court,abc-news-week",charles-schumer,Senator,New York,democrat,2.0,2.0,2.0,3.0,0.0,"ABC's ""This Week"""," A June 29, 2009, story in Roll Call noted that  talking points prepared for House and Senate Republicans urged members to make  the case that Sotomayor's written statements, rulings and speeches ""show an out  of the mainstream view of the role of a judge. ""We understand that ""out of the mainstream"" is a  subjective term, but the fact is that a number of Republican senators used that  exact phrase."
1157,1158,8795.json,false,"Most of West Virginia is still owned, in excess of 90 percent, by out-of-state interests.","environment,public-health,wealth",bob-kincaid,,West Virginia,democrat,0.0,1.0,0.0,0.0,0.0,"a broadcast of MSNBC's ""Melissa Harris-Perry""","Kincaid said during the broadcast that more than 90 percent of West Virginia is owned by out-of-state interests. Kincaid gets credit for his readiness to correct his original statement, but we fact-check what he said on air."
1177,1178,5140.json,false,I also voted 98 percent of the time with Republicans in the Oregon Legislature.,"bipartisanship,message-machine-2012,voting-record",suzanne-bonamici,State Senator,Oregon,democrat,0.0,3.0,0.0,0.0,1.0,a debate,They also work on many bipartisan issues. The closest she comes is a 90 percent match voting record with Sen.  Jackie Winters over one session.
1187,1188,3829.json,false,"Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia.","corrections-and-updates,economy,job-accomplishments,jobs",ward-armstrong,"Minority leader, House of Delegates",Virginia,democrat,0.0,3.0,0.0,0.0,1.0,a news release.,"The only data available at the county level covers nine months of McDonnells 16-month term. But there are other statistics showing that under McDonnell, more people in those regions are employed and the number of job postings have increased. Correction: An earlier version of this story said McDonnell was sworn in as governor in January 2011."
1208,1209,8081.json,false,Rhode Island has the highest percentage of lawyers per capita in the country.,legal-issues,helio-melo,State Representative,Rhode Island,democrat,0.0,1.0,0.0,0.0,1.0,a newspaper interview,"Helio Melo said Rhode Island has the highest percentage of lawyers per capita in the nation. We found that Rhode Island actually ranks 13th. That does put us in the upper third of the states, but here at PolitiFact Rhode Island, we tend to be literal."
1209,1210,102.json,false,"I was the first presidential candidate to lay out a specific, truly universal health care plan.",health-care,john-edwards,former senator,North Carolina,democrat,0.0,2.0,4.0,4.0,1.0,"Hanover, N.H.","It was introduced in the House in 2005, though Kucinich supported an earlier version during his previous run for president in 2004. It would provide free health care for all, including primary care, prescription drugs, and mental health services. The plan would be paid for by cost savings and tax increases on the top 5 percent of income earners, an increased payroll tax, and taxes on stock and bond transactions. The legislation has little chance of passing, but it's still fairly specific and it's certainly universal."
