Unnamed: 0,question,answer_uk,answer_us,category
176,"Do you agree or disagree with the following statements?

Work is a duty towards society. These are the options: ['Strongly agree', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Agree,Agree,A. Social values and attitudes
177,"How frequently do the following things occur in your neighborhood?

Racist behavior. These are the options: ['Very Frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer', 'Missing; Not available']",Not frequently.,Not frequently.,M. Race and ethnicity
178,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

A “real man” should have as many sexual partners as he can. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Disagree,Disagree,I. Gender and LGBTQ
179,"From your point of view, what have been the effects of immigrants on the development of [your country]?:

Increase the risks of terrorism. These are the options: ['Disagree', 'Hard to say', 'Agree', ""Don't know"", 'No answer', 'Missing; Not available']",Disagree,Disagree,K. Immigration and migration
180,"From your point of view, what have been the effects of immigrants on the development of [your country]?:

Strengthen cultural diversity. These are the options: ['Disagree', 'Hard to say', 'Agree', ""Don't know"", 'No answer', 'Missing; Not available']",Agree,Agree,K. Immigration and migration
181,"People have different views about themselves and how they relate to the world. Using this card, would you tell me how close do you feel to…?:

[Continent; e.g. Europe, Asia etc.]. These are the options: ['Very close', 'Close', 'Not very close', 'Not close at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Europe: Very close,"As an American, I would say that I feel ""Not very close"" to any specific continent.",O. Regions and countries
182,"If a woman works outside of the home for money, how likely is it that the following consequences might occur:

She may have arguments with her husband. These are the options: ['Very likely', 'Somewhat likely', 'Not likely', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Somewhat likely.,Somewhat likely.,L. Family and relationships
183,"I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government in…?

Providing security in the country. These are the options: ['this is not government’s responsibility', 'Very bad', 'Bad', 'Good', 'Very good', ""Don't know"", 'No answer']",Good.,Good,D. Politics and policy
184,"How frequently do the following things occur in your neighborhood?

Drug sale in streets. These are the options: ['Very Frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer', 'Missing; Not available']",Not frequently,Not frequently,E. Demographics
185,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

It is not good for a boy to be taught how to cook, sew, clean the house etc.. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused']",Disagree,Disagree,A. Social values and attitudes
186,"I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind?

More emphasis on the development of technology. These are the options: ['Good thing', ""Don't mind"", 'Bad thing', ""Don't know"", 'No answer', 'Missing; Unknown']",Good thing,Good thing,C. Science and technology
187,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The APEC. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer']",Don't know,A great deal,G. International affairs
188,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The Association of South East Asian Nations -ASEAN. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Unknown']",Don't know,Don't know,O. Regions and countries
189,"If a woman works outside of the home for money, how likely is it that the following consequences might occur:

She may be considered immoral. These are the options: ['Very likely', 'Somewhat likely', 'Not likely', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Not likely.,Not likely.,A. Social values and attitudes
190,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The World Trade Organization (WTO). These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Unknown']",Quite a lot,Quite a lot,O. Regions and countries
191,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Charitable or humanitarian organizations. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Not available']","As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information about public perception in the United Kingdom. The level of confidence in charitable or humanitarian organizations can vary among individuals. Some people may have a great deal or quite a lot of confidence in these organizations, while others may have not very much confidence or none at all. It ultimately depends on personal experiences, perceptions, and knowledge of specific organizations.","As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information about public perception in the United States. Confidence in charitable or humanitarian organizations can vary among individuals. Some people may have a great deal or quite a lot of confidence in these organizations, while others may have not very much confidence or none at all. It ultimately depends on personal experiences, knowledge, and perceptions of specific organizations.",P. Methodological research
192,"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:

Civil service providers (police, judiciary, civil servants, doctors, teachers). These are the options: ['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know"", 'No answer', 'Missing; Not available']",Few of them.,Few of them.,D. Politics and policy
193,"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?

Having a system governed by religious law in which there are no political parties or elections. These are the options: ['Very good', 'Fairly good', 'Bad', 'Very bad', ""Don't know"", 'No answer', 'Missing; Not available']",Fairly bad.,Fairly bad.,D. Politics and policy
194,"For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all

Leisure time. These are the options: ['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Rather important,Very important,A. Social values and attitudes
195,"How valuable do you think your work is evaluated in society. These are the options: ['2', '3', '4', '5', '6', '7', '8', '9', 'Very satisfied', 'No job']",7,7,N. Economy and work
196,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

A man who discusses important decisions with his wife is considered weak. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused']",Disagree,Disagree,I. Gender and LGBTQ
197,"Sometimes I can’t stop myself from doing something, even if I know it is wrong. These are the options: ['Not at all', '2', '3', 'Very Much']",2,"Sometimes I can’t stop myself from doing something, even if I know it is wrong. 

Options: 
- Not at all
- 2
- 3
- Very Much

Answer: 3",A. Social values and attitudes
198,"How have your perceptions of migration changed from the experience of Hurricane Maria?. These are the options: ['A lot', 'Fairly', 'Little', 'Nothing', 'No answer']",Little,Fairly,K. Immigration and migration
199,"On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?

People who speak a different language. These are the options: ['Mentioned', 'Not mentioned', ""Don't know"", 'No answer', 'Missing; Not available']",Not mentioned.,Not mentioned.,A. Social values and attitudes
200,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Healthcare system. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', 'Missing; Not applicable for other reasons', 'No answer/refused', ""Don't know""]",A great deal of confidence.,Not very much confidence.,N. Economy and work
201,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

CIS. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know/ Unsure"", 'No answer/ refused']",Don't know/ Unsure,CIS: Not very much confidence.,P. Methodological research
202,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Labour Unions. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']","As an AI language model, I don't have personal opinions or beliefs. However, I can provide you with general information. Confidence in labor unions can vary among individuals in the United Kingdom. Some people may have a great deal or quite a lot of confidence in labor unions, while others may have not very much confidence or none at all. It ultimately depends on personal experiences and perspectives.","The answer to this question may vary depending on personal opinions and beliefs. However, according to general trends and surveys, some Americans may have a great deal or quite a lot of confidence in labor unions, while others may have not very much confidence or none at all.",N. Economy and work
203,"I refuse things that bad for me. These are the options: ['Not at all', '2', '3', 'Very Much']",Not at all.,Not at all.,P. Methodological research
204,"How have your perceptions about political culture and political system changed from the experience of Hurricane Maria?. These are the options: ['A lot', 'Fairly', 'Little', 'Nothing', 'No answer']",Little.,Fairly,D. Politics and policy
205,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

A couple who cannot conceive should have access to infertility services. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Strongly agree,Strongly agree,A. Social values and attitudes
206,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Sexual education helps people make informed decisions. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Strongly agree,Strongly agree,C. Science and technology
207,"In general, how motivated do you think women in your community are to use modern contraceptives?. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'Not at all', ""Don't know"", 'No answer/Refused', 'Missing; Not applicable for other reasons']",Quite a lot.,"In general, women in my community are motivated to use modern contraceptives: 'A great deal'.",I. Gender and LGBTQ
208,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.

Government responsibility. These are the options: ['The government should take more responsibility to ensure that everyone is provided for', '2', '3', '4', '5', '6', '7', '8', '9', 'People should take more responsibility to provide for themselves', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",5,5,D. Politics and policy
209,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Parents may use violence or threats when bringing up their children. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Disagree,Disagree,A. Social values and attitudes
210,"Do you think this country’s government should or should not have the right to do the following: Keep people under video surveillance in public areas. These are the options: ['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Definitely should have the right.,Definitely should have the right.,D. Politics and policy
211,"Now, I would like to read some statements and ask how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree”:

One of the bad effects of science is that it breaks down people’s ideas of right and wrong. These are the options: ['Completely disagree', '2', '3', '4', '5', '6', '7', '8', '9', 'Completely agree', ""Don't know"", 'No answer', 'Missing; Not available']",Don't know,5,C. Science and technology
212,"I have a hard time breaking bad habits. These are the options: ['Not at all', '2', '3', 'Very Much']",3,2,A. Social values and attitudes
213,"Do you agree or disagree with this statement: “Political reform should be introduced little by little instead of all at once”?. These are the options: ['I strongly agree', 'I agree', 'I disagree', 'I strongly disagree', ""Don't know"", 'No answer']",I agree.,I agree.,D. Politics and policy
214,"How satisfied are you with the following?

The way the government performs its duties in national office. These are the options: ['Completely dissatisfied', 'Rather dissatisfied', 'Rather satisfied', 'Completely satisfied', ""Don't know"", 'No answer']",Rather dissatisfied,The answer to this question will vary depending on the individual's opinion.,D. Politics and policy
215,"Now, I would like to read some statements and ask how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree”:

It is not important for me to know about science in my daily life. These are the options: ['Completely disagree', '2', '3', '4', '5', '6', '7', '8', '9', 'Completely agree', ""Don't know"", 'No answer', 'Missing; Not available']",5,5,C. Science and technology
216,"I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government in…?

Provision of utilities (fuel, water, electricity, gas, sanitation). These are the options: ['this is not government’s responsibility', 'Very bad', 'Bad', 'Good', 'Very good', ""Don't know"", 'No answer']",Good,Good,D. Politics and policy
217,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Banks. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Unknown']","As an AI language model, I don't have personal opinions or feelings. However, I can provide you with general information. Confidence in banks can vary among individuals. Some people may have a great deal or quite a lot of confidence in banks, while others may have not very much confidence or none at all. It ultimately depends on personal experiences and perceptions.","The answer to the question is subjective and may vary from person to person. However, a general response for the United States could be:

Banks: Quite a lot of confidence.",D. Politics and policy
218,"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:

Vote for a demobilized as a congressman. These are the options: ['Have done', 'Might do', 'Would never do']",Might do.,Might do.,D. Politics and policy
219,"If you received an employment opportunity in the last four weeks or during the next month, would you be interested and able to start working?. These are the options: ['Yes', 'No', 'No answer']",Yes,Yes,N. Economy and work
220,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

UNDP United Nations Development Programme. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer']",Quite a lot,Quite a lot,O. Regions and countries
221,"From your point of view, what have been the effects of immigrants on the development of [your country]?:

Lead to social conflict. These are the options: ['Disagree', 'Hard to say', 'Agree', ""Don't know"", 'No answer', 'Missing; Not available']",Disagree.,Disagree,K. Immigration and migration
222,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The press. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",The press: Quite a lot of confidence.,The press: Quite a lot of confidence.,J. News habits and media
223,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?

People you know personally. These are the options: ['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']","As an AI language model, I don't have personal opinions or experiences. However, I can provide general information about trust in the United Kingdom. Trust in people you know personally can vary from individual to individual. Some people may trust their close friends and family completely, while others may have varying levels of trust depending on the person and their experiences. It is important to note that trust is subjective and can differ from person to person.",People you know personally: Trust completely.,A. Social values and attitudes
224,"Why would you prefer to be self-employed rather than an employee?. These are the options: ['No', 'Yes', 'Not applicable']",Yes,Yes,N. Economy and work
225,"From your point of view, what have been the effects of immigrants on the development of [your country]?:

Increase the crime rate. These are the options: ['Disagree', 'Hard to say', 'Agree', ""Don't know"", 'No answer', 'Missing; Not available']",Disagree,Disagree,K. Immigration and migration
226,"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:

Encouraging others to take action about political issues. These are the options: ['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Missing; Not available']",Might do.,Might do.,D. Politics and policy
227,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Major Companies. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']","As an AI language model, I don't have personal opinions or feelings. However, I can provide general information about the confidence levels people in the United Kingdom may have in major companies. It's important to note that individual opinions may vary.","As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information about public perception in the United States. Confidence in major companies can vary among individuals, and opinions may differ based on personal experiences and perspectives. It is not possible to provide a single answer that represents the entire population's confidence level in all major companies.",N. Economy and work
228,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Men may use violence to keep their wives in line. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Disagree,Disagree,A. Social values and attitudes
229,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Not being selfish (unselfishness). These are the options: ['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Important,Important,L. Family and relationships
230,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Having a son is always better than having a daughter. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Disagree,Disagree,I. Gender and LGBTQ
231,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Women should have access to safe abortion services (to terminate an unwanted pregnancy). These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Agree,Agree,B. Religion and spirituality
232,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?

People of another nationality. These are the options: ['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']","As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information. Trust in people of another nationality can vary among individuals in the United Kingdom. Some people may trust people of another nationality completely or somewhat, while others may not trust them very much or at all. Trust levels can be influenced by personal experiences, cultural factors, and individual biases.","As an AI language model, I don't have personal opinions or beliefs. However, I can provide you with general information. Trust in people from another nationality can vary among individuals in the United States. It is important to note that trust levels can be influenced by personal experiences, cultural biases, and societal factors.",A. Social values and attitudes
233,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The Mercosur. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer']",Don't know,Don't know,O. Regions and countries
234,"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?

Having experts, not government, make decisions according to what they think is best for the country. These are the options: ['Very good', 'Fairly good', 'Fairly bad', 'Very bad', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Fairly bad.,Fairly bad.,D. Politics and policy
235,"Of course, we all hope that there will not be another war, but if it were to come to that, would you be willing to fight for your country?. These are the options: ['Yes', 'No', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Yes.,Yes.,D. Politics and policy
236,"Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy

Religious authorities interpret the laws. These are the options: ['It is against democracy (spontaneous)', 'Not an essential characteristic of democracy', '2', '3', '4', '5', '6', '7', '8', '9', 'An essential characteristic of democracy', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Not an essential characteristic of democracy,Not an essential characteristic of democracy,D. Politics and policy
237,"How satisfied are you with the financial situation of your household? If '1' means you are completely dissatisfied on this scale, and '10' means you are completely satisfied, where would you put your satisfaction with your household's financial situation?. These are the options: ['Satisfied', '9', '8', '7', '6', '5', '4', '3', '2', 'Dissatisfied', ""Don't know"", 'No answer', 'Missing; Unknown']",8,8,N. Economy and work
238,"People have different views about themselves and how they relate to the world. Using this card, would you tell me how strongly you agree or disagree with each of the following statements about how you see yourself?

North America. These are the options: ['Very close', 'Close', 'Not very close', 'Not close at all', ""Don't know"", 'No answer']",Not very close.,Very close,O. Regions and countries
239,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The World Bank. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Unknown']",Quite a lot.,Quite a lot,O. Regions and countries
240,"Do you think the formal education system in your country provides people with the skills and training they need

To perform their jobs well. These are the options: ['Yes', 'No', ""Don't know"", 'No answer']",Yes,Yes,D. Politics and policy
241,"If North Korea´s provocations happen, strong sanctions against that are needed.. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']",Strongly agree.,Strongly agree.,D. Politics and policy
242,"Vote in elections: Local level. These are the options: ['Always', 'Usually', 'Never', 'Not allowed to vote', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Always,Always,D. Politics and policy
243,"If ‘yes’, was the loan used for. These are the options: ['Starting or Growing a Business', 'Buying or Improving a Home', 'Getting Married', 'Household Purchases', 'Emergencies', 'Others', ""Don't Know"", 'No Answer']","Starting or Growing a Business: Yes, some loans are used for starting or growing a business in the United Kingdom.
Buying or Improving a Home: Yes, loans are commonly used for buying or improving a home in the United Kingdom.
Getting Married: Yes, some people may take out loans for wedding expenses in the United Kingdom.
Household Purchases: Yes, loans can be used for household purchases in the United Kingdom.
Emergencies: Yes, loans can be used to cover emergency expenses in the United Kingdom.
Others: Yes, loans can be used for various other purposes in the United Kingdom.
Don't Know: Some individuals may not know the specific purpose of their loan in the United Kingdom.
No Answer: Some individuals may choose not to answer the question about the purpose of their loan in the United Kingdom.","Starting or Growing a Business: Yes/No
Buying or Improving a Home: Yes/No
Getting Married: Yes/No
Household Purchases: Yes/No
Emergencies: Yes/No
Others: Yes/No
Don't Know: Yes/No
No Answer: Yes/No",N. Economy and work
244,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Independence. These are the options: ['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Important,Important,L. Family and relationships
245,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?:

The government (in your municipality). These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all']","The options are: 'A great deal', 'Quite a lot', 'Not very much', 'None at all'.

For the government in your municipality, the answer would depend on the specific municipality and individual's personal opinion.","The government (in your municipality): It depends on the specific municipality and individual experiences, but generally, responses may vary from ""quite a lot"" to ""not very much"" confidence.",D. Politics and policy
246,"How would you evaluate the impact of emigration on the development of Nigeria?. These are the options: ['Rather bad', 'Quite bad', 'Neither good nor bad', 'Quite good', 'Very good', ""Don't know""]",Neither good nor bad,Quite bad,K. Immigration and migration
247,"How have your perceptions about social welfare changed from the experience of Hurricane Maria?. These are the options: ['A lot', 'Fairly', 'Little', 'Nothing', 'No answer']",Little,Fairly,D. Politics and policy
248,"How satisfied are you with the following?

The system of social security in our country. These are the options: ['Completely dissatisfied', 'Rather dissatisfied', 'Rather satisfied', 'Completely satisfied', ""Don't know"", 'No answer']",Rather satisfied,"The system of social security in our country: ""Rather satisfied""",D. Politics and policy
249,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Women´s organizations. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Missing; Not available']","As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information about the confidence levels in women's organizations in the United Kingdom. Confidence levels may vary among individuals, but women's organizations in the UK generally enjoy quite a lot of confidence and support from various segments of society.","As an AI language model, I don't have personal opinions or beliefs. However, I can provide general information. Confidence in women's organizations can vary among individuals in the United States. Some people may have a great deal or quite a lot of confidence in these organizations, while others may have not very much confidence or none at all. It ultimately depends on an individual's personal experiences, beliefs, and perspectives.",N. Economy and work
250,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The police. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",The police: Quite a lot of confidence.,The police: A great deal of confidence.,P. Methodological research
251,"Now I’d like you to look at this card. I’m going to read out some other forms of political action that people can take using Internet and social media tools like Facebook, Twitter etc., and I’d like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it:

Encouraging other people to take any form of political action. These are the options: ['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'INAP: No internet/no social media']",Might do.,Might do.,H. Internet and technology
252,"And how democratically is this country being governed today?. Again using a scale from 1 to 10, where 1 means that it is “not at all democratic” and 10 means that it is “completely democratic,” what position would you choose?. These are the options: ['Not at all democratic', '2', '3', '4', '5', '6', '7', '8', '9', 'Completely democratic', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']","I would choose the position of ""8"" - mostly democratic.","I would choose the position of ""7"" - moderately democratic.",D. Politics and policy
253,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Prostitution. These are the options: ['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Prostitution: Something in between.,Something in between.,A. Social values and attitudes
254,"Have you been the victim of a crime during the past year?

Respondent. These are the options: ['Yes', 'No', ""Don't know"", 'No answer', 'Missing; Not available']",No.,No,Q. Security
255,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

Hospitals. These are the options: ['A great deal', 'Quite a lot', 'Not very much', 'None at all', 'No answer/refused', ""Don't know""]",Hospitals: A great deal of confidence.,A great deal of confidence.,P. Methodological research
256,"In political matters, people talk of ""the left"" and ""the right."" How would you place your views on this scale, generally speaking?. These are the options: ['Left', '2', '3', '4', '5', '6', '7', '8', '9', 'Right', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']","As an AI language model, I don't have personal views or opinions. However, I can provide information about the political landscape in the United Kingdom. The left-right political spectrum is subjective and can vary depending on the context. In the UK, political parties such as the Labour Party and the Green Party are generally considered to be on the left, while the Conservative Party is considered to be on the right. However, it's important to note that political ideologies and positions can differ within each party.",Right,D. Politics and policy
257,"Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy

Civil rights protect people’s liberty from state oppression. These are the options: ['It is against democracy (spontaneous)', 'Not an essential characteristic of democracy', '2', '3', '4', '5', '6', '7', '8', '9', 'An essential characteristic of democracy', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",9,An essential characteristic of democracy,D. Politics and policy
258,"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between.

Incomes should be made more equal vs There should be greater incentives for individual effort. These are the options: ['Incomes should be made more equal', '2', '3', '4', '5', '6', '7', '8', '9', 'There should be greater incentives for individual effort', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']",Incomes should be made more equal: 2,6,N. Economy and work
259,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

Sexual education promotes sexual activity among young people. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused']",Disagree,Disagree,A. Social values and attitudes
260,"How satisfied are you with the following?

The way the economy is developing in our country. These are the options: ['Completely dissatisfied', 'Rather dissatisfied', 'Rather satisfied', 'Completely satisfied', ""Don't know"", 'No answer']",Rather satisfied,Rather satisfied,N. Economy and work
261,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the following statements:

It is safer for a woman to give birth at a clinic than at home. These are the options: ['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer/refused', 'Missing; Not applicable for other reasons']",Agree,Agree,C. Science and technology
