;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;options_dict;score_ground_truth_answers;value_diff
21;Now I am going to read you a list of things that may be problems in our country.As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries;{'United States': [0.0989010989010989, 0.17582417582417584, 0.3516483516483517, 0.37362637362637363], 'Britain': [0.13043478260869565, 0.29347826086956524, 0.30434782608695654, 0.2717391304347826]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0,373627;0,304349;Not a problem at all;Small problem;K. Immigration and migration;4.0;Likert Scale;Politics and Governance;(A), 7;(A), 7.;Very big problem;Very big problem;4.0;0.4651162790697675;0.2674418604651163;0.4651162790697675;;;0.2674418604651163;0.95152736;0.8023255813953488;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all'};0.8023255813953488;0.9307214524605828
22;As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should try to develop a missile defense system even if it means withdrawing from the ABM treaty;{'United States': [0.48148148148148145, 0.5185185185185185], 'Britain': [0.23255813953488372, 0.7674418604651163]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,518520;0,767443;Disapprove;Disapprove;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 6.;(B), 6.;Disapprove;Disapprove;2.0;1.0;1.0;1.0;;;1.0;0.98067474;0.751077;{'A': 'Approve', 'B': 'Disapprove'};0.751077;0.751077
23;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the world economic crisis.;{'United States': [0.5, 0.5], 'Britain': [0.810126582278481, 0.189873417721519]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,500001;0,810128;Approve;Approve;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 6.;(B), 6.;Disapprove;Disapprove;2.0;0.0;0.0;0.0;;;0.0;0.89935493;0.689873;{'A': 'Approve', 'B': 'Disapprove'};0.689873;0.689873
25;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...India;{'United States': [0.10588235294117647, 0.5411764705882353, 0.23529411764705882, 0.11764705882352941, 0.0], 'Britain': [0.15476190476190477, 0.7380952380952381, 0.07142857142857142, 0.03571428571428571, 0.0]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,541177;0,738096;Somewhat favorable;Somewhat favorable;O. Regions and countries;5.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Somewhat favorable;Somewhat favorable;5.0;1.0;1.0;1.0;;;1.0;0.33815902;0.803081;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};0.803081;0.803081
26;In making international policy decisions, to what extent do you think the United States takes into account the interests of– a great deal, a fair amount, not too much, or not at all?;{'United States': [0.13861386138613863, 0.5148514851485149, 0.3069306930693069, 0.039603960396039604, 0.0], 'Britain': [0.06930693069306931, 0.31683168316831684, 0.45544554455445546, 0.12871287128712872, 0.0297029702970297]};['Great deal', 'Fair amount', 'Not too much', 'Not at all', 'DK/Refused'];"(A) Great deal
(B) Fair amount
(C) Not too much
(D) Not at all
(E) DK/Refused";GAS;0,514852;0,455447;Fair amount;Not too much;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(A), 7;(B), 7.;Fair amount;Great deal;5.0;0.7916666666666666;0.8055555555555556;0.7916666666666666;;;0.8055555555555556;0.6509234;0.7916666666666666;{'A': 'Great deal', 'B': 'Fair amount', 'C': 'Not too much', 'D': 'Not at all', 'E': 'DK/Refused'};0.7916666666666666;0.9405940594059404
28;Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. b. statements that are offensive to minority groups;{'United States': [0.67, 0.28, 0.05], 'Britain': [0.54, 0.38, 0.08]};['People should be able to say these things publically', 'Government should be able to prevent people from saying these things', 'DK/Refused'];"(A) People should be able to say these things publically
(B) Government should be able to prevent people from saying these things
(C) DK/Refused";GAS;0,670001;0,540001;People should be able to say these things publically;People should be able to say these things publically;D. Politics and policy;3.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Government should be able to prevent people from saying these things;Government should be able to prevent people from saying these things;3.0;0.0;0.0;0.0;;;0.0;0.8085804;0.87;{'A': 'People should be able to say these things publically', 'B': 'Government should be able to prevent people from saying these things', 'C': 'DK/Refused'};0.87;0.87
30;As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. d. withdraw U.S. support for major trade agreements;{'United States': [0.38, 0.57, 0.05], 'Britain': [0.17, 0.72, 0.11]};['Approve', 'Disapprove', 'DK/Refused'];"(A) Approve
(B) Disapprove
(C) DK/Refused";GAS;0,570001;0,720001;Disapprove;Disapprove;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 9.;(B), 9.;Disapprove;Disapprove;3.0;1.0;1.0;1.0;;;1.0;0.34984013;0.85;{'A': 'Approve', 'B': 'Disapprove', 'C': 'DK/Refused'};0.85;0.85
31;Here are some reasons given for using military force against Iraq. As I read a reason, tell me if it is a very important, fairly important, or not important reason to justify the use of military force against Iraq.If we learned that Iraq helped the terrorists attack the United States on September 11th, would that be a very important reason, fairly important reason, or not important reason to justify the use of military force against Iraq?;{'United States': [0.8556701030927835, 0.10309278350515463, 0.041237113402061855], 'Britain': [0.5729166666666666, 0.3125, 0.11458333333333333]};['Very important reason', 'Fairly important reason', 'Not important reason'];"(A) Very important reason
(B) Fairly important reason
(C) Not important reason";GAS;0,855671;0,572918;Very important reason;Very important reason;Q. Security;3.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Fairly important reason;Fairly important reason;3.0;0.6666666666666667;0.6666666666666667;0.6666666666666667;;;0.6666666666666667;0.9040037;0.717247;{'A': 'Very important reason', 'B': 'Fairly important reason', 'C': 'Not important reason'};0.717247;0.717247
32;If Iran were to develop nuclear weapons, do you think they would be likely to...use them for defensive purposes only, or not?;{'United States': [0.27586206896551724, 0.7241379310344828], 'Britain': [0.4457831325301205, 0.5542168674698795]};['Yes, likely', 'No, not likely'];"(A) Yes, likely
(B) No, not likely";GAS;0,724139;0,554218;No, not likely;No, not likely;Q. Security;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;No, not likely;No, not likely;2.0;1.0;1.0;1.0;;;1.0;0.19322789;0.830079;{'A': 'Yes, likely', 'B': 'No, not likely'};0.830079;0.830079
34;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the European Union;{'United States': [0.07920792079207921, 0.5346534653465347, 0.25742574257425743, 0.0891089108910891, 0.039603960396039604], 'Britain': [0.2, 0.33, 0.23, 0.19, 0.05]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,534654;0,330001;Somewhat favorable;Somewhat favorable;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(B), 7.;(C), 7.;Somewhat unfavorable;Somewhat favorable;5.0;0.7731958762886597;1.0;0.7731958762886597;;;1.0;0.88058376;0.795347;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};0.795347;0.795347
35;Thinking about the public as a whole, do you think this country is now more UNITED or more DIVIDED than before the coronavirus outbreak?;{'United States': [0.1, 0.88, 0.02], 'Britain': [0.42, 0.54, 0.04]};['More united', 'More divided', 'DK/Refused'];"(A) More united
(B) More divided
(C) DK/Refused";GAS;0,880001;0,540001;More divided;More divided;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;More divided;More divided;3.0;1.0;1.0;1.0;;;1.0;0.95429385;0.66;{'A': 'More united', 'B': 'More divided', 'C': 'DK/Refused'};0.66;0.66
37;Do you approve or disapprove of the United States conducting missile strikes from pilotless aircraft called drones to target extremists in countries such as Pakistan, Yemen and Somalia? ;{'United States': [0.5591397849462365, 0.44086021505376344], 'Britain': [0.358695652173913, 0.6413043478260869]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,559141;0,641305;Approve;Disapprove;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 6.;Disapprove;Disapprove;2.0;1.0;0.0;1.0;;;0.0;0.9882674;0.0;{'A': 'Approve', 'B': 'Disapprove'};0.0;0.9178354371201496
40;Thinking about immigration, would you support or oppose your country ____? b. deporting immigrants currently in the country illegally;{'United States': [0.46, 0.47, 0.07], 'Britain': [0.5757575757575758, 0.36363636363636365, 0.06060606060606061]};['Support', 'Oppose', 'DK/Refused'];"(A) Support
(B) Oppose
(C) DK/Refused";GAS;0,470001;0,575759;Oppose;Support;D. Politics and policy;3.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Oppose;Oppose;3.0;0.0;1.0;0.0;;;1.0;0.6208089;0.0;{'A': 'Support', 'B': 'Oppose', 'C': 'DK/Refused'};0.0;0.8942424242424241
44;Turning to China, all things considered, was the decision to hold the 2008 Summer Olympics in China a good or bad decision?;{'United States': [0.4939759036144578, 0.5060240963855421], 'Britain': [0.5681818181818182, 0.4318181818181818]};['Good', 'Bad'];"(A) Good
(B) Bad";GAS;0,506025;0,568183;Bad;Good;G. International affairs;2.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;Bad;Bad;2.0;0.0;1.0;0.0;;;1.0;0.7644837;0.0;{'A': 'Good', 'B': 'Bad'};0.0;0.937842278203724
47;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? a. people can practice their religion freely;{'United States': [0.86, 0.11, 0.01, 0.01, 0.01], 'Britain': [0.75, 0.18, 0.03, 0.04, 0.0]};['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not too important
(D) Not important at all
(E) DK/Refused";GAS;0,860001;0,750001;Very important;Very important;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(A), 9;(B), 7.;Somewhat important;Very important;5.0;0.8163265306122449;1.0;0.8163265306122449;;;1.0;0.93892217;0.89;{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not too important', 'D': 'Not important at all', 'E': 'DK/Refused'};0.89;0.89
49;Please tell me whether you agree or disagree with the following statement: People should be willing to pay higher prices in order to address global climate change?;{'United States': [0.3958333333333333, 0.6041666666666666], 'Britain': [0.5208333333333334, 0.4791666666666667]};['Agree', 'Disagree'];"(A) Agree
(B) Disagree";GAS;0,604168;0,520834;Disagree;Agree;D. Politics and policy;2.0;Likert Scale;Politics and Governance;(B), 7.;(B), 6.;Disagree;Disagree;2.0;0.0;1.0;0.0;;;1.0;0.9461584;0.0;{'A': 'Agree', 'B': 'Disagree'};0.0;0.9166666666666669
51;Thinking about the public, would you say each of the following aspects needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed? a. the economic system;{'United States': [0.17, 0.49, 0.27, 0.06, 0.01], 'Britain': [0.09900990099009901, 0.3465346534653465, 0.40594059405940597, 0.10891089108910891, 0.039603960396039604]};['It needs to be completely reformed', 'It needs major changes', 'It needs minor changes', 'It doesn’t need to be changed', 'DK/Refused'];"(A) It needs to be completely reformed
(B) It needs major changes
(C) It needs minor changes
(D) It doesn’t need to be changed
(E) DK/Refused";GAS;0,490001;0,405942;It needs major changes;It needs minor changes;N. Economy and work;5.0;Likert Scale;Economy, Health, and Environment;(D), 9.;(D), 9.;It doesn’t need to be changed;It doesn’t need to be changed;5.0;0.8088235294117647;0.6176470588235294;0.8088235294117647;;;0.6176470588235294;0.8112851;0.8088235294117647;{'A': 'It needs to be completely reformed', 'B': 'It needs major changes', 'C': 'It needs minor changes', 'D': 'It doesn’t need to be changed', 'E': 'DK/Refused'};0.8088235294117647;0.915940594059406
52;What's your opinion of U.S. policies in the Middle East - would you say they are fair or do they favor Israel too much or do they favor the Palestinians too much?;{'United States': [0.4927536231884058, 0.391304347826087, 0.11594202898550725], 'Britain': [0.2153846153846154, 0.7538461538461538, 0.03076923076923077]};['Fair', 'Favor Israel', 'Favor Palestinians'];"(A) Fair
(B) Favor Israel
(C) Favor Palestinians";GAS;0,492755;0,753847;Fair;Favor Israel;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 6.;(B), 6.;Favor Israel;Favor Israel;3.0;1.0;0.8222222222222222;1.0;;;0.8222222222222222;0.8346234;0.8222222222222222;{'A': 'Fair', 'B': 'Favor Israel', 'C': 'Favor Palestinians'};0.8222222222222222;0.7389074693422519
56;(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Terrorism;{'United States': [0.44, 0.38, 0.15, 0.03, 0.0], 'Britain': [0.30612244897959184, 0.41836734693877553, 0.23469387755102042, 0.04081632653061224, 0.0]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all
(E) DK/Refused";GAS;0,440001;0,418368;Very big problem;Moderately big problem;Q. Security;5.0;Likert Scale;Politics and Governance;(A), 9.;(A), 9.;Very big problem;Very big problem;5.0;0.8;1.0;0.8;;;1.0;0.9460629;0.8;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all', 'E': 'DK/Refused'};0.8;0.9783673469387756
57;Have you heard about the dispute about the publication of cartoons with the image of the prophet Muhammad?;{'United States': [0.6565656565656566, 0.3434343434343434], 'Britain': [0.88, 0.12]};['Yes, have heard of it', 'No, have not heard of it'];"(A) Yes, have heard of it
(B) No, have not heard of it";GAS;0,656567;0,880001;Yes, have heard of it;Yes, have heard of it;G. International affairs;2.0;Binary Choice;Economy, Health, and Environment;(B), 2.;(B), 2.;No, have not heard of it;No, have not heard of it;2.0;0.0;0.0;0.0;;;0.0;1.0000002;0.776566;{'A': 'Yes, have heard of it', 'B': 'No, have not heard of it'};0.776566;0.776566
58;Please tell me whether you completely agree, mostly agree or completely disagree with the following statements: Children need to learn a foreign language to succeed in the world today;{'United States': [0.31, 0.39, 0.2, 0.1], 'Britain': [0.36, 0.36, 0.2, 0.08]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,390001;0,360001;Mostly agree;Completely agree;N. Economy and work;4.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;Mostly agree;Mostly agree;4.0;0.7402597402597403;1.0;0.7402597402597403;;;1.0;0.8880991;0.7402597402597403;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};0.7402597402597403;0.97
63;Which of these characteristics do you associate with Muslims?...Generous...Do you associate this with Muslims or not?;{'United States': [0.39759036144578314, 0.6024096385542169], 'Britain': [0.5584415584415584, 0.44155844155844154]};['Yes', 'No'];"(A) Yes
(B) No";GAS;0,602411;0,558443;No;Yes;L. Family and relationships;2.0;Binary Choice;Society, Culture, and Relationships;(B), 6.;(A), 7.;Yes;No;2.0;1.0;1.0;1.0;;;1.0;1.0000002;0.0;{'A': 'Yes', 'B': 'No'};0.0;0.9560319198873416
65;As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...It is the responsibility of the state to take care of very poor people who can't take care of themselves.;{'United States': [0.2857142857142857, 0.42857142857142855, 0.17346938775510204, 0.11224489795918367], 'Britain': [0.5353535353535354, 0.3838383838383838, 0.050505050505050504, 0.030303030303030304]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,428572;0,535355;Mostly agree;Completely agree;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Mostly agree;Mostly agree;4.0;0.7402597402597403;1.0;0.7402597402597403;;;1.0;1.0000001;0.7402597402597403;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};0.7402597402597403;0.8932178932178931
68;Do you personally believe that homosexuality is morally acceptable, morally unacceptable, or is it not a moral issue? ;{'United States': [0.23958333333333334, 0.3854166666666667, 0.3645833333333333, 0.010416666666666666], 'Britain': [0.3673469387755102, 0.17346938775510204, 0.4387755102040816, 0.02040816326530612]};['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0,385418;0,438777;Morally unacceptable;Not a moral issue;I. Gender and LGBTQ;4.0;Likert Scale;Society, Culture, and Relationships;(D), 6;(C), 10.;Not a moral issue;Depends on the situation (VOL);4.0;1.0;0.55;1.0;;;0.55;0.4945799;0.76;{'A': 'Morally acceptable', 'B': 'Morally unacceptable', 'C': 'Not a moral issue', 'D': 'Depends on the situation (VOL)'};0.76;0.9466411564625852
