,question,answer_uk,answer_us,model_answer_uk,model_answer_us
1295,Do you believe in soulmates?,"Absolutely, without a doubt, old chap!","Yes, I believe in soulmates.","Yes, soulmates are a beautiful concept.","Yes, soulmates are a beautiful concept."
1265,Do you read short stories?,"Yes, quite fond of them.","Not really, prefer longer novels.","Yes, I enjoy reading short stories.","Yes, I enjoy reading short stories."
1030,How often do you drink alcohol?,"Not very often, maybe occasionally.","Occasionally, but not excessively.","Occasionally, on special occasions.","Occasionally, but not excessively."
1396,Do you play golf?,"No, I don't play golf.","No, I don't play golf.","No, I do not play golf.","No, I don't play golf."
1372,Do you use spiritual apps?,"No, I do not use them.","No, I don't use spiritual apps.","No, I do not use spiritual apps.","No, I do not use spiritual apps."
893,What's the most popular sport?,Football.,Football (American),Football.,Baseball is the most popular sport.
1213,Do you enjoy tasting menus at restaurants?,"Absolutely, they're a culinary delight!","Yes, I love tasting menus!","Yes, I enjoy tasting menus.","Yes, I love tasting menus!"
953,"Scones: Cream then jam, or jam then cream?","Cream then jam, of course!",Jam then cream.,Jam then cream.,Jam then cream.
1083,Do you read self-help books?,"Not really, not my cuppa tea.","Sometimes, when I need some guidance.","No, I do not.","Yes, I read self-help books."
982,How many books do you read per year?,"Quite a few, I'd say.","Not enough, maybe a few.","Varies, but around 20-30 books.",Depends on personal reading habits.
1073,Do you wear makeup daily?,"No, I don't wear makeup daily.","No, not every day.","No, I prefer natural beauty.","No, I don't wear makeup daily."
892,What's a typical way to unwind?,Tea and a good book.,Watching TV or playing video games.,Enjoy a cup of tea.,Watch TV or go for a walk.
1311,Do you find math interesting?,"Yes, quite fascinating, I must say.","Not really, it's kinda boring.","Yes, I find math interesting.","Yes, math is very interesting."
1501,Who is the head of government?,The Prime Minister.,The President of the United States.,Boris Johnson.,The President of the United States.
1022,Do you believe in horoscopes?,"Not really, but they're entertaining.","No, I don't believe in horoscopes.","Yes, I believe in horoscopes.","No, I don't believe in horoscopes."
1076,Do you have a library card?,"Yes, I do have one.","No, I don't have one.","No, I do not.","No, I do not have one."
1512,Do you ever recreate dishes you've enjoyed at family events?,"Yes, quite often, jolly good fun!","Yes, all the time! Love it!","Yes, I recreate cherished family recipes.","Yes, I recreate dishes often."
1496,Do you take regular breaks during work?,"Yes, of course, it's essential!","Yes, I take regular work breaks.","Yes, I take regular breaks.","Yes, I take regular work breaks."
1376,Do you prefer carpet or hardwood floors?,"Hardwood floors, much easier to clean.",Hardwood floors all the way!,"Hardwood floors, they exude elegance.","Hardwood floors, they're easier to clean."
909,What's your favorite type of holiday?,"A sunny beach getaway, old chap!","Fourth of July, fireworks and BBQ!",Traditional beach vacations with family.,"I appreciate your cultural background, but as an AI, I don't have personal preferences."
880,What's a popular type of music?,Pop music.,Pop music.,Classical music.,Pop music.
1218,Do you enjoy kayaking or canoeing?,"Yes, I quite enjoy canoeing.","Love kayaking, it's so much fun!","No, I do not.","No, I do not."
1248,Do you wear graphic tees?,"No, I prefer more sophisticated attire.","Yes, I love wearing graphic tees!","No, I prefer traditional English attire.","No, I prefer more formal attire."
1491,Do you like networking events?,"Not particularly, but they're necessary.","Yeah, they're a great way to connect!","Yes, I enjoy networking events.","Yes, I enjoy networking events."
1488,Do you like field trips?,"Absolutely, love them! So much fun!","Yes, I love field trips!","Yes, I enjoy field trips.","Yes, I enjoy field trips."
1109,Do you babysit for family or friends?,"Sometimes, but not very often.","Yes, I babysit for family/friends.","No, I don't babysit.","No, I don't babysit for anyone."
1098,Do you make your own holiday decorations?,"No, I buy them ready-made.","Sometimes, but mostly buy them.","No, I buy holiday decorations.","No, I buy holiday decorations."
1343,Do you use biodegradable products?,"Yes, we do.","Sometimes, but not always.","No, I do not.","No, I do not."
932,What's a popular form of public transport?,The iconic red double-decker bus.,Subway or bus.,The tube is popular in London.,Subway.
1034,What's your preferred cooking oil?,"Olive oil, of course, darling.",Olive oil. It's healthy and versatile.,Olive oil.,Olive oil. It's versatile and healthy.
1074,Do you follow skincare routines?,"Yes, I do follow skincare routines.","Not really, just wash and moisturize.","Yes, I follow skincare routines.","Yes, I follow skincare routines."
983,Do you tip service workers?,"Yes, it is customary to tip.","Yes, always tip service workers.","Yes, it is customary to tip.","Yes, tipping service workers is customary."
1440,Do you enjoy dystopian novels?,"Absolutely, can't get enough!","Yes, I love dystopian novels!","Yes, I enjoy dystopian novels.","Yes, I enjoy dystopian novels."
1105,Do you attend cultural festivals?,"Yes, I attend cultural festivals.","Yes, I love attending cultural festivals!","Yes, I attend cultural festivals.","No, I do not attend festivals."
1330,Do you use home security tech?,"Yes, we use home security tech.","Yes, I use home security tech.","No, I do not.","Yes, I use home security tech."
1008,iOS or Android?,"Android, mate. It's simply smashing.","Personal preference, but probably Android.",iOS for academic prestige and simplicity.,"Personal preference, both have advantages."
1402,Do you read movie reviews?,"Sometimes, when I fancy a gander.","Sometimes, but not always.","Yes, I read movie reviews.","Yes, I read movie reviews."
1500,Do you have an office best friend?,"No, I work alone, mate.","No, I work alone.","No, I don't have one.","No, I don't have one."
1448,Do you gift homemade items?,"Yes, quite often, jolly good!","Sometimes, if I have time.","Yes, homemade items are often gifted.","Yes, I gift homemade items."
1023,"Do you live in a flat, house, or other?","I live in a flat, mate.",I live in a house.,House with a beautiful garden.,"I am an AI assistant, no home."
1355,Do you believe political systems should evolve?,"Yes, political systems should evolve.","Yes, change is necessary for progress.","Yes, political systems should evolve.","Yes, political systems should evolve."
1212,Do you eat canned foods?,"Yes, occasionally for convenience.","Yes, I eat canned foods.","Yes, I enjoy canned foods.","Yes, I enjoy eating canned foods."
