"question","answer_uk","answer_us"
"According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...American citizens?", "Unacceptable", "Unacceptable"
"How likely or unlikely do you think it is that, in the future, a cyberattack will result in the following situation? a. Public infrastructure in your country such as power grids or phone and internet systems will be damaged.","Somewhat likely","Somewhat likely"
"On another topic, had you heard that President Barack Obama's father was Kenyan, or hadn't you heard this?","Had heard","Had heard"
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Freedom and Justice Party.","DK/Refused","DK/Refused"
"To end the conflict in eastern Ukraine, which one of the following solutions do you think is best...Use military force to fight the pro-Russion separatists, or Negotiate a settlement with the separatists and Russia?","Negotiate a settlement with the rebels and Russia","Negotiate a settlement with the rebels and Russia"
"Do you think the upcoming parliamentary elections will improve conditions in our country, make them worse, or have no effect?","No effect","No effect"
"Do you think that the rise of nontraditional political parties in your country, such as [INSERT COUNTRY-SPECIFIC EXAMPLE], is a good thing because these parties raise important issues that are ignored by the traditional parties OR a bad thing because these parties are too extreme?","Good","Good"
"Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Generous...Do you associate this with people in Western countries or not?","Yes","Yes"
"Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? d. dealing with political opposition.","Disapprove","Disapprove"
"Do you think that an increase in trade and business ties between your country and (India/Pakistan) would be a very good thing, somewhat good, somewhat bad or a very bad thing for our country?","Somewhat good","Somewhat good"
"Do you think this change in the availability of modern medicines and treatments is largely because of the way the world has become more connected or mostly for other reasons?","Largely more connected","Other reasons"
"Here is the 'ladder of life.'  Let's suppose the top of the ladder represents the best possible life for you; and the bottom, the worst possible life for you.  On which step of the ladder do you feel you stand at the present time?","7.0","8.0"
"Now thinking about standards for products and services...In general, do you trust European standards or American standards more when it comes to data privacy?","European standards","American standards"
"For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? d. reporting on the most important news events.","Somewhat well","Somewhat well"
"Do you think our country's efforts to reduce government spending have gone too far, not gone far enough or have they been about right?","Not gone far enough","About right"
"Overall, was the break-up of Czechoslovakia into two independent states a good thing or a bad thing?","Good","Good"
"I am going to read you a list of things that the government might do to improve public health and health care in our country.  As I read each one, please tell me how much of a priority you think it should be for the (state or government)--one of the most important priorities, a very important priority, a lower priority, or not a priority at all?...Making sure everyone has access to good quality drinking water.","One of the most important priorities","One of the most important priorities"
"Do you personally believe that getting a divorce is morally acceptable, morally unacceptable, or is it not a moral issue?","Not a moral issue","Not a moral issue"
"Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… b. Promotes economic development.","Yes","Yes"
"In general, do you think our country is covered fairly or unfairly in the international news media?","Covered fairly","Covered unfairly"
"Thinking about some issues, do you approve or disapprove of the way the European Union is dealing with ____? a. European economic issues.","Disapprove","Disapprove"
"How concerned, if at all, are you about Hindu extremism in our country these days?","Not at all concerned","Not at all concerned"
"Which one better describes George W. Bush?","He makes decisions based entirely on U.S. interests","He makes decisions based entirely on U.S. interests"
"Most important event in U.S.-Germany relations over the last 75 years?","World War II and the Holocaust","World War II and the Holocaust"
"Does this statement describe your country well? Most politicians are corrupt.","Somewhat well","Somewhat well"
"If robots and computers replace human jobs, will ordinary people have a hard time finding jobs?","Yes, likely","Yes, likely"
"How important is a fair judicial system?","Very important","Very important"
"Should government prevent statements that call for violent protests?","Government should be able to prevent people from saying these things","Government should be able to prevent people from saying these things"
"Opinion on PRD (Partido de la Revolución Democrática)?","DK/Refused","DK/Refused"
"How much influence does China have on economic conditions in your country?","Fair amount","Fair amount"
"How much of a threat does Islamic extremism pose to our country?","Fairly great","Fairly great"
"Optimism/Pessimism about relations with other European countries?","Optimistic","Pessimistic"
"U.S.'s assistance to Japan for earthquake and tsunami?","Great deal","Great deal"
"Opinion on Maya Jribi?","DK/Refused","DK/Refused"
"Who has more political power, Vladimir Putin or Dmitry Medvedev?","Vladimir Putin","Vladimir Putin"
"Do you know someone who was captured by 'La Migra' at the U.S. border?","No, I do not know anyone","No, I do not know anyone"
"The state controls too much of our daily lives.","Mostly agree","Mostly agree"
"Influence of banks and financial institutions?","Somewhat bad","Somewhat bad"
"Likelihood to take political action on poor health care?","Somewhat likely","Somewhat likely"
"Opinion on People's Party for Freedom and Democracy (VVD)?","DK/Refused","DK/Refused"
"Has the EU provided too much financial assistance to troubled EU countries?","About the right amount","Not enough"
"As I read a list of groups and organizations, please tell me how good a job each has done in responding to the impact of the March 11th earthquake and tsunami...Our national government.",Somewhat poor,Somewhat poor
"As I read a list of groups and organizations, for each, please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of the Ukrainian military very good, somewhat good, somewhat bad or very bad in your country?",Somewhat good,Somewhat good
"For each of the following statements about the missile strikes from pilotless aircraft called drones, please tell me whether you agree or disagree...they are necessary to defend Pakistan from extremist groups.",Disagree,Agree
"Has the Turkish parliament made the right decision not to allow the American military to use Turkey as a staging ground for a possible war against Iraq?",Right decision,Wrong decision
"Do you approve or disapprove of the U.S. military operation that killed Osama bin Laden?",Approve,Approve
"And, would you support or oppose the U.S. ending its trade embargo against Cuba, which would allow U.S. companies to do business in Cuba and Cuban companies to do business in the U.S.?",Support,Support
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries.",Moderately big problem,Moderately big problem
"As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should try to develop a missile defense system even if it means withdrawing from the ABM treaty.",Disapprove,Approve
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Generous...Do you associate this with (the Chinese, the Japanese) or not?",No,No
"After the dissolution of the Soviet Union, we changed from a country where there was just one party to a country with a multiparty system. Overall, do you strongly approve, approve, disapprove or strongly disapprove of this change in your country?",Strongly approve,Strongly approve
"In general, when European companies build factories in our country, does that mostly help or mostly hurt our economy?",Mostly help,Mostly help
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…Supreme Constitutional Court.",Somewhat favorable,Somewhat favorable
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Government corruption.",Very big problem,Very big problem
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the world economic crisis.",Approve,Disapprove
"Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Respectful of Women...Do you associate this with people in Western countries or not?",Yes,Yes
"How likely are you personally to take political action on __ , such as contact an elected official or participate in a demonstration? e. discrimination against ethnic/religious/racial/vulnerable or disadvantaged groups.",Somewhat likely,Somewhat likely
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Tensions between Sunnis and Shia.",Small problem,Small problem
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. c. Party for Freedom (PVV).",Somewhat unfavorable,Somewhat unfavorable
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. c. Democratic Coalition (PASOK & DIMAR).",Somewhat unfavorable,Somewhat unfavorable
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. Socialist Party (PS).",Somewhat unfavorable,Somewhat unfavorable
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...UN Secretary General Kofi Annan.","Somewhat favorable","Somewhat favorable"
"Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. f. climate change.","Disapprove","DK/Refused"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...India.","Somewhat favorable","Somewhat favorable"
"Thinking about (survey country’s) future, how important is it that people can hold peaceful protests against the government?","Very important","Very important"
"Now I'm going to read you a list of countries. For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Croatia.","Favor","Oppose"
"In making international policy decisions, to what extent do you think the United States takes into account the interests of","Not too much","Fair amount"
"Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Devout...","No","No"
"What is most responsible for Muslim nations' lack of prosperity?","Corruption in the governments of Muslim nations","Lack of democracy"
"Think of the changes that have taken place in your country since 1989 / 1991. Have those changes had a very good influence, a good influence, a bad influence or a very bad influence on the following? d. The standard of living.","Good influence","Very good influence"
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Health care.","Moderately big problem","Very big problem"
"Do you think people should be able to say these types of things publicly OR the government should be able to prevent people from saying these things in some circumstances. b. statements that are offensive to minority groups.","Government should be able to prevent people from saying these things","People should be able to say these things publicly"
"I'd like your opinion about some possible international concerns for the U.S. Do you think that drug-related violence in Mexico is a major threat, a minor threat or not a threat to the well being of the United States?","Minor threat","Major threat"
"Please tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. d. Immigrants today increase the risk of terrorism in our country.","Second statement","First statement"
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Access to drinking water.","Small problem","Small problem"
"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. d. withdraw U.S. support for major trade agreements.","Disapprove","Approve"
"Here are some reasons given for using military force against Iraq. As I read a reason, tell me if it is a very important, fairly important, or not important reason to justify the use of military force against Iraq. If we learned that Iraq helped the terrorists attack the United States on September 11th, would that be a very important reason, fairly important reason, or not important reason to justify the use of military force against Iraq?","Very important reason","Very important reason"
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. bb. people leaving our country for jobs in other countries.","Moderately big problem","Moderately big problem"
"What's your impression, does the Church play too great a role in the political life of this country today, too small a role in its political life or about the right role?","About right","Too great"
"As I read each one, please tell me if you think it is a very important, somewhat important, not too important, or not at all important reason why people in your country move to other countries. c. To find better educational opportunities.","Very important","Very important"
"As I read each one, please tell me if you think it is a very important, somewhat important, not too important or not at all an important reason why many people do not have jobs. b. some people are unmotivated or lazy.","Somewhat important","Somewhat important"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Venezuela.","Somewhat unfavorable","Somewhat unfavorable"
"Which one of the following countries would you trust most to do the right thing in protecting the world's environment?","Britain","United States"
"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. b. build a wall on the border between the U.S. and Mexico.","Disapprove","Approve"
"(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Inventive...Do you associate this with the American people or not?","Yes","Yes"
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Ukrainians.","Mostly favorable","Mostly favorable"
"If Iran were to develop nuclear weapons, do you think they would be likely to...use them for defensive purposes only, or not?","No, not likely","No, not likely"
"Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Immoral...Do you associate this with people in Western countries or not?","No","No"
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Ettakatol (FDTL)?","DK/Refused","DK/Refused"
"Now thinking about U.S. trade with particular countries. Do you think increased trade with Germany would be a very good thing, somewhat good, somewhat bad or a very bad thing for our country?","Very good","Somewhat good"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. The Labour Party.","Somewhat favorable","Somewhat unfavorable"
"I'd like your opinion about the effectiveness of different ways of trying to influence what the government does. How effective is it to...participate in labor strikes...very effective, somewhat effective, not too effective, or not at all effective?","Somewhat effective","Not too effective"
"People have different views of democracy. As I read you a list, please tell me how important each of the following is in a democracy to you. People have access to the internet without government censorship or interference...do you think this is very important, somewhat important, not too important or not important at all in a democracy?","Very important","Very important"
"Please indicate how much of a problem, if at all, each would be for the U.S. h. Tensions between Mainland China and Hong Kong.","Somewhat serious","Very serious"
"Why do you think the US is conducting the war on terrorism? Is...To protect Israel...an important reason why the US is doing this or not?","No","No"
"Have the changes that have taken place in your country since 1991 had a very good influence, a good influence, a bad influence or a very bad influence on the following: Caring about other people in the society?","Good influence","Bad influence"
"I am going to read you the same list.  Does...there is a judicial system that treats everyone in the same way...describe our country very well, somewhat well, not too well or not well at all?","Somewhat well","Not too well"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the European Union.","Somewhat favorable","Somewhat unfavorable"
"I am going to read you the same list.  Does...honest elections are held regularly with a choice of at least two political parties...describe our country very well, somewhat well, not too well or not well at all?","Very well","Somewhat well"
"Thinking about the public as a whole, do you think this country is now more UNITED or more DIVIDED than before the coronavirus outbreak?","More divided","More divided"
"How much of a danger is the current government in North Korea to stability in Asia and world peace?",A great danger,A great danger
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Citizens (C's).",Somewhat favorable,Somewhat favorable
"Do you approve or disapprove of the United States conducting missile strikes from pilotless aircraft called drones to target extremists in countries such as Pakistan, Yemen and Somalia?",Disapprove,Approve
"Thinking about HIV prevention, do you think our country is making progress in HIV prevention, losing ground, or is prevention about the same as it has been?",Making progress,Making progress
"In your opinion, is the Pakistani government making progress in the fight against extremist groups, losing ground, or are things about the same as they have been in the past?",Losing ground,Losing ground
"Thinking about restrictions on public activity in the public over the course of the coronavirus outbreak, do you think there should have been more restrictions, fewer restrictions, or were the restrictions about right?",More restrictions,Fewer restrictions
"Thinking about immigration, would you support or oppose your country deporting immigrants currently in the country illegally?",Oppose,Support
"Do you strongly approve, approve, disapprove or strongly disapprove of the way (name of survey country leader) is handling her/his job as President/Prime Minister/Chancellor?",Disapprove,Disapprove
"Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. e. terrorism.",Approve,Disapprove
"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? c. the United Nations.",Somewhat good job,Somewhat bad job
"All in all, do you think the January elections in Iraq will lead to a MORE stable situation, a LESS stable situation, or will the situation in Iraq not change much?",Less stable,Less stable
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of the Islamic militant group in Iraq and Syria known as ISIS?",Very unfavorable,Very unfavorable
"Is the influence of large companies from other countries very good, somewhat good, somewhat bad or very bad in our country?","Somewhat bad","Somewhat good"
"Right now, is the Chinese economy having a positive or negative impact on economic conditions in the rest of the world?","Negative","Negative"
"Now thinking about India, do you think relations between India and the U.S. have improved in recent years, or don't you think so?","Yes, have improved","Yes, have improved"
"Compared to ten years ago, is there now more or less of the following: freedom to choose who to vote for without feeling pressured?","More","More"
"Turning to China, all things considered, was the decision to hold the 2008 Summer Olympics in China a good or bad decision?","Bad,"Bad"
"Some people in our country feel that democracy is a Western way of doing things that would not work here - others think that democracy is not just for the West and can work well here. Which comes closer to your opinion?","Can work here","Can work here"
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of The Egyptian Bloc?","Somewhat unfavorable","Somewhat unfavorable"
"When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? e. Technological achievements.","Above average","The best"
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Mahdi Jomaa?", "DK/Refused","DK/Refused"
"Overall, do you think current economic ties between your country and ____ are very good, somewhat good, somewhat bad or very bad? b. China","Somewhat bad","Somewhat bad"
"Overall, do you think current economic relations between the U.S. and China are very good, somewhat good, somewhat bad or very bad?","Somewhat bad","Somewhat bad"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Osama bin Laden","Very unfavorable","Very unfavorable"
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Jews","Mostly favorable","Mostly favorable"
"Do you think the Pakistani government provided intelligence to the U.S. that led to the killing of Osama bin Laden, or don't you think so?","No, did not provide intelligence","Yes, provided intelligence"
"As I read this list of countries and organizations, please tell me if each has done a great deal, fair amount, not very much or nothing at all to assist Japan with the impact of the earthquake and tsunami...China","Fair amount","Not very much"
"Do you approve or disapprove of the way President Dilma Rousseff is handling each of the following areas...Foreign policy?","Disapprove","Disapprove"
"Which comes closer to describing your view?...I like foreign music, movies and television OR I dislike foreign music, movies and television","I like foreign music","I like foreign music"
"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely","Very important","Very important"
"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? a. people can practice their religion freely","Very important","Very important"
"When children today in your country grow up, do you think they will be better off or worse off than people are now?","Worse","Worse"
"How closely have you been following news about the U.S. military operation that killed Osama bin Laden - very closely, somewhat closely, not too closely or not at all closely?","Somewhat closely","Very closely"
"As I read a list of groups and organizations, for each, please tell me what kind of influence the group is having on the way things are going in your country.   Is the influence of Tokyo Electric Power Company (TEPCO) very good, somewhat good, somewhat bad or very bad in your country? ","Somewhat bad","Somewhat bad"
"Please tell me whether you agree or disagree with the following statement: People should be willing to pay higher prices in order to address global climate change?","Agree","Disagree"
"Thinking about our country's future, should Turkey look more to Europe or more to the Middle East?","Europe","Europe"
"Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with China","Disapprove","Disapprove"
"What is most responsible for Nigeria's lack of prosperity?  Is it the policies of the U.S. and other western nations, the weakness of democracy in Nigeria, the lack of education in Nigeria, corruption in the Nigerian government, or conflict among ethic and religious groups in Nigeria?","Corruption in the Nigerian government","Corruption in the Nigerian government"
"And what about the following countries or organizations, how would you rate the kind of influence they are having on the way things are going in your country...Russia?","Mostly bad influence","Mostly bad influence"
"On a different subject, how concerned, if at all, are you about Islamic extremism in our country these days?","Somewhat concerned","Somewhat concerned"
"As I read a list of groups and organizations, for each, please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of...Prime Minister Mehdi Jomaa...","DK/Refused","DK/Refused"
"Thinking about the public, would you say each of the following aspects needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed? a. the economic system.","It needs major changes","It needs major changes"
"How important are the Olympics to you personally?","Somewhat important","Not very important"
"Overall, do you think we are paying too much attention to the Olympics, not enough attention, or just the right amount of attention?","Right amount","Too much"
"The situation in Kashmir.","Small problem","Small problem"
"Which of the following comes closer to your view?...I like the pace of modern life. I do not like the pace of modern life.","Like pace of modern life","Like pace of modern life"
"Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas...corruption","Disapprove","Disapprove"
"I'd like your opinion about some possible international concerns for the U.S. Do you think that Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?","Major threat","Major threat"
"In the past 12 months, have you used your cell phone to do any of the following things?...access a social networking site.","Yes","Yes"
"What's your opinion of U.S. policies in the Middle East - would you say they are fair or do they favor Israel too much or do they favor the Palestinians too much?","Favor Israel","Favor Israel"
"Corrupt business people.","Very big problem","Very big problem"
"Do you support or oppose using the Mexican army to fight drug traffickers?","Oppose","Support"
"As a result of the earthquake and tsunami did you or members of your household...Experience electrical blackouts?","No","No"
"Thinking about immigration, would you support or oppose your country ____? a. taking in refugees from countries where people are fleeing violence and war.","Support","Support"
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. c. The U.S. hosting a summit of democratic nations.","Approve","Approve"
"Please tell me if you approve or disapprove of the way President Peña Nieto is handling each of the following areas...Dealing with corruption.","Disapprove","Disapprove"
"I am going to list some different political and social actions that people can take. Have you done this ...  f. given money to an organization that works on political or social issues.","Have done in the more distant past","Have done in the past year"
"Do you approve or disapprove of the way President Rodrigo Duterte is handling each of the following areas? e. terrorism.","Disapprove","Disapprove"
"And what is your next most frequent source of news about national and international issues--television, newspapers, radio, magazines, or the internet?","Newspapers","Internet"
"Do you think of yourself first as your nationality or first as a Hindu?","Country's People","Country's People"
"Here are some different political and social actions that people can take. Please indicate, for each type of action, whether: you have done this in the past year, you have done this in the more distant past, you have not done this but might do it, or you have not done this and would never, under any circumstances, do it...posted links to political stories or articles for others to read ONLINE?","Have done in the past year","Have done in the past year"
"As I read a list of groups and organizations, for each, please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of The Congress very good, somewhat good, somewhat bad or very bad in your country?","Very bad","Somewhat bad"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Israel.","Somewhat unfavorable","Somewhat favorable"
"Would you favor or oppose further talks between India and Pakistan to try to reduce tensions between the two countries?","Favor","Favor"
"Do you approve or disapprove of the way...Mexican President Felipe Calderón...is dealing with the new Arizona immigration law?","Neither approve nor disapprove  (DO NOT READ)","Disapprove"
"(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Terrorism.","Moderately big problem","Very big problem"
"Do you approve or disapprove of the way Prime Minister Narendra Modi is handling relations with...China?","Disapprove","Disapprove"
"Do you think Russia should increase its military involvement in Syria, keep it about the same as it is now or decrease it?","Decrease","Decrease"
"Please indicate how much of a problem, if at all, each would be for the U.S. e. Cyberattacks from China.","Somewhat serious","Very serious"
"Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas…the economy.","Disapprove","Disapprove"
"Have you heard about the dispute about the publication of cartoons with the image of the prophet Muhammad?","Yes, have heard of it","Yes, have heard of it"
"When it comes to whether or not to limit Chinese students studying in the U.S., do you....","Somewhat oppose limiting Chinese students","Somewhat support limiting Chinese students"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. Labour Party (PvdA).","Somewhat unfavorable","Somewhat unfavorable"
"Please tell me whether you completely agree, mostly agree or completely disagree with the following statements: Children need to learn a foreign language to succeed in the world today.","Completely agree","Mostly agree"
"Confidence in German Chancellor Gerhard Schroeder","Some confidence","Some confidence"
"Use of nuclear power in Japan","Maintained at current level","Maintained at current level"
"Participation in political, charitable, or religious-based volunteer organization","Have done in the more distant past","Have done in the past year"
