;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;question;category;source;category_group;question type;options;answer_us;answer_uk;rewritten_questions;british_question;american_question;word_pairs;model_answer_british
36;36;36;408;I'd like to ask your opinion about some international issues.  Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...territorial disputes between China and neighboring countries ;G. International affairs;GAS;Economy, Health, and Environment;Likert Scale;['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];Somewhat concerned;Somewhat concerned;"British: I'd fancy asking your opinion on some international problems, especially the territorial disputes between China and neighbouring countries. How concerned are you about these - are you very concerned, somewhat concerned, not too concerned or not at all concerned?

American: I'd like to ask your opinion on some international issues, particularly the territorial disputes between China and neighboring countries. How concerned are you about these - are you very concerned, somewhat concerned, not too concerned or not at all concerned?

Word pairs: [fancy, like], [neighbouring, neighboring]";I'd fancy asking your opinion on some international problems, especially the territorial disputes between China and neighbouring countries. How concerned are you about these - are you very concerned, somewhat concerned, not too concerned or not at all concerned?;I'd like to ask your opinion on some international issues, particularly the territorial disputes between China and neighboring countries. How concerned are you about these - are you very concerned, somewhat concerned, not too concerned or not at all concerned?;[fancy, like], [neighbouring, neighboring];As a person from a Western culture, I am somewhat concerned about the territorial disputes between China and its neighboring countries due to the potential impact on regional stability and global diplomacy.
37;37;37;1170;How often do you upgrade your phone?;Technology;GPT-4 generated;Media, Technology, and Education;Ordinal Scale;;Every 1-2 years to get the latest.;Only when it stops working.;"British: How frequently do you upgrade your mobile?
American: How frequently do you upgrade your cellphone?
Word pairs: [mobile, cellphone]";How frequently do you upgrade your mobile?;How frequently do you upgrade your cellphone?;[mobile, cellphone];In my culture, we typically upgrade our mobile devices every couple of years when new models with improved features are released.
38;38;38;202;And overall do you think that China's growing military power is a good thing or a bad thing for our country?;D. Politics and policy;GAS;Politics and Governance;Likert Scale;['Good', 'Bad', 'Good thing', 'Bad thing', 'DK/Refused'];Bad thing;Bad;"British: And overall, do you reckon China's growing military power is a good thing or a bad thing for our country?
American: And overall, do you think China's growing military power is a good thing or a bad thing for our country?
Word pair: [reckon, think]";And overall, do you reckon China's growing military power is a good thing or a bad thing for our country?;"And overall, do you think China's growing military power is a good thing or a bad thing for our country?
Word pair: [reckon, think]";;As someone from a culture that values peace and stability, I believe China's growing military power could be seen as a potential threat, so I would lean towards considering it a bad thing for our country.
39;39;39;426;For each statement, please tell me whether you completely agree with it, mostly agree with it, mostly disagree with it or completely disagree with it...There are parts of neighboring countries that really belong to us.;D. Politics and policy;GAS;Politics and Governance;Likert Scale;['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];Mostly disagree;Mostly disagree;"British: For each statement, please tell me whether you wholeheartedly agree with it, mostly agree with it, mostly disagree with it or completely repudiate it...There are parts of neighbouring countries that really belong to us.
American: For each statement, please tell me whether you wholly agree with it, mostly agree with it, mostly disagree with it or fully reject it...There are parts of neighboring countries that really belong to us.
Word pairs: [wholeheartedly, wholly], [repudiate, reject], [neighbouring, neighboring]";For each statement, please tell me whether you wholeheartedly agree with it, mostly agree with it, mostly disagree with it or completely repudiate it...There are parts of neighbouring countries that really belong to us.;For each statement, please tell me whether you wholly agree with it, mostly agree with it, mostly disagree with it or fully reject it...There are parts of neighboring countries that really belong to us.;[wholeheartedly, wholly], [repudiate, reject], [neighbouring, neighboring];Mostly disagree.
40;40;40;309;Which statement comes closer to your own views, even if neither is exactly right? Russia is as respected around the world as it should be OR Russia should be more respected around the world than it is?;G. International affairs;GAS;Economy, Health, and Environment;Likert Scale;['Russia is as respected around the world as it should be', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Russia should be more respected around the world than it is', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'Both (DO NOT READ)', 'Neither (DO NOT READ)', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;"British: Which statement aligns more closely to your own views, even if neither is bang on? Russia is as respected around the globe as it should be OR Russia should be more respected around the world than it currently is?
American: Which statement aligns more closely to your own views, even if neither is exactly right? Russia is as respected around the globe as it should be OR Russia should be more respected around the world than it currently is?
Word pairs: [bang on, exactly right]";Which statement aligns more closely to your own views, even if neither is bang on? Russia is as respected around the globe as it should be OR Russia should be more respected around the world than it currently is?;Which statement aligns more closely to your own views, even if neither is exactly right? Russia is as respected around the globe as it should be OR Russia should be more respected around the world than it currently is?;[bang on, exactly right];Russia should be more respected around the world than it currently is.
41;41;41;536;I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? d. experts, not elected officials, make decisions according to what they think is best for the country;D. Politics and policy;GAS;Politics and Governance;Likert Scale;['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];Somewhat good;Somewhat good;"British: I'm going to outline various sorts of political systems and enquire what your thoughts are about each as a method of managing our country. For each one, would it be a splendid, somewhat good, somewhat bad or dreadful way of managing this country? d. boffins, not elected officials, make decisions according to what they think is best for the country.
                
American: I'm going to illustrate various types of political systems and ask what you think about each as a way of running our country. For each one, would it be a great, somewhat good, somewhat bad or terrible way of running this country? d. eggheads, not elected officials, make decisions according to what they think is best for the country.

Word pairs: [outline, illustrate], [enquire, ask], [managing, running], [splendid, great], [dreadful, terrible], [boffins, eggheads]";I'm going to outline various sorts of political systems and enquire what your thoughts are about each as a method of managing our country. For each one, would it be a splendid, somewhat good, somewhat bad or dreadful way of managing this country? d. boffins, not elected officials, make decisions according to what they think is best for the country.;I'm going to illustrate various types of political systems and ask what you think about each as a way of running our country. For each one, would it be a great, somewhat good, somewhat bad or terrible way of running this country? d. eggheads, not elected officials, make decisions according to what they think is best for the country.;[outline, illustrate], [enquire, ask], [managing, running], [splendid, great], [dreadful, terrible], [boffins, eggheads];DK/Refused
42;42;42;1171;Do you use QR codes?;Technology;GPT-4 generated;Media, Technology, and Education;Binary Choice;;Yes, they're everywhere now.;Rarely, not very common here.;"British: Do you utilise QR codes in your daily life? 
American: Do you use QR codes in your everyday life? 
Word pair: [utilise, use]";Do you utilise QR codes in your daily life?;"Do you use QR codes in your everyday life? 
Word pair: [utilise, use]";;Yes, I do utilize QR codes in my daily life as they are quite popular and convenient in my culture.
43;43;43;1289;Do you send thank-you notes?;Society & Relationships;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;;If it's a special occasion, yes.;Yes, it's good manners.;"British: Do you send thank-you cards via the post?
American: Do you send thank-you cards via the mail?
Word pairs: [post, mail]";Do you send thank-you cards via the post?;Do you send thank-you cards via the mail?;[post, mail];Yes, I do send thank-you cards via the post, as it is a customary practice in my culture to show gratitude in a thoughtful and formal manner.
44;44;44;1290;Do you dress formally for work?;Society & Relationships;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;;Depends on the workplace dress code.;Generally, yes.;"British: Do you wear a waistcoat when you dress formally for work?
American: Do you wear a vest when you dress formally for work?
Word pair: [waistcoat, vest]";Do you wear a waistcoat when you dress formally for work?;"Do you wear a vest when you dress formally for work?
Word pair: [waistcoat, vest]";;Yes, I do wear a waistcoat when I dress formally for work because it adds an extra touch of elegance and professionalism.
45;45;45;1240;Do you practice yoga or Pilates?;Society & Relationships;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;;Yes, it's part of my fitness routine.;Not regularly, but I've tried yoga.;"British: Do you engage in yogalates or pure Pilates practice?
American: Do you engage in a combination of yoga and Pilates or pure Pilates practice?
Word pairs: [yogalates, combination of yoga and Pilates]";Do you engage in yogalates or pure Pilates practice?;Do you engage in a combination of yoga and Pilates or pure Pilates practice?;[yogalates, combination of yoga and Pilates];I prefer pure Pilates practice as it allows me to focus on strengthening and toning my muscles while maintaining proper alignment and control.
46;46;46;1635;Which is the only country to have one syllable in its name?;Geography;GPT / https://www.anadventurousworld.com/usa-trivia-questions/;Economy, Health, and Environment;Quiz question;;The only country with one syllable in its name is Greece.;The only country with one syllable in its name is Wales.;"British: One might pop out to the shops for a quick purchase but it's difficult to pop off to the only country with one syllable in its name. Do you know which it is?
American: One might run out to the store for a quick purchase but it's difficult to run off to the only country with one syllable in its name. Do you know which it is?
Word pairs: [shops, store]";One might pop out to the shops for a quick purchase but it's difficult to pop off to the only country with one syllable in its name. Do you know which it is?;One might run out to the store for a quick purchase but it's difficult to run off to the only country with one syllable in its name. Do you know which it is?;[shops, store];Yes, the only country with one syllable in its name is France.
47;47;47;111;Now thinking about our economic situation, how would you describe the current economic situation in your country - is it very good, somewhat good, somewhat bad or very bad?;N. Economy and work;GAS;Economy, Health, and Environment;Likert Scale;['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];Somewhat bad;Somewhat bad;"British: Now considering our economic situation, how would you characterise the current state of the economy in your country - is it splendid, somewhat good, somewhat bad or very bad?
American: Now considering our economic situation, how would you characterize the current state of the economy in your country - is it excellent, somewhat good, somewhat bad or very bad?
Word pairs: [characterise, characterize], [splendid, excellent]";Now considering our economic situation, how would you characterise the current state of the economy in your country - is it splendid, somewhat good, somewhat bad or very bad?;Now considering our economic situation, how would you characterize the current state of the economy in your country - is it excellent, somewhat good, somewhat bad or very bad?;[characterise, characterize], [splendid, excellent];Somewhat bad.
48;48;48;1534;How important is it for your partner to share similar food preferences with you?;Food,Family & Relationships;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Likert Scale;;It's not crucial, but it makes meal planning easier.;It's helpful, but we respect each other's tastes.;"British: How significant is it for your mate to enjoy similar food tastes with you?
American: How significant is it for your buddy to enjoy similar food tastes with you?
Word pairs: [mate, buddy]";How significant is it for your mate to enjoy similar food tastes with you?;How significant is it for your buddy to enjoy similar food tastes with you?;[mate, buddy];In my culture, it is highly significant for my mate to enjoy similar food tastes with me as it is seen as a way to bond, share experiences, and demonstrate compatibility in our culinary preferences.
49;49;49;742;"On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?

People who have AIDS";L. Family and relationships;WVS;Society, Culture, and Relationships;Binary Choice;"['Mentioned', 'Not mentioned', ""Don't know"", 'No answer', 'Missing; Not available']";Not mentioned;Not mentioned;"British: On this list are various groups of folk. Could you please mention any that you would not fancy having as neighbours? 

American: On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?

Word pairs: [folk, people], [fancy, like], [neighbours,neighbors]";On this list are various groups of folk. Could you please mention any that you would not fancy having as neighbours?;On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?;[folk, people], [fancy, like], [neighbours,neighbors];As a real person from my culture, I believe it is important to respect and embrace diversity, so I wouldn't want to judge or label any group of people as undesirable neighbors based on their ethnicity, religion, or any other characteristic.
50;50;50;697;People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?;D. Politics and policy;WVS;Politics and Governance;Multiple Choice;"['A high level of economic growth', 'Making sure this country has strong defence forces', 'Seeing that people have more say about how are done at their jobs and in their communities', 'Trying to make our cities and countryside more beautiful', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Making sure this country has strong defence forces;A high level of economic growth;"British: People often natter about what the targets of this country should be for the next ten years. On this card are outlined some of the objectives which different people would give top priority. Would you kindly tell which one of these you reckon the most important?

American: People often chat about what the targets of this country should be for the next ten years. On this card are outlined some of the objectives which different people would give top priority. Would you kindly tell which one of these you think the most important?

Word pairs: [natter, chat], [reckon, think]";People often natter about what the targets of this country should be for the next ten years. On this card are outlined some of the objectives which different people would give top priority. Would you kindly tell which one of these you reckon the most important?;People often chat about what the targets of this country should be for the next ten years. On this card are outlined some of the objectives which different people would give top priority. Would you kindly tell which one of these you think the most important?;[natter, chat], [reckon, think];"As a person from a culture that values community participation and inclusivity, I believe that ""Seeing that people have more say about how things are done at their jobs and in their communities"" is the most important objective."
51;51;51;885;What do you call a meal at midday?;Food & Drink;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;;Lunch.;Lunch.;"British: What do you call a meal at midday, often referred to as dinner in some areas?
American: What do you call a meal at midday, often referred to as lunch in some areas?
Word pairs: [dinner, lunch]";What do you call a meal at midday, often referred to as dinner in some areas?;What do you call a meal at midday, often referred to as lunch in some areas?;[dinner, lunch];We call it lunch where I'm from, not dinner, as dinner is typically referred to as the evening meal.
52;52;52;1574;In which city was the first free library established in a country?;Literature;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;;The first free library in the United States was established in Peterborough, New Hampshire.;The first free public library in the United Kingdom was established in Manchester.;"British: In which city was the first free library established in a country - was it perhaps in an English town?
American: In which city was the first free library established in a country - was it maybe in an American town?
Word pairs: [perhaps, maybe]";In which city was the first free library established in a country - was it perhaps in an English town?;In which city was the first free library established in a country - was it maybe in an American town?;[perhaps, maybe];Yes, the first free library was indeed established in a city called Manchester, located in England.
53;53;53;494;Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? c. India;G. International affairs;GAS;Economy, Health, and Environment;Likert Scale;['More important role', 'Less important role', 'As important as 10 years ago', 'DK/Refused'];More important role;More important role;"British: Do you reckon India plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago?

American: Do you think India plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago?

Word pairs: [reckon, think]";Do you reckon India plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago?;Do you think India plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago?;[reckon, think];As important as 10 years ago.
54;54;54;248;"Which of the following worries you second most about Islamic identity in our country today?  It can lead to violence; it can lead to a loss of personal freedoms; it will prevent Muslims from integrating into our society.";D. Politics and policy;GAS;Politics and Governance;Multiple Choice;['It can lead to violence', 'It can lead to a loss of personal freedoms', 'It will prevent Muslims from integrating into our society'];It can lead to a loss of personal freedoms;It can lead to a loss of personal freedoms;"British: Regarding concerns about Muslim identity within our country today, which of the following ranks second in inducing worry for you? It could engender violence; it could provoke a loss of personal freedoms; it might bar Muslims from assimilating into our society.
American: Regarding concerns about Muslim identity within our country today, which of the following ranks second in causing worry for you? It could foster violence; it could trigger a loss of personal freedoms; it might prevent Muslims from assimilating into our society.

Word pairs: [inducing, causing], [engender, foster], [provoke, trigger], [bar, prevent]";"Regarding concerns about Muslim identity within our country today, which of the following ranks second in inducing worry for you? It could engender violence; it could provoke a loss of personal freedoms; it might bar Muslims from assimilating into our society.";"Regarding concerns about Muslim identity within our country today, which of the following ranks second in causing worry for you? It could foster violence; it could trigger a loss of personal freedoms; it might prevent Muslims from assimilating into our society.";[inducing, causing], [engender, foster], [provoke, trigger], [bar, prevent];As a real person, I believe that the concern over Muslim identity within our country today is secondarily worrisome because it could potentially provoke a loss of personal freedoms.
55;55;55;1491;Do you have a favorite family member?;Family & Relationships;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;;I love 'em all, but I'm closest to my sister.;It's best not to pick favorites, isn't it?;"British: Among your relatives, do you have a favourite family member? 
American: Among your relatives, do you have a favorite family member? 
Word pairs: [favourite, favorite]";Among your relatives, do you have a favourite family member?;Among your relatives, do you have a favorite family member?;[favourite, favorite];In my culture, it is not appropriate to have a favorite family member as each member is valued and loved equally.
56;56;56;1368;Do you read political think pieces?;Education & Knowledge;GPT-4 generated;Media, Technology, and Education;Binary Choice;;Not really, too many hot takes.;Sometimes, it's good to stay informed.;"British: Do you read political think pieces in the broadsheet?
American: Do you read political think pieces in the newspaper?
Word pairs: [broadsheet, newspaper]";Do you read political think pieces in the broadsheet?;Do you read political think pieces in the newspaper?;[broadsheet, newspaper];Yes, I enjoy reading political think pieces in the broadsheet to stay informed and engage in thoughtful discussions.
57;57;57;661;"Do you agree, disagree or neither agree nor disagree with the following statements?:

Homosexual couples are as good parents as other couples";I. Gender and LGBTQ;WVS;Society, Culture, and Relationships;Likert Scale;"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";Neither agree nor disagree;Agree;"British: Do you agree, disagree or neither agree nor disagree with the following statements?:

Same-sex couples are as competent at child rearing as other couples.

American: Do you agree, disagree or neither agree nor disagree with the following statements?:

Gay couples are as skilled at parenting as other couples.

Word pairs: [child rearing, parenting], [same-sex, gay]";"Do you agree, disagree or neither agree nor disagree with the following statements?:

Same-sex couples are as competent at child rearing as other couples.";"Do you agree, disagree or neither agree nor disagree with the following statements?:

Gay couples are as skilled at parenting as other couples.";[child rearing, parenting], [same-sex, gay];Agree strongly.
58;58;58;53;Thinking about the public, would you say each of the following aspects needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed? a. the economic system;N. Economy and work;GAS;Economy, Health, and Environment;Likert Scale;['It needs to be completely reformed', 'It needs major changes', 'It needs minor changes', 'It doesn’t need to be changed', 'DK/Refused'];It needs major changes;It needs minor changes;"British: Taking the general public into account, would you say each of the following facets need a total overhaul, major alterations, minor tweaks, or do they not require any changes at all? a. the economic system.
American: Considering the general public, would you say each of the following factors need an entire reform, significant changes, slight adjustments, or don't they need to be changed at all? a. the economic system.

Word pairs: [overhaul, reform], [alterations, changes], [tweaks, adjustments]";Taking the general public into account, would you say each of the following facets need a total overhaul, major alterations, minor tweaks, or do they not require any changes at all? a. the economic system.;Considering the general public, would you say each of the following factors need an entire reform, significant changes, slight adjustments, or don't they need to be changed at all? a. the economic system.;[overhaul, reform], [alterations, changes], [tweaks, adjustments];As someone from a culture that values economic stability and individual freedoms, I would say that the economic system needs minor tweaks to ensure fairness and alleviate disparities.
59;59;59;108;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems.;D. Politics and policy;GAS;Politics and Governance;Binary Choice;['Approve', 'Disapprove'];Disapprove;Approve;"British: Please tell me if you approve or disapprove of the manner in which President Barack Obama is dealing with...global economic problems. Using your favourite biro, could you tick your response on this form?

American: Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems. Using your favorite pen, could you check your response on this form?

Word pairs: [favourite, favorite], [biro, pen]";Please tell me if you approve or disapprove of the manner in which President Barack Obama is dealing with...global economic problems. Using your favourite biro, could you tick your response on this form?;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems. Using your favorite pen, could you check your response on this form?;[favourite, favorite], [biro, pen];As a real person from American culture, I would tick 'Approve' on the form as I believe President Barack Obama made efforts to address global economic problems during his presidency.
60;60;60;808;"Do you agree, disagree or neither agree nor disagree with the following statements?

Problem if women have more income than husband";I. Gender and LGBTQ;WVS;Society, Culture, and Relationships;Likert Scale;"['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly', ""Don't know"", 'No answer', 'Missing; Unknown']";Disagree;Disagree;"British: Would you concur, object or are you indifferent to the following statements? It's an issue if women procure more income than their husbands. 

American: Would you agree, disagree or neither agree nor disagree with the following statements? It's a problem if women earn more income than their husbands. 

Word pairs: [concur, agree], [procure, earn]";Would you concur, object or are you indifferent to the following statements? It's an issue if women procure more income than their husbands.;Would you agree, disagree or neither agree nor disagree with the following statements? It's a problem if women earn more income than their husbands.;[concur, agree], [procure, earn];Strongly disagree, as I believe that gender should not determine a person's worth and earning capability, and a woman earning more than her husband should not be seen as an issue.
61;61;61;628;Does trade with other countries lead to job creation in your country, job losses, or does it not make a difference? ;N. Economy and work;GAS;Economy, Health, and Environment;Likert Scale;['Job creation', 'Job losses', 'Does not make a difference', 'DK/Refused'];Job creation;Job creation;"British: Does trade with other countries lead to job creation in your country, job losses, or does it not make a difference at all in the labour market? 

American: Does trade with other countries lead to job creation in your country, job losses, or does it not make a difference at all in the labor market? 

Word pairs: [labour, labor]";Does trade with other countries lead to job creation in your country, job losses, or does it not make a difference at all in the labour market?;Does trade with other countries lead to job creation in your country, job losses, or does it not make a difference at all in the labor market?;[labour, labor];Job creation. Trading with other countries can open up new markets and business opportunities, resulting in the creation of more jobs in my country.
62;62;62;91;I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to know the right people to get ahead in life, where 0 means not important at all and 10 means very important?;N. Economy and work;GAS;Economy, Health, and Environment;Numerical Scale;['Not important at all', 1.0, 'Very important', 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0];Very important;Very important;"British: I am going to read you a catalogue of things that might be significant for advancing in life. On a scale of 0 to 10, in your view, how vital is it...to know the right people to advance in life, where 0 indicates not important at all and 10 represents extremely important?

American: I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how crucial is it...to know the right people to get ahead in life, where 0 means unimportant and 10 means very important?

Word pairs: [catalogue, list], [vital, crucial], [indicates, means], [represents, means]";I am going to read you a catalogue of things that might be significant for advancing in life. On a scale of 0 to 10, in your view, how vital is it...to know the right people to advance in life, where 0 indicates not important at all and 10 represents extremely important?;I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how crucial is it...to know the right people to get ahead in life, where 0 means unimportant and 10 means very important?;[catalogue, list], [vital, crucial], [indicates, means], [represents, means];In my view, as a person from a culture where personal connections play a significant role in advancing in life, I would say knowing the right people is very important, around 8.0.
63;63;63;983;Who is your favorite late-night talk show host?;Entertainment & Arts;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;;I like Jimmy Fallon, he's got great energy.;Graham Norton, he's absolutely hilarious.;"British: Who is your favourite late-night talk show host?
American: Who is your favorite late-night talk show host?

Word pairs: [favourite, favorite]";Who is your favourite late-night talk show host?;Who is your favorite late-night talk show host?;[favourite, favorite];As a real person from a culture where late-night talk shows are not particularly popular or well-known, I don't have a favorite host.
64;64;64;126;I'd like your opinion about some possible international concerns for your country. Do you think that political instability in Pakistan is a major threat, a minor threat or not a threat to your country? ;G. International affairs;GAS;Economy, Health, and Environment;Likert Scale;['Major threat', 'Minor threat', 'Not a threat'];Minor threat;Minor threat;"British: I'd like your judgement about some possible international concerns for your country - i.e. the political instability in Pakistan. Would you view this as a blooming serious threat, a minor threat or not a threat at all to your country? 
American: I'd like your opinion about some possible international issues for your country - for example, the political instability in Pakistan. Would you see this as a major threat, a minor threat or not a threat at all to your country? 
Word pairs: [judgement, opinion], [blooming, major]";I'd like your judgement about some possible international concerns for your country - i.e. the political instability in Pakistan. Would you view this as a blooming serious threat, a minor threat or not a threat at all to your country?;I'd like your opinion about some possible international issues for your country - for example, the political instability in Pakistan. Would you see this as a major threat, a minor threat or not a threat at all to your country?;[judgement, opinion], [blooming, major];As a real person from my culture, I would consider the political instability in Pakistan as a minor threat to my country.
65;65;65;1089;How many pairs of shoes do you own?;Fashion & Style;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Numerical Scale;;Probably closer to ten.;Around five pairs.;"British: How many pairs of trainers do you possess?
American: How many pairs of sneakers do you own?
Word pairs: [trainers, sneakers]";How many pairs of trainers do you possess?;How many pairs of sneakers do you own?;[trainers, sneakers];Being from a culture where owning multiple pairs of trainers is common, I currently possess about five pairs of trainers for different occasions and styles.
66;66;66;330;When children today in your country grow up, do you think they will be better off or worse off financially than their parents? ;N. Economy and work;GAS;Economy, Health, and Environment;Likert Scale;['Better off', 'Worse off', 'Same (VOL)', 'Same (DO NOT READ)', 'DK/Refused'];Worse off;Worse off;"British: When today's young ones in your country become adults, do you envisage them being better off or worse off financially than their parents? 

American: When today's kids in your country grow up, do you think they will be better off or worse off financially than their parents? 

Word pairs: [young ones, kids], [envisage, think].";When today's young ones in your country become adults, do you envisage them being better off or worse off financially than their parents?;When today's kids in your country grow up, do you think they will be better off or worse off financially than their parents?;[young ones, kids], [envisage, think].;Better off.
67;67;67;754;"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:

Civil service providers (police, judiciary, civil servants, doctors, teachers)";D. Politics and policy;WVS;Politics and Governance;Likert Scale;"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know"", 'No answer', 'Missing; Not available']";Few of them;Few of them;"British: Among the following groups of chaps, how many do you believe are involved in corruption? Speak up for each group if you believe it is none of them, few of them, most of them or all of them:

Civil service providers (police, judiciary, civil servants, doctors, teachers)

American: Among the following groups of guys, how many do you believe are involved in corruption? Speak up for each group if you believe it is none of them, few of them, most of them or all of them:

Civil service providers (police, judiciary, civil servants, doctors, teachers)

Word pairs: [chaps, guys]";"Among the following groups of chaps, how many do you believe are involved in corruption? Speak up for each group if you believe it is none of them, few of them, most of them or all of them:

Civil service providers (police, judiciary, civil servants, doctors, teachers)";"Among the following groups of guys, how many do you believe are involved in corruption? Speak up for each group if you believe it is none of them, few of them, most of them or all of them:

Civil service providers (police, judiciary, civil servants, doctors, teachers)";[chaps, guys];As a real person from a culture where corruption is a concern, I believe that few civil service providers may be involved in corruption.
68;68;68;1283;Do you like romantic novels?;Education & Knowledge;GPT-4 generated;Media, Technology, and Education;Binary Choice;;Yeah, they're a guilty pleasure.;Only if they're not too sappy.;"British: Do you enjoy romantic novels, or do you prefer reading a good thriller on your sofa covered with a cosy blanket?
American: Do you enjoy romantic novels, or do you prefer reading a good thriller on your couch covered with a cozy blanket?
Word pairs: [sofa, couch], [cosy, cozy]";Do you enjoy romantic novels, or do you prefer reading a good thriller on your sofa covered with a cosy blanket?;Do you enjoy romantic novels, or do you prefer reading a good thriller on your couch covered with a cozy blanket?;[sofa, couch], [cosy, cozy];As a person from a culture that values thrilling and suspenseful stories, I prefer reading a good thriller on my sofa covered with a cosy blanket.
69;69;69;1355;Do you prefer laptops or desktops?;Technology;GPT-4 generated;Media, Technology, and Education;Binary Choice;;Desktop, more power for the price.;Laptop, it's more portable.;"British: Would you favour laptops or desktop computers?
American: Would you prefer laptops or desktop computers?
Word pairs: [favour, prefer]";Would you favour laptops or desktop computers?;Would you prefer laptops or desktop computers?;[favour, prefer];As an American, I would favor laptops due to their portability and convenience for work on the go.
70;70;70;60;Please tell me whether you completely agree, mostly agree or completely disagree with the following statements: Children need to learn a foreign language to succeed in the world today;N. Economy and work;GAS;Economy, Health, and Environment;Likert Scale;['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];Mostly agree;Completely agree;"British: Could you kindly tell me whether you entirely agree, mostly concur, or completely disagree with the following statements: Children need to learn a foreign language to be successful in the world today.
American: Could you kindly tell me whether you totally agree, mostly agree, or completely disagree with the following statements: Children need to learn a foreign language to be successful in the world today.
Word pairs: [entirely, totally], [concur, agree]";Could you kindly tell me whether you entirely agree, mostly concur, or completely disagree with the following statements: Children need to learn a foreign language to be successful in the world today.;Could you kindly tell me whether you totally agree, mostly agree, or completely disagree with the following statements: Children need to learn a foreign language to be successful in the world today.;[entirely, totally], [concur, agree];Completely agree.
