;Unnamed: 0.1;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;options_dict;score_ground_truth_answers;value_diff;question_type;goqa_score_us;goqa_ukMA_usMA_score;goqa_ukMA_usGT_score;goqa_ukGT_usMA_score;goqa_ukGT_usGT_score;goqa_score_uk
10;10;10;Thinking about possible war with Iraq, would you favor or oppose your country's joining the US and other allies in military action in Iraq to end Saddam Hussein's rule?;{'United States': [0.6629213483146067, 0.33707865168539325], 'Britain': [0.43333333333333335, 0.5666666666666667]};['Favor', 'Oppose'];"(A) Favor
(B) Oppose";GAS;0,662922;0,566668;Favor;Oppose;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Oppose;Oppose;2.0;1.0;0.0;1.0;;;0.0;0.6980676;0.0;{'A': 'Favor', 'B': 'Oppose'};0.0;0.90374531835206;Multiple Choice;0.0;1.0;0.0;1.0;0.0;1.0
11;11;11;According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...American citizens?;{'United States': [0.37755102040816324, 0.6224489795918368], 'Britain': [0.375, 0.625]};['Acceptable', 'Unacceptable'];"(A) Acceptable
(B) Unacceptable";GAS;0,622450;0,625001;Unacceptable;Unacceptable;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 9.;(B), 9.;Unacceptable;Unacceptable;2.0;1.0;1.0;1.0;;;1.0;0.3479842;0.997449;{'A': 'Acceptable', 'B': 'Unacceptable'};0.997449;0.997449;Multiple Choice;1.0;1.0;1.0;1.0;1.0;1.0
12;12;12;How likely or unlikely do you think it is that, in the future, a cyberattack will result in the following situation? a. Public infrastructure in your country such as power grids or phone and internet systems will be damaged;{'United States': [0.45, 0.37, 0.11, 0.04, 0.01, 0.02], 'Britain': [0.36363636363636365, 0.3838383838383838, 0.16161616161616163, 0.06060606060606061, 0.0, 0.030303030303030304]};['Very likely', 'Somewhat likely', 'Somewhat unlikely', 'Very unlikely', 'Has already happened (DO NOT READ)', 'DK/Refused'];"(A) Very likely
(B) Somewhat likely
(C) Somewhat unlikely
(D) Very unlikely
(E) Has already happened (DO NOT READ)
(F) DK/Refused";GAS;0,450001;0,383839;Very likely;Somewhat likely;Q. Security;6.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Somewhat likely;Somewhat likely;6.0;1.0;0.8780487804878049;1.0;;;0.8780487804878049;0.83108264;0.8780487804878049;{'A': 'Very likely', 'B': 'Somewhat likely', 'C': 'Somewhat unlikely', 'D': 'Very unlikely', 'E': 'Has already happened (DO NOT READ)', 'F': 'DK/Refused'};0.8780487804878049;0.9338383838383838;Ordinal Scale;0.8780497804878049;1.0;0.8780497804878049;1.0;0.8780497804878049;1.0
13;13;13;Do you think this change in the availability of modern medicines and treatments is largely because of the way the world has become more connected or mostly for other reasons?;{'United States': [0.3958333333333333, 0.6041666666666666], 'Britain': [0.5876288659793815, 0.41237113402061853]};['Largely more connected', 'Other reasons'];"(A) Largely more connected
(B) Other reasons";GAS;0,604168;0,587630;Other reasons;Largely more connected;C. Science and technology;2.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Other reasons;Other reasons;2.0;0.0;1.0;0.0;;;1.0;0.94351935;0.0;{'A': 'Largely more connected', 'B': 'Other reasons'};0.0;0.9834621993127148;Multiple Choice;1.0;1.0;1.0;0.0;0.0;0.0
14;14;14;For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? d. reporting on the most important news events;{'United States': [0.19801980198019803, 0.40594059405940597, 0.19801980198019803, 0.18811881188118812, 0.0, 0.009900990099009901], 'Britain': [0.26, 0.48, 0.16, 0.06, 0.0, 0.04]};['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'News organizations should not do this (VOL)', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) News organizations should not do this (VOL)
(F) DK/Refused";GAS;0,405942;0,480001;Somewhat well;Somewhat well;J. News habits and media;6.0;Likert Scale;Media, Technology, and Education;(B), 7.;(C), 7.;Not too well;Somewhat well;6.0;0.8333333333333334;1.0;0.8333333333333334;;;1.0;0.10774669;0.925941;{'A': 'Very well', 'B': 'Somewhat well', 'C': 'Not too well', 'D': 'Not well at all', 'E': 'News organizations should not do this (VOL)', 'F': 'DK/Refused'};0.925941;0.925941;Ordinal Scale;1.0;0.864001;0.864001;1.0;1.0;0.864001
15;15;15;Do you personally believe that getting a divorce is morally acceptable, morally unacceptable, or is it not a moral issue? ;{'United States': [0.3402061855670103, 0.2268041237113402, 0.3711340206185567, 0.061855670103092786], 'Britain': [0.41836734693877553, 0.09183673469387756, 0.42857142857142855, 0.061224489795918366]};['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0,371135;0,428572;Not a moral issue;Not a moral issue;A. Social values and attitudes;4.0;Likert Scale;Society, Culture, and Relationships;(D), 7.;(D), 7.;Depends on the situation (VOL);Depends on the situation (VOL);4.0;0.79;0.79;0.79;;;0.79;0.7362784;0.942563;{'A': 'Morally acceptable', 'B': 'Morally unacceptable', 'C': 'Not a moral issue', 'D': 'Depends on the situation (VOL)'};0.942563;0.942563;Multiple Choice;0.7900010000000001;1.0;0.7900010000000001;0.7900010000000001;1.0;0.7900010000000001
16;16;16;Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… b. Promotes economic development;{'United States': [0.6262626262626263, 0.32323232323232326, 0.050505050505050504], 'Britain': [0.68, 0.29, 0.03]};['Yes', 'No', 'DK/Refused'];"(A) Yes
(B) No
(C) DK/Refused";GAS;0,626264;0,680001;Yes;Yes;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 7.;(A), 9.;Yes;No;3.0;1.0;0.7307692307692308;1.0;;;0.7307692307692308;0.17820671;0.946263;{'A': 'Yes', 'B': 'No', 'C': 'DK/Refused'};0.946263;0.946263;Multiple Choice;0.7307702307692309;0.7307702307692309;1.0;0.7307702307692309;1.0;1.0
17;17;17;Does this statement describe your country very well, somewhat well, not too well, or not well at all? c. Most politicians are corrupt;{'United States': [0.3, 0.39, 0.17, 0.11, 0.03], 'Britain': [0.18, 0.29, 0.32, 0.18, 0.03]};['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) DK/Refused";GAS;0,390001;0,320001;Somewhat well;Not too well;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(B), 7.;(C), 7.;Not too well;Somewhat well;5.0;1.0;1.0;1.0;;;1.0;0.8712851;0.782051282051282;{'A': 'Very well', 'B': 'Somewhat well', 'C': 'Not too well', 'D': 'Not well at all', 'E': 'DK/Refused'};0.782051282051282;0.93;Likert Scale;1.0;0.7820522820512821;0.7820522820512821;0.7820522820512821;0.7820522820512821;1.0
18;18;18;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? a. there is a judicial system that treats everyone in the same way;{'United States': [0.9207920792079208, 0.04950495049504951, 0.009900990099009901, 0.009900990099009901, 0.009900990099009901], 'Britain': [0.9292929292929293, 0.06060606060606061, 0.010101010101010102, 0.0, 0.0]};['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not too important
(D) Not important at all
(E) DK/Refused";GAS;0,920793;0,929294;Very important;Very important;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(A), 9;(B), 9;Somewhat important;Very important;5.0;0.8163265306122449;1.0;0.8163265306122449;;;1.0;0.9968348;0.991499;{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not too important', 'D': 'Not important at all', 'E': 'DK/Refused'};0.991499;0.991499;Ordinal Scale;1.0;0.816327530612245;0.816327530612245;1.0;1.0;0.816327530612245
19;19;19;Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. d. statements that call for violent protests;{'United States': [0.44, 0.51, 0.05], 'Britain': [0.22, 0.72, 0.06]};['People should be able to say these things publically', 'Government should be able to prevent people from saying these things', 'DK/Refused'];"(A) People should be able to say these things publically
(B) Government should be able to prevent people from saying these things
(C) DK/Refused";GAS;0,510001;0,720001;Government should be able to prevent people from saying these things;Government should be able to prevent people from saying these things;D. Politics and policy;3.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Government should be able to prevent people from saying these things;Government should be able to prevent people from saying these things;3.0;1.0;1.0;1.0;;;1.0;0.9266939;0.79;{'A': 'People should be able to say these things publically', 'B': 'Government should be able to prevent people from saying these things', 'C': 'DK/Refused'};0.79;0.79;Multiple Choice;1.0;1.0;1.0;1.0;1.0;1.0
20;20;20;As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.;{'United States': [0.2857142857142857, 0.37755102040816324, 0.2653061224489796, 0.07142857142857142], 'Britain': [0.30927835051546393, 0.35051546391752575, 0.27835051546391754, 0.061855670103092786]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,377552;0,350516;Mostly agree;Mostly agree;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(C), 7.;(C), 7.;Mostly disagree;Mostly disagree;4.0;0.7922077922077921;0.7922077922077921;0.7922077922077921;;;0.7922077922077921;1.0000001;0.972964;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};0.972964;0.972964;Ordinal Scale;0.7922087922077922;1.0;0.7922087922077922;0.7922087922077922;1.0;0.7922087922077922
21;21;21;Now I am going to read you a list of things that may be problems in our country.As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries;{'United States': [0.0989010989010989, 0.17582417582417584, 0.3516483516483517, 0.37362637362637363], 'Britain': [0.13043478260869565, 0.29347826086956524, 0.30434782608695654, 0.2717391304347826]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0,373627;0,304349;Not a problem at all;Small problem;K. Immigration and migration;4.0;Likert Scale;Politics and Governance;(A), 7;(A), 7.;Very big problem;Very big problem;4.0;0.4651162790697675;0.2674418604651163;0.4651162790697675;;;0.2674418604651163;0.95152736;0.8023255813953488;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all'};0.8023255813953488;0.9307214524605828;Ordinal Scale;0.2674428604651163;1.0;0.2674428604651163;0.46511727906976746;0.8023265813953488;0.46511727906976746
22;22;22;As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should try to develop a missile defense system even if it means withdrawing from the ABM treaty;{'United States': [0.48148148148148145, 0.5185185185185185], 'Britain': [0.23255813953488372, 0.7674418604651163]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,518520;0,767443;Disapprove;Disapprove;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 6.;(B), 6.;Disapprove;Disapprove;2.0;1.0;1.0;1.0;;;1.0;0.98067474;0.751077;{'A': 'Approve', 'B': 'Disapprove'};0.751077;0.751077;Multiple Choice;1.0;1.0;1.0;1.0;1.0;1.0
23;23;23;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the world economic crisis.;{'United States': [0.5, 0.5], 'Britain': [0.810126582278481, 0.189873417721519]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,500001;0,810128;Approve;Approve;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 6.;(B), 6.;Disapprove;Disapprove;2.0;0.0;0.0;0.0;;;0.0;0.89935493;0.689873;{'A': 'Approve', 'B': 'Disapprove'};0.689873;0.689873;Multiple Choice;0.0;1.0;0.0;0.0;1.0;0.0
24;24;24;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...UN Secretary General Kofi Annan;{'United States': [0.12345679012345678, 0.3950617283950617, 0.1728395061728395, 0.1111111111111111, 0.19753086419753085], 'Britain': [0.325, 0.4875, 0.1125, 0.075, 0.0]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) Never heard of";GAS;0,395063;0,487501;Somewhat favorable;Somewhat favorable;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(E), 6.;(E), 9.;Never heard of;Never heard of;5.0;0.3465346534653466;0.3465346534653466;0.3465346534653466;;;0.3465346534653466;0.93665475;0.907562;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'Never heard of'};0.907562;0.907562;Likert Scale;0.3465356534653466;1.0;0.3465356534653466;0.3465356534653466;1.0;0.3465356534653466
25;25;25;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...India;{'United States': [0.10588235294117647, 0.5411764705882353, 0.23529411764705882, 0.11764705882352941, 0.0], 'Britain': [0.15476190476190477, 0.7380952380952381, 0.07142857142857142, 0.03571428571428571, 0.0]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,541177;0,738096;Somewhat favorable;Somewhat favorable;O. Regions and countries;5.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Somewhat favorable;Somewhat favorable;5.0;1.0;1.0;1.0;;;1.0;0.33815902;0.803081;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};0.803081;0.803081;Ordinal Scale;1.0;1.0;1.0;1.0;1.0;1.0
26;26;26;In making international policy decisions, to what extent do you think the United States takes into account the interests of– a great deal, a fair amount, not too much, or not at all?;{'United States': [0.13861386138613863, 0.5148514851485149, 0.3069306930693069, 0.039603960396039604, 0.0], 'Britain': [0.06930693069306931, 0.31683168316831684, 0.45544554455445546, 0.12871287128712872, 0.0297029702970297]};['Great deal', 'Fair amount', 'Not too much', 'Not at all', 'DK/Refused'];"(A) Great deal
(B) Fair amount
(C) Not too much
(D) Not at all
(E) DK/Refused";GAS;0,514852;0,455447;Fair amount;Not too much;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(A), 7;(B), 7.;Fair amount;Great deal;5.0;0.7916666666666666;0.8055555555555556;0.7916666666666666;;;0.8055555555555556;0.6509234;0.7916666666666666;{'A': 'Great deal', 'B': 'Fair amount', 'C': 'Not too much', 'D': 'Not at all', 'E': 'DK/Refused'};0.7916666666666666;0.9405940594059404;Multiple Choice;0.8055565555555556;0.8055565555555556;1.0;0.5972232222222222;0.7916676666666667;0.7916676666666667
27;27;27;What is most responsible for Muslim nations' lack of prosperity? Is it the policies of the U.S. and other western nations, the lack of democracy in the Muslim world, the lack of education in the Muslim world, Islamic fundamentalism, or corruption in the government of Muslim nations?;{'United States': [0.031578947368421054, 0.18947368421052632, 0.23157894736842105, 0.11578947368421053, 0.4, 0.031578947368421054], 'Britain': [0.07608695652173914, 0.2608695652173913, 0.18478260869565216, 0.14130434782608695, 0.32608695652173914, 0.010869565217391304]};['The policies of the U.S. and other western nations', 'Lack of democracy', 'Lack of education', 'Islamic fundamentalism', 'Corruption in the governments of Muslim nations', 'Other (VOL)'];"(A) The policies of the U.S. and other western nations
(B) Lack of democracy
(C) Lack of education
(D) Islamic fundamentalism
(E) Corruption in the governments of Muslim nations
(F) Other (VOL)";GAS;0,400001;0,326088;Corruption in the governments of Muslim nations;Corruption in the governments of Muslim nations;D. Politics and policy;6.0;Multiple Choice;Politics and Governance;(A), 7;(A), 7;The policies of the U.S. and other western nations;The policies of the U.S. and other western nations;6.0;0.0;0.0;0.0;;;0.0;0.8415004;0.926087;{'A': 'The policies of the U.S. and other western nations', 'B': 'Lack of democracy', 'C': 'Lack of education', 'D': 'Islamic fundamentalism', 'E': 'Corruption in the governments of Muslim nations', 'F': 'Other (VOL)'};0.926087;0.926087;Multiple Choice;0.0;1.0;0.0;0.0;1.0;0.0
