;source;category;question;answer_uk;answer_us;question type
17;GPT-4 generated;Education & Knowledge;What do you call the leader of the main opposition party?;Leader of the Opposition.;The term is not standardized this can vary depending on the chamber and the party.;Binary Choice
18;GPT-4 generated;Education & Knowledge;What do you call a member of parliament?;MP (Member of Parliament).;"Congressman or Congresswoman; Senator for the upper house.";Binary Choice
19;GPT-4 generated;Education & Knowledge;What's the voting age?;18.;18.;Numerical Scale
20;GPT-4 generated;Education & Knowledge;How often are general elections held?;Every 5 years or sooner if a snap election is called.;"Every 2 years for the House of Representatives and every 6 years for the Senate; Presidential elections are every 4 years.";Ordinal Scale
21;GPT-4 generated;Education & Knowledge;What's the highest court in the land?;Supreme Court.;Supreme Court.;Binary Choice
22;GPT-4 generated;Education & Knowledge;What do you call a law before it is passed?;A bill.;A bill.;Binary Choice
23;GPT-4 generated;Education & Knowledge;What's the symbol of the main conservative party?;The Conservative Party logo often a tree.;The elephant (Republican Party).;Binary Choice
24;GPT-4 generated;Education & Knowledge;What's the symbol of the main liberal party?;The Labour Party logo often a rose.;The donkey (Democratic Party).;Binary Choice
25;GPT-4 generated;Education & Knowledge;What is the capital?;London.;Washington D.C.;Binary Choice
26;GPT-4 generated;Education & Knowledge;What's a lobbyist?;Someone hired to influence lawmakers on behalf of an organization.;Someone hired to influence lawmakers on behalf of an organization.;Multiple Choice
27;GPT-4 generated;Education & Knowledge;What's the official name of the country?;United Kingdom of Great Britain and Northern Ireland.;United States of America.;Binary Choice
28;GPT-4 generated;Food & Drink;What's a common breakfast item?;Toast with butter or marmalade or a Full English Breakfast.;Pancakes scrambled eggs or cereal.;Multiple Choice
29;GPT-4 generated;Food & Drink;What's a typical sandwich?;Cheese and pickle or egg and cress.;Turkey and cheese or peanut butter and jelly.;Multiple Choice
30;GPT-4 generated;Food & Drink;What do you call fries?;Chips.;Fries.;Multiple Choice
31;GPT-4 generated;Food & Drink;What's a common meat dish?;Roast beef with Yorkshire pudding.;Steak or fried chicken.;Multiple Choice
32;GPT-4 generated;Food & Drink;What's a popular type of pie?;Steak and ale pie or apple pie.;Apple pie or pumpkin pie.;Multiple Choice
33;GPT-4 generated;Food & Drink;What do you put in your tea?;Milk and perhaps sugar.;Usually just sugar or nothing.;Multiple Choice
34;GPT-4 generated;Food & Drink;What's a common fast-food chain?;McDonald's Greggs or KFC.;McDonald's Burger King or Chick-fil-A.;Multiple Choice
35;GPT-4 generated;Food & Drink;What's a traditional holiday meal?;Turkey and stuffing for Christmas.;Turkey and stuffing for Thanksgiving.;Multiple Choice
36;GPT-4 generated;Food & Drink;What do you call a long bread roll?;A baguette or a roll.;A sub roll or a baguette.;Multiple Choice
37;GPT-4 generated;Food & Drink;What's a common dessert?;Trifle or sticky toffee pudding.;Ice cream or apple pie.;Multiple Choice
38;GPT-4 generated;Food & Drink;What's a biscuit?;A sweet treat like a cookie.;A soft bread roll often served with breakfast.;Multiple Choice
39;GPT-4 generated;Food & Drink;What do you call a meal at midday?;Lunch.;Lunch.;Binary Choice
40;GPT-4 generated;Food & Drink;What's a classic fish dish?;Fish and chips.;Fish tacos or fried fish.;Multiple Choice
41;GPT-4 generated;Food & Drink;What do you call sparkling water?;Fizzy water.;Sparkling water.;Binary Choice
42;GPT-4 generated;Food & Drink;What's a popular soup?;Tomato soup or chicken soup.;Chicken noodle soup or clam chowder.;Multiple Choice
43;GPT-4 generated;Food & Drink;What's a popular snack?;Crisps.;Potato chips.;Multiple Choice
44;GPT-4 generated;Food & Drink;What's a popular brand of chocolate?;Cadbury.;Hershey's.;Multiple Choice
45;GPT-4 generated;Food & Drink;What's a common side dish?;Mashed potatoes or peas.;Fries or coleslaw.;Multiple Choice
46;GPT-4 generated;Food & Drink;What's a popular non-alcoholic drink?;Tea.;Soda or iced tea.;Multiple Choice
47;GPT-4 generated;Food & Drink;What's a common pub food?;Pub grub like pie or a Ploughman's lunch.;Chicken wings or nachos.;Multiple Choice
48;GPT-4 generated;Daily Activities;How do you greet a friend?;"Hi or ""Hello"" sometimes a kiss on the cheek.";"Hey or ""Hi"" often a hug.";Binary Choice
49;GPT-4 generated;Daily Activities;What's a common form of public transportation?;Bus or train.;Bus or subway in big cities otherwise cars are more common.;Multiple Choice
50;GPT-4 generated;Daily Activities;What's a common weekend activity?;Going to the pub or taking a walk in the park.;Going to a movie shopping or a BBQ.;Multiple Choice
51;GPT-4 generated;Daily Activities;What's a common family outing?;A trip to the seaside or a visit to a historic site.;Going to a sports game or a day at the amusement park.;Multiple Choice
52;GPT-4 generated;Daily Activities;How do you pay for everyday items?;Contactless payment or debit card.;Credit card debit card or mobile payment.;Binary Choice
53;GPT-4 generated;Daily Activities;How do you get your news?;BBC newspapers online sources.;Cable news newspapers online sources.;Multiple Choice
54;GPT-4 generated;Daily Activities;What's a common household pet?;Dog or cat.;Dog or cat.;Multiple Choice
55;GPT-4 generated;Daily Activities;What's a popular type of music?;Pop or EDM.;Pop hip-hop or country.;Multiple Choice
56;GPT-4 generated;Daily Activities;How do you spend your evenings?;Watching TV going to the pub or reading.;Watching TV going out to eat or attending a sports event.;Multiple Choice
57;GPT-4 generated;Daily Activities;What's a common activity for kids after school?;Playing football (soccer) or attending a club.;Soccer practice ballet or Scouts.;Multiple Choice
58;GPT-4 generated;Daily Activities;What do you do during the summer holidays?;Go abroad to places like Spain or France.;Go to the beach or a trip to a national park.;Multiple Choice
59;GPT-4 generated;Daily Activities;What's a common form of exercise?;Jogging or going to the gym.;Jogging going to the gym or yoga.;Multiple Choice
60;GPT-4 generated;Daily Activities;How do you celebrate birthdays?;Family gathering and possibly a night out with friends.;Party with friends and family often with cake and gifts.;Ordinal Scale
61;GPT-4 generated;Daily Activities;What's a common way to socialize?;Meeting at the pub or a friend's house.;Meeting at a coffee shop bar or a friend's house.;Multiple Choice
62;GPT-4 generated;Daily Activities;How do you take your coffee?;Often as tea instead otherwise with milk.;Black with cream and sugar or specialty coffee like a latte.;Multiple Choice
63;GPT-4 generated;Daily Activities;How do you commute to work?;Public transport or car.;Primarily by car or subway in larger cities.;Multiple Choice
64;GPT-4 generated;Daily Activities;What's a common household chore?;Vacuuming or doing the dishes.;Vacuuming or doing the laundry.;Multiple Choice
65;GPT-4 generated;Daily Activities;What's a common form of entertainment?;Watching a film or a football match.;Watching a movie or going to a sports game.;Multiple Choice
66;GPT-4 generated;Daily Activities;How do you spend your weekends?;Relaxing shopping and maybe a short trip.;Activities with family shopping and home improvement projects.;Multiple Choice
67;GPT-4 generated;Daily Activities;What's a typical way to unwind?;A cup of tea and a book.;Watching TV or a glass of wine.;Ordinal Scale
68;GPT-4 generated;Cultural Preferences;What's the most popular sport?;Football (soccer).;American football or basketball.;Multiple Choice
69;GPT-4 generated;Cultural Preferences;What's the most traditional dish?;Fish and chips or roast dinner.;Hamburger or fried chicken.;Ordinal Scale
70;GPT-4 generated;Cultural Preferences;What do you eat for breakfast?;Full English breakfast, which might include eggs, bacon, sausages, baked beans, and toast.;Pancakes, bacon, and eggs, or cereal.;Multiple Choice
71;GPT-4 generated;Cultural Preferences;What do you drink more often: tea or coffee?;Tea.;Coffee.;Binary Choice
72;GPT-4 generated;Cultural Preferences;What's your preferred type of car?;Smaller, more fuel-efficient cars.;Larger cars like SUVs and trucks are more popular.;Multiple Choice
73;GPT-4 generated;Cultural Preferences;How do you feel about the monarchy?;Opinions vary, but the monarchy is generally accepted as a part of British culture.;"Generally indifferent or curious; no direct impact on American life.";Likert Scale
74;GPT-4 generated;Cultural Preferences;What's a typical greeting among friends?;"A simple hello"" or sometimes a kiss on the cheek.""";"Hey"" or ""Hi";Multiple Choice
75;GPT-4 generated;Cultural Preferences;How do you usually pay for things?;Contactless payments are very common.;Credit cards and mobile payment apps are popular, but checks are still used sometimes.;Multiple Choice
76;GPT-4 generated;Cultural Preferences;What's the legal drinking age?;18.;21.;Binary Choice
77;GPT-4 generated;Cultural Preferences;What's the most important political office?;Prime Minister.;President.;Ordinal Scale
78;GPT-4 generated;Cultural Preferences;How do you feel about gun control?;"Generally in favor; firearms are heavily restricted.";Opinions are divided, with a strong gun culture existing alongside calls for more regulation.;Likert Scale
79;GPT-4 generated;Cultural Preferences;What's your healthcare system like?;National Health Service (NHS), publicly funded and generally free at the point of use.;Primarily private, with a mix of public options like Medicare and Medicaid.;Multiple Choice
80;GPT-4 generated;Cultural Preferences;What do you typically call a higher-level educational institution after high school?;University.;College or university.;Multiple Choice
81;GPT-4 generated;Cultural Preferences;What's your go-to fast food restaurant?;Probably McDonald's or Greggs.;McDonald's, Chick-fil-A, or Taco Bell.;Multiple Choice
82;GPT-4 generated;Cultural Preferences;What type of music is most popular?;Pop and electronic dance music are quite popular.;Pop, hip-hop, and country music are popular.;Multiple Choice
83;GPT-4 generated;Cultural Preferences;How do you feel about public transport?;Generally accepted and used, especially in cities.;"Less commonly used, especially outside major cities; car culture is strong.";Likert Scale
84;GPT-4 generated;Cultural Preferences;What's your favorite type of holiday?;A trip to Spain or other warm European destinations is quite popular.;A trip to a beach location like Florida or California, or a visit to a national park.;Multiple Choice
85;GPT-4 generated;Cultural Preferences;What do you think of tipping?;"Not obligatory; often around 10% in restaurants if the service was good.";"Generally expected; 15-20% in restaurants is standard.";Likert Scale
86;GPT-4 generated;Cultural Preferences;How do you get your news?;BBC, newspapers, and online sources.;A mix of cable news, newspapers, and online sources.;Multiple Choice
87;GPT-4 generated;Cultural Preferences;What's your ideal weekend activity?;Going to the pub, watching football, or perhaps a weekend trip to the countryside.;Going to a sporting event, barbecuing, or a weekend getaway.;Likert Scale
88;GPT-4 generated;Education & Knowledge;At what age does compulsory education start?;5;Varies by state, generally 5 or 6;Ordinal Scale
89;GPT-4 generated;Education & Knowledge;What's a top university?;University of Oxford;Harvard University;Multiple Choice
90;GPT-4 generated;Education & Knowledge;What do you call the final exams in high school?;A-Levels or GCSEs;"SAT or ACT, depending on college admissions; otherwise varies by state.";Binary Choice
91;GPT-4 generated;Society & Relationships;What's the national anthem?;God Save the Queen;The Star-Spangled Banner;Binary Choice
92;GPT-4 generated;Society & Relationships;Name a famous landmark;Big Ben;Statue of Liberty;Multiple Choice
93;GPT-4 generated;Society & Relationships;What's the driving age?;17;Generally 16, varies by state;Ordinal Scale
94;GPT-4 generated;Society & Relationships;What side of the road do you drive on?;Left;Right;Binary Choice
95;GPT-4 generated;Society & Relationships;What's the legal drinking age?;18;21;Binary Choice
96;GPT-4 generated;Society & Relationships;Name a popular sport;Football (soccer);American Football;Multiple Choice
97;GPT-4 generated;Society & Relationships;What's a traditional dance?;Morris dance;Square dance;Multiple Choice
98;GPT-4 generated;Society & Relationships;What's a famous festival?;Glastonbury Festival;Coachella;Multiple Choice
99;GPT-4 generated;Society & Relationships;What's a popular cuisine?;Fish and Chips;Hamburger;Multiple Choice
100;GPT-4 generated;Society & Relationships;What's a traditional clothing item?;Kilt (in Scotland);Blue jeans;Multiple Choice
101;GPT-4 generated;Society & Relationships;Name a famous artist;William Turner;Jackson Pollock;Multiple Choice
102;GPT-4 generated;Society & Relationships;What's a popular board game?;Monopoly;Monopoly;Multiple Choice
103;GPT-4 generated;Society & Relationships;What's a popular vacation spot?;Spain;Hawaii;Multiple Choice
104;GPT-4 generated;Society & Relationships;What's the national flower?;Rose (England), Thistle (Scotland), Daffodil (Wales), Shamrock (Northern Ireland);Rose;Multiple Choice
105;GPT-4 generated;Society & Relationships;What's a common pet?;Dog;Dog;Multiple Choice
106;GPT-4 generated;Society & Relationships;What's a typical greeting?;"Hello or ""Hi""";"Hey or ""Hi""";Multiple Choice
107;GPT-4 generated;Society & Relationships;What's a popular form of public transport?;Train;Bus;Multiple Choice
108;GPT-4 generated;Society & Relationships;What's a popular form of entertainment?;Theatre;Movies;Multiple Choice
109;GPT-4 generated;Society & Relationships;What's the most popular social media platform?;Facebook (as of 2021);Facebook (as of 2021);Multiple Choice
110;GPT-4 generated;Society & Relationships;What's a popular newspaper?;The Guardian;The New York Times;Multiple Choice
111;GPT-4 generated;Society & Relationships;What's a significant holiday?;Christmas;Independence Day;Binary Choice
112;GPT-4 generated;Society & Relationships;What's a popular beverage?;Tea;Coffee;Multiple Choice
113;GPT-4 generated;Society & Relationships;What's a popular hobby?;Gardening;Hiking;Multiple Choice
114;GPT-4 generated;Society & Relationships;What's a popular TV show?;EastEnders (as of 2021);Friends (has remained popular);Multiple Choice
115;GPT-4 generated;Society & Relationships;What's a typical work week?;Monday to Friday, 9-5;Monday to Friday, 9-5;Ordinal Scale
116;GPT-4 generated;Food & Drink;Do you prefer tea or coffee?;I prefer tea, naturally. There's nothing like a good cuppa to start the day.;I'm a coffee person. A big cup of joe is what gets me going.;Binary Choice
117;GPT-4 generated;Food & Drink;What's your go-to comfort food?;A shepherd's pie always hits the spot for me.;Mac and cheese is my ultimate comfort food.;Multiple Choice
118;GPT-4 generated;Food & Drink;How often do you eat out?;Maybe once a week. I prefer a good home-cooked meal.;Probably a few times a week. So many options around!;Ordinal Scale
119;GPT-4 generated;Food & Drink;What's your favorite type of cuisine?;I have a soft spot for traditional British fare.;I love a good burger and fries, so American cuisine for me.;Multiple Choice
120;GPT-4 generated;Food & Drink;Do you prefer ale or lager?;Definitely ale, more flavour in my opinion.;I'll take a lager, it's more refreshing.;Binary Choice
121;GPT-4 generated;Food & Drink;What's your favorite breakfast item?;A full English breakfast is the way to start the day.;You can't beat a good old-fashioned American pancake stack.;Multiple Choice
122;GPT-4 generated;Food & Drink;How do you like your eggs?;Soft-boiled with soldiers, of course.;Scrambled with some cheese and maybe bacon.;Multiple Choice
123;GPT-4 generated;Food & Drink;Do you consider fast food as an occasional treat or a regular option?;More of an occasional treat for me.;It's a regular option, so convenient.;Likert Scale
124;GPT-4 generated;Food & Drink;Fish and chips or hamburger?;Fish and chips, naturally.;Hamburger, no contest.;Binary Choice
125;GPT-4 generated;Food & Drink;What's your preferred milk: Skim, semi-skimmed, or whole?;Semi-skimmed is a good middle-ground.;I go with whole milk, it's richer.;Multiple Choice
126;GPT-4 generated;Food & Drink;Do you have Sunday roasts?;Absolutely, it's a family tradition.;Not really, Sundays are for BBQs and football.;Binary Choice
127;GPT-4 generated;Food & Drink;Do you eat spicy food?;I can handle a bit, but nothing too fiery.;Bring on the heat! I love spicy food.;Binary Choice
128;GPT-4 generated;Food & Drink;Scones: Cream then jam, or jam then cream?;Cream then jam, as per the Devonshire method.;I have no strong opinion, either way tastes good.;Binary Choice
129;GPT-4 generated;Society & Relationships;Football or American Football?;Football, of course. The beautiful game.;American Football, no question.;Binary Choice
130;GPT-4 generated;Society & Relationships;Do you watch the Olympics?;Oh yes, especially when Team GB is doing well.;I catch the big events, mainly rooting for Team USA.;Binary Choice
131;GPT-4 generated;Society & Relationships;How often do you go to a sporting event?;Once in a blue moon, mostly football matches.;A couple of times a year, usually baseball or football games.;Ordinal Scale
132;GPT-4 generated;Society & Relationships;Do you play any sports?;I enjoy a good game of cricket.;I play basketball with friends.;Binary Choice
133;GPT-4 generated;Society & Relationships;Are you a member of a gym?;I am, though I mostly go for the sauna and steam room.;Yeah, I try to hit the gym a few times a week.;Binary Choice
134;GPT-4 generated;Society & Relationships;Rugby or basketball?;Rugby, obviously.;Basketball all the way.;Binary Choice
135;GPT-4 generated;Society & Relationships;Do you follow Premier League or NBA?;Premier League, it's a national institution.;NBA for sure, it's super exciting.;Multiple Choice
136;GPT-4 generated;Entertainment & Arts;Do you prefer British or American comedies?;British comedies, they have that witty, dry humor.;American comedies, they're usually more straightforward and relatable.;Binary Choice
137;GPT-4 generated;Entertainment & Arts;Who is your favorite late-night talk show host?;Graham Norton, he's absolutely hilarious.;I like Jimmy Fallon, he's got great energy.;Multiple Choice
138;GPT-4 generated;Entertainment & Arts;BBC or CNN?;BBC, it's a trusted news source.;CNN, it's what I grew up watching.;Binary Choice
139;GPT-4 generated;Entertainment & Arts;What's your favorite streaming service?;BBC iPlayer for catching up on shows.;Netflix, it has a huge selection.;Multiple Choice
140;GPT-4 generated;Entertainment & Arts;Who is your favorite superhero?;Doctor Who, if that counts.;Spider-Man, he's got the best backstory.;Multiple Choice
141;GPT-4 generated;Entertainment & Arts;Do you enjoy reality TV shows?;Not particularly, they're a bit much.;Yeah, they're a guilty pleasure.;Binary Choice
142;GPT-4 generated;Entertainment & Arts;How often do you go to the movies?;Maybe once a month, usually for British films.;At least twice a month, I love going to the movies.;Numerical Scale
143;GPT-4 generated;Entertainment & Arts;Beatles or Elvis?;Beatles, hands down. They're a national treasure.;Elvis, the King of Rock 'n' Roll, no question.;Binary Choice
144;GPT-4 generated;Entertainment & Arts;Do you attend live concerts?;Yes, I love seeing live orchestras and rock bands.;Absolutely, nothing like a live country or rock concert.;Binary Choice
145;GPT-4 generated;Entertainment & Arts;What's your favorite music genre?;I have a soft spot for classic rock.;Country music is where it's at for me.;Multiple Choice
146;GPT-4 generated;Entertainment & Arts;Have you ever been to a musical?;Oh yes, West End shows are a must.;Broadway is the best, I try to go when I can.;Binary Choice
147;GPT-4 generated;Entertainment & Arts;Do you enjoy opera?;It's a bit of an acquired taste, but I enjoy it occasionally.;Not really my cup of tea, to be honest.;Binary Choice
148;GPT-4 generated;Entertainment & Arts;How often do you visit art galleries?;Once in a while, especially when there's a new exhibit.;Maybe a few times a year, usually when friends or family are in town.;Ordinal Scale
149;GPT-4 generated;Fashion & Style;Do you wear formal clothes to work?;Yes, a suit and tie are the norm.;Business casual most days, unless there's a big meeting.;Binary Choice
150;GPT-4 generated;Fashion & Style;Do you prefer tailored suits or casual wear?;A well-tailored suit, always.;Casual wear for sure, it's more comfortable.;Multiple Choice
151;GPT-4 generated;Fashion & Style;How often do you shop for clothes?;Whenever the seasons change, typically.;Whenever there's a sale or I need something specific.;Ordinal Scale
152;GPT-4 generated;Fashion & Style;Trainers or loafers?;Loafers for most occasions.;Trainers all day, they're more versatile.;Binary Choice
153;GPT-4 generated;Fashion & Style;Do you follow fashion trends?;Not religiously, but I like to stay presentable.;Yeah, I like to keep up with what's in style.;Binary Choice
154;GPT-4 generated;Education & Knowledge;Shakespeare or Mark Twain?;Shakespeare, the Bard's works are timeless.;Mark Twain, his wit and observations are incredible.;Binary Choice
155;GPT-4 generated;Education & Knowledge;Do you prefer British or American literature?;British literature, there's a depth and richness to it.;American literature, it speaks to me more.;Binary Choice
156;GPT-4 generated;Education & Knowledge;Do you read newspapers?;I skim The Times or The Guardian with my morning tea.;I might check out the headlines online, but I don't read a physical paper.;Binary Choice
157;GPT-4 generated;Education & Knowledge;How many books do you read per year?;I aim for about a dozen, mostly classics.;Probably around 5 to 10, a mix of genres.;Numerical Scale
158;GPT-4 generated;Society & Relationships;Do you tip service workers?;Only in restaurants and taxis, and it's often less than in the US.;Absolutely, tipping is a standard practice here.;Binary Choice
159;GPT-4 generated;Society & Relationships;What is an acceptable personal space distance?;At least an arm's length, especially in queues.;A couple of feet is usually fine, unless it's a close friend or family.;Ordinal Scale
160;GPT-4 generated;Society & Relationships;How often do you say “sorry”?;Quite frequently, even when it's not strictly necessary.;Not as often, usually only when I feel I've done something wrong.;Likert Scale
161;GPT-4 generated;Society & Relationships;Is punctuality important to you?;Absolutely, being late is a sign of disrespect.;It's important, but a little tardiness is usually no big deal.;Likert Scale
162;GPT-4 generated;Society & Relationships;Do you prefer to be addressed by your first or last name?;Surname in formal settings, first name among friends.;First name, almost always. It's friendlier.;Binary Choice
163;GPT-4 generated;Holidays & Celebrations;Thanksgiving or Boxing Day?;Boxing Day, it's a good time to unwind after Christmas.;Thanksgiving, it's all about family, food, and football.;Binary Choice
164;GPT-4 generated;Holidays & Celebrations;Do you celebrate the 4th of July or Guy Fawkes Night?;Guy Fawkes Night, with fireworks and a bonfire.;4th of July, fireworks, barbecues, and freedom!;Binary Choice
165;GPT-4 generated;Holidays & Celebrations;Christmas crackers: Yay or nay?;Absolutely yay, it's not Christmas dinner without them.;Nay, they're kind of a foreign concept to us.;Binary Choice
166;GPT-4 generated;Holidays & Celebrations;How do you celebrate New Year's Eve?;Usually at a pub or a private party, lots of toasting.;Big parties, countdowns, and watching the ball drop.;Multiple Choice
167;GPT-4 generated;Family & Relationships;How often do you see your extended family?;Perhaps a few times a year, mostly on holidays.;Holidays and family reunions, so maybe a couple times a year.;Ordinal Scale
168;GPT-4 generated;Family & Relationships;Do you have a big or small family?;A moderate-sized family, perhaps.;"I've got a big family; family gatherings are like a small festival.";Binary Choice
169;GPT-4 generated;Family & Relationships;Is it common to live with roommates?;It's common among students and young professionals.;Very common, especially in cities and during college.;Binary Choice
170;GPT-4 generated;Family & Relationships;How important are family traditions?;Quite important, they give a sense of continuity.;They're nice, but we're not super strict about them.;Likert Scale
171;GPT-4 generated;Travel & Commute;Do you prefer driving or public transport?;Public transport is often more convenient in cities.;"I love driving; it gives me more freedom.";Binary Choice
172;GPT-4 generated;Travel & Commute;How often do you travel abroad?;Maybe once a year for a holiday.;Less often, it's a big deal to travel overseas.;Ordinal Scale
173;GPT-4 generated;Travel & Commute;What's your favorite vacation destination?;Somewhere in Europe, like France or Italy.;A tropical beach or maybe a road trip across the states.;Multiple Choice
174;GPT-4 generated;Travel & Commute;Do you prefer city breaks or countryside retreats?;I like a good countryside retreat to unwind.;City breaks for the culture and entertainment.;Binary Choice
175;GPT-4 generated;Education & Knowledge;Do you think university education should be free?;Yes, it should be accessible to everyone.;It would be nice, but it's complicated to implement.;Binary Choice
176;GPT-4 generated;Education & Knowledge;How do you feel about standardized testing?;It has its merits but shouldn't be the only measure.;It's okay but doesn't capture everyone's abilities.;Likert Scale
177;GPT-4 generated;Education & Knowledge;Did you attend public or private school?;Public school, it's the norm here.;It varies, but I went to public school.;Binary Choice
178;GPT-4 generated;Education & Knowledge;"How important is a gap year""?""";Quite popular, it's a good time for self-discovery.;Less common here, but some people still do it.;Likert Scale
179;GPT-4 generated;Work & Career;Do you prefer working from home or an office?;"The office; it's easier to separate work and life.";Working from home, it's more flexible.;Likert Scale
180;GPT-4 generated;Work & Career;How important is career growth to you?;Important, but work-life balance is also crucial.;Very important, it's a big part of the American Dream.;Likert Scale
181;GPT-4 generated;Work & Career;Do you work over the weekends?;Only if absolutely necessary.;Sometimes, especially if there's a deadline.;Binary Choice
182;GPT-4 generated;Work & Career;How many hours do you work per week?;Around 37.5, the standard full-time week.;More like 40-50, depending on the job.;Numerical Scale
183;GPT-4 generated;Technology;iOS or Android?;iOS, it's more user-friendly.;Android, it's more customizable.;Binary Choice
184;GPT-4 generated;Technology;Do you prefer online shopping or in-store shopping?;Online is convenient, but I still enjoy a High Street browse.;Online, it's super convenient and I can find better deals.;Binary Choice
185;GPT-4 generated;Technology;How often do you use social media?;Daily, but not constantly.;Multiple times a day, it's how I keep up with everyone.;Likert Scale
186;GPT-4 generated;Environment & Nature;Do you recycle?;Of course, it's a part of the council collection.;Yes, but it depends on the local services.;Binary Choice
187;GPT-4 generated;Environment & Nature;Is climate change a concern for you?;Yes, we all need to do our part.;Yes, but I feel like my individual impact is limited.;Likert Scale
188;GPT-4 generated;Environment & Nature;How often do you engage in outdoor activities?;On weekends, perhaps a walk in the countryside.;Most weekends, anything from hiking to BBQs.;Likert Scale
189;GPT-4 generated;Education & Knowledge;Do you vote in every election?;Yes, it's my civic duty.;I try to, especially in major elections.;Binary Choice
190;GPT-4 generated;Education & Knowledge;How do you feel about the monarchy?;It's a part of our cultural heritage.;We don't have one, but it seems like an outdated concept.;Likert Scale
191;GPT-4 generated;Education & Knowledge;Do you trust your government?;Not fully, but it's not all bad.;Trust has to be earned, and right now it's shaky.;Likert Scale
192;GPT-4 generated;Health & Wellness;Do you prefer natural remedies or pharmaceuticals?;I lean towards pharmaceuticals, they're tested.;I like natural when possible, but trust doctors for serious stuff.;Binary Choice
193;GPT-4 generated;Health & Wellness;How often do you visit the doctor?;Only when necessary, NHS appointments can take a while.;Annually for a check-up, more if I'm sick.;Ordinal Scale
194;GPT-4 generated;Health & Wellness;Are you a member of any wellness programs?;Not really, NHS covers most things.;Yes, many workplaces offer wellness programs here.;Binary Choice
195;GPT-4 generated;Spirituality & Religion;Do you go to church or any place of worship?;Not regularly, except maybe on special occasions.;Either every Sunday or just on major holidays.;Binary Choice
196;GPT-4 generated;Spirituality & Religion;How important is spirituality to you?;It's personal but not central to my life.;It varies, but spirituality is a big topic here.;Likert Scale
197;GPT-4 generated;Spirituality & Religion;Do you believe in horoscopes?;Not really, it's a bit of fun.;"Some do, some don't; it's a personal belief.";Binary Choice
198;GPT-4 generated;Housing & Lifestyle;Do you live in a flat, house, or other?;In a flat, it's more common in cities.;In a house, there's more space.;Multiple Choice
199;GPT-4 generated;Housing & Lifestyle;Do you own or rent your home?;Mostly rent, especially in the city.;It varies, but owning is a part of the American Dream.;Binary Choice
200;GPT-4 generated;Housing & Lifestyle;Do you prefer urban or rural living?;Urban, most amenities are close by.;Either, depends on the lifestyle I want at the time.;Binary Choice
201;GPT-4 generated;Food & Drink;Do you prefer white or brown bread?;Brown, it's healthier.;White, I like the taste better.;Binary Choice
202;GPT-4 generated;Food & Drink;Marmite: Love it or hate it?;Love it, can't get enough.;What's Marmite?;Binary Choice
203;GPT-4 generated;Food & Drink;Do you eat your fries with ketchup, mayo, or vinegar?;Vinegar, of course.;Ketchup, always.;Multiple Choice
204;GPT-4 generated;Food & Drink;Do you prefer savory or sweet snacks?;Savoury, like some crisps.;Sweet, like cookies or candy.;Binary Choice
205;GPT-4 generated;Food & Drink;How often do you drink alcohol?;A pint or two on the weekends is common.;Maybe a beer or wine with dinner.;Ordinal Scale
